crossing time (s)	slope (V/s)	crossing number
5966.403172	16.254402	3731
5969.927574	73.385032	3732
5970.939032	74.127755	3733
5971.973298	81.805401	3734
5972.970264	75.508842	3735
5973.977487	72.271186	3736
5974.929467	68.221380	3737
5975.974155	71.280675	3738
5976.965730	68.891599	3739
5977.983439	71.652091	3740
5979.002210	70.050078	3741
5980.024501	68.384491	3742
5980.973133	64.019309	3743
5982.034745	68.567660	3744
5982.993135	59.183152	3745
5984.037420	62.847947	3746
5985.009271	60.185055	3747
5986.020292	58.537083	3748
5987.024609	61.722386	3749
5988.051993	57.142541	3750
5989.027005	63.190449	3751
5990.066539	56.615566	3752
5991.031981	62.212771	3753
5992.083361	56.612759	3754
5993.033328	59.137485	3755
5994.098381	56.820618	3756
5995.053595	56.126555	3757
5996.120636	55.304307	3758
5997.071949	55.185748	3759
5998.120529	52.810089	3760
5999.078639	54.613786	3761
6000.122935	52.904738	3762
6001.096879	51.863770	3763
6002.144616	51.928279	3764
6003.120823	51.873651	3765
6004.142810	51.713122	3766
6005.125878	52.704749	3767
6006.147609	50.388167	3768
6007.134686	49.912548	3769
6008.174762	48.118213	3770
6009.129050	47.487334	3771
6010.189586	47.477435	3772
6011.157544	45.168528	3773
6012.189508	46.568411	3774
6013.192613	46.321699	3775
6014.205932	44.274450	3776
6015.170759	46.509906	3777
6016.243946	43.749413	3778
6017.171899	43.094123	3779
6018.238112	43.994265	3780
6019.219395	42.123103	3781
6020.231253	42.412741	3782
6021.234655	41.913229	3783
6022.257644	40.991787	3784
6023.207866	41.133330	3785
6024.274452	39.331551	3786
6025.229823	40.192150	3787
6026.285470	39.644171	3788
6027.254185	38.919148	3789
6028.269752	38.693547	3790
6029.282187	38.112473	3791
6030.291341	37.388652	3792
6031.290418	38.295431	3793
6032.303473	36.589356	3794
6033.287755	36.572662	3795
6034.329486	36.448186	3796
6035.293298	34.447565	3797
6036.357244	34.600369	3798
6037.293376	35.128702	3799
6038.368126	33.897324	3800
6039.290332	34.334144	3801
6040.376717	33.204581	3802
6041.323784	32.701500	3803
6042.345314	32.023574	3804
6043.338037	31.864855	3805
6044.384196	33.174109	3806
6045.358192	31.097448	3807
6046.392736	31.628407	3808
6047.382022	30.679411	3809
6048.414047	29.582925	3810
6049.396216	31.246488	3811
6050.405908	28.679795	3812
6051.392175	30.221687	3813
6052.442470	28.889571	3814
6053.384209	29.385631	3815
6054.460162	28.242838	3816
6055.390516	27.909060	3817
6056.468463	27.765542	3818
6057.419565	27.284535	3819
6058.469005	28.688219	3820
6059.441127	26.815248	3821
6060.461131	26.714966	3822
6061.466234	27.101299	3823
6062.493073	24.430812	3824
6063.450849	25.365880	3825
6064.520761	24.466081	3826
6065.450753	24.252518	3827
6066.536558	24.881595	3828
6067.466824	24.940832	3829
6068.540818	25.115078	3830
6069.489607	22.619379	3831
6070.543607	25.093681	3832
6071.514128	21.725864	3833
6072.542635	22.659848	3834
6073.521435	22.600675	3835
6074.545394	22.412553	3836
6075.544682	23.023682	3837
6076.568061	21.410305	3838
6077.559322	22.240393	3839
6078.568618	21.346205	3840
6079.566232	21.426740	3841
6080.608163	21.327678	3842
6081.573367	20.744857	3843
6082.602983	20.514181	3844
6083.584682	19.682183	3845
6084.611085	19.885586	3846
6085.586194	19.838304	3847
6086.620558	19.871294	3848
6087.604808	19.482633	3849
6088.623349	18.985478	3850
6089.611786	19.307563	3851
6090.660420	18.301136	3852
6091.604716	17.668633	3853
6092.698289	17.630266	3854
6093.590707	17.429746	3855
6094.711085	17.509844	3856
6095.605247	17.913965	3857
6096.701103	16.780388	3858
6097.647785	16.490731	3859
6098.707635	16.627433	3860
6099.691912	16.115326	3861
6100.696217	16.449923	3862
6101.676403	16.371353	3863
6102.701585	16.060589	3864
6103.695657	15.769658	3865
6104.748209	15.339003	3866
6105.679600	15.874408	3867
6106.773893	14.966111	3868
6107.692346	14.844717	3869
6108.774105	13.801652	3870
6109.682822	14.458257	3871
6110.793708	13.631521	3872
6111.712043	14.003356	3873
6112.816528	13.278934	3874
6113.717813	14.029032	3875
6114.814643	13.015339	3876
6115.736436	13.401406	3877
6116.821519	13.771107	3878
6117.727978	12.731328	3879
6118.846022	13.085345	3880
6119.739203	13.104571	3881
6120.868905	12.738627	3882
6121.762681	11.846990	3883
6122.880319	12.621714	3884
6123.753786	12.107900	3885
6124.897696	12.347467	3886
6125.765534	10.832109	3887
6126.912781	11.359961	3888
6127.782390	10.621274	3889
6128.900489	11.441515	3890
6129.805155	10.866573	3891
6130.909788	10.374801	3892
6131.840227	10.557521	3893
6132.885706	11.317198	3894
6133.880295	11.475179	3895
6134.881549	10.705660	3896
6135.887264	10.718043	3897
6136.902290	10.415679	3898
6137.886730	10.629904	3899
6138.930000	9.906250	3900
6139.877782	10.028788	3901
6140.969769	9.311051	3902
6141.873387	9.894223	3903
6143.006132	9.162021	3904
