time (s)	magX	magY	magZ
5969.298851	-60.900055	-153.594391	13.968439
5969.302191	-60.724724	-153.886612	13.267096
5969.305522	-60.315601	-154.295731	13.442431
5969.308849	-60.081821	-153.945068	13.383986
5969.312188	-60.490944	-154.529510	13.968439
5969.315519	-60.549385	-154.704865	13.325541
5969.318855	-60.374050	-154.646408	13.851549
5969.322189	-60.490944	-154.880188	12.682642
5969.325548	-60.432495	-154.880188	14.026885
5969.328850	-60.724724	-154.821747	12.916424
5969.332186	-60.666275	-155.172424	12.799533
5969.335518	-60.783165	-155.055527	12.974869
5969.338855	-61.016949	-155.639984	12.741087
5969.342179	-61.133839	-155.464630	11.747516
5969.345522	-60.900055	-155.990646	12.039742
5969.348864	-61.426067	-156.399765	12.156633
5969.352190	-61.192287	-155.698425	11.922852
5969.355514	-61.542957	-156.224426	12.331969
5969.358850	-62.010521	-156.575104	12.331969
5969.362179	-61.016949	-156.107544	12.215078
5969.365513	-60.900055	-157.218002	11.163063
5969.368877	-61.250729	-157.627121	11.805962
5969.373480	-61.776741	-156.925781	11.396844
5969.376388	-61.776741	-157.568665	11.279953
5969.379738	-61.484509	-157.276459	11.163063
5969.383109	-61.718292	-157.860901	11.104617
5969.386461	-61.952072	-158.445358	10.111046
5969.389277	-62.010521	-158.854477	11.046172
5969.392620	-61.893631	-158.796021	10.520164
5969.395934	-61.835182	-158.737579	9.760374
5969.399277	-62.711864	-158.854477	10.169491
5969.402603	-62.244301	-159.380478	10.286383
5969.405513	-62.594975	-159.263580	9.292811
5969.408846	-62.127411	-159.380478	9.701928
5969.412197	-62.536526	-159.438919	9.585038
5969.415507	-63.120979	-160.257156	8.766803
5969.418845	-62.711864	-159.906479	8.649913
5969.422176	-62.887199	-160.315613	9.000585
5969.425513	-62.945644	-160.549393	9.818819
5969.428836	-63.354759	-160.841614	9.292811
5969.432178	-63.705437	-160.841614	8.942139
5969.435526	-62.887199	-160.724716	9.292811
5969.438842	-63.296318	-161.133835	8.942139
5969.442195	-63.354759	-161.835175	9.175920
5969.445509	-63.296318	-161.835175	8.708358
5969.448841	-63.062538	-161.484512	8.533022
5969.452175	-63.296318	-162.010513	8.942139
5969.455517	-62.887199	-162.185852	9.117476
5969.458841	-63.062538	-162.945633	8.708358
5969.462172	-63.237869	-163.530106	8.299240
5969.465507	-62.770306	-163.296326	8.299240
5969.468834	-63.179428	-163.237869	7.890122
5969.472171	-62.945644	-163.705429	7.656341
5969.475506	-63.179428	-164.289886	7.831677
5969.478839	-63.646992	-165.049683	6.428989
5969.483097	-63.588543	-165.809464	5.610754
5969.486466	-63.471649	-167.445938	5.552309
5969.489756	-63.179428	-168.030396	4.850964
5969.493017	-63.413208	-168.556396	4.266511
5969.496348	-63.296318	-169.549973	2.980713
5969.499270	-63.296318	-170.309753	2.513150
5969.502590	-62.828754	-171.303329	1.344243
5969.505929	-63.120979	-172.296906	0.759790
5969.509295	-63.120979	-173.465805	-0.233781
5969.512168	-62.419636	-175.043839	-1.870251
5969.515495	-62.945644	-176.095856	-3.682057
5969.518837	-62.419636	-176.914078	-4.208066
5969.522158	-62.653416	-178.316772	-5.084745
5969.525511	-63.179428	-180.070145	-6.312099
5969.528849	-63.354759	-180.888367	-7.597896
5969.532166	-63.237869	-182.057266	-8.299240
5969.535498	-63.413208	-183.109299	-9.760374
5969.538830	-63.062538	-184.395081	-10.929281
5969.542162	-64.348335	-185.388657	-11.864407
5969.545501	-64.348335	-187.375809	-12.331969
5969.548836	-63.763882	-188.369370	-14.962010
5969.552163	-64.523674	-189.129166	-14.845119
5969.555494	-65.225014	-190.648743	-15.897136
5969.558850	-64.932785	-191.934540	-17.124489
5969.562162	-64.757454	-193.337219	-18.001169
5969.565497	-65.283463	-194.681473	-19.520748
5969.568831	-65.458801	-196.317947	-20.455875
5969.572163	-66.101692	-197.720642	-21.098774
5969.575496	-65.634132	-198.831100	-21.917007
5969.578829	-66.569260	-199.824661	-23.261251
5969.582160	-66.861488	-200.993561	-25.306839
5969.585496	-66.803040	-202.980713	-26.241964
5969.590133	-66.861488	-206.253647	-29.047340
5969.593020	-66.919930	-207.539444	-29.456457
5969.596383	-67.095268	-209.292816	-31.560490
5969.599705	-67.738167	-210.929276	-34.190533
5969.603056	-67.913506	-213.267090	-35.359440
5969.605943	-68.147285	-215.078903	-36.353008
5969.609272	-68.088837	-216.598480	-38.807713
5969.612638	-67.562828	-218.877838	-41.963764
5969.615926	-68.030396	-221.098785	-44.126244
5969.619242	-68.322617	-223.085907	-46.288719
5969.622152	-68.673286	-225.189941	-49.386322
5969.625486	-68.673286	-227.527756	-51.782585
5969.628826	-68.965515	-230.508469	-55.698425
5969.632153	-69.082413	-232.729385	-59.146698
5969.635494	-69.374634	-235.651657	-61.484509
5969.638862	-69.316193	-238.573929	-65.634132
5969.642152	-69.549973	-240.151947	-68.673286
5969.645485	-69.959084	-242.723557	-73.056694
5969.648824	-69.725304	-245.587372	-77.323204
5969.652158	-69.842194	-248.334320	-80.596146
5969.655486	-69.608414	-251.665680	-84.570427
5969.658825	-69.959084	-254.412628	-89.187607
5969.662152	-70.485100	-256.867340	-92.811218
5969.665485	-70.777321	-259.964935	-97.779076
5969.668865	-70.835770	-263.413208	-102.104034
5969.672148	-70.835770	-265.751038	-107.422554
5969.675481	-71.069550	-268.497955	-111.046173
