time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4235.786183	93.807671	1.248335	0.100000	11
4237.811971	86.321152	1.211593	-0.027510	13
4239.840399	84.907547	1.184029	-0.026196	15
4241.855047	84.691628	1.180667	-0.021174	17
4243.857882	86.225082	1.170486	-0.020454	19
4245.862203	87.414543	1.126090	-0.024234	21
4247.879686	87.098961	1.083087	-0.026729	23
4249.904905	86.380051	1.050606	-0.027047	25
4251.930726	85.775642	1.021227	-0.026044	27
4253.951415	85.553619	0.995929	-0.025041	29
4255.968004	85.606003	0.974755	-0.024395	31
4257.981557	85.784172	0.953715	-0.023942	33
4259.994543	85.945648	0.930402	-0.024053	35
4262.008566	86.099632	0.905890	-0.024234	37
4264.023788	86.236961	0.879931	-0.024454	39
4266.041110	86.427994	0.852361	-0.023942	41
4268.059369	86.705673	0.825798	-0.024138	43
4270.077672	87.024017	0.802064	-0.024348	45
4272.092946	87.243294	0.780774	-0.024566	47
4274.103176	87.135712	0.766908	-0.025127	49
4276.108311	86.558594	0.753222	-0.025276	51
4278.109600	85.526031	0.734258	-0.024354	53
4280.114685	84.570480	0.707358	-0.022889	55
4282.129258	84.459343	0.677533	-0.020294	57
4284.158725	85.483765	0.652102	-0.018847	59
4286.192791	86.880928	0.631439	-0.019386	61
4288.219400	87.753716	0.615085	-0.020980	63
4290.231151	87.627556	0.604453	-0.021966	65
4292.236631	86.911880	0.594693	-0.021490	67
4294.236651	86.134178	0.580188	-0.020070	69
4296.239439	85.538010	0.561714	-0.018715	71
4298.246188	85.270721	0.541964	-0.017619	73
4300.256905	85.229568	0.523904	-0.016715	75
4302.270073	85.278557	0.506469	-0.016167	77
4304.285262	85.489807	0.491104	-0.015654	79
4306.300621	85.659081	0.477374	-0.015086	81
4308.315055	85.844078	0.463093	-0.014835	83
4310.326178	86.064896	0.449671	-0.014237	85
4312.338759	86.315269	0.436368	-0.013677	87
4314.353894	86.548134	0.423663	-0.013480	89
