crossing time (s)	slope (V/s)	crossing number
6412.365651	9.860591	4168
6415.085301	82.839825	4169
6416.083277	80.018048	4170
6417.130408	77.218891	4171
6418.073359	87.242420	4172
6419.153660	80.682339	4173
6420.102892	81.810187	4174
6421.145845	87.875139	4175
6422.151452	86.740771	4176
6423.141549	85.354458	4177
6424.146852	85.538299	4178
6425.143418	81.373656	4179
6426.168647	75.059540	4180
6427.197221	76.796922	4181
6428.152986	75.342215	4182
6429.210090	75.642338	4183
6430.151370	71.516305	4184
6431.234165	74.640564	4185
6432.172087	69.060873	4186
6433.225404	69.835484	4187
6434.178633	69.958306	4188
6435.218857	68.698806	4189
6436.215113	72.106584	4190
6437.262667	70.228662	4191
6438.242301	66.790102	4192
6439.310731	69.301553	4193
6440.231423	63.604560	4194
6441.304623	67.261656	4195
6442.232512	62.923032	4196
6443.278442	65.300766	4197
6444.241980	60.945751	4198
6445.290090	62.305678	4199
6446.264208	62.355262	4200
6447.297593	61.406278	4201
6448.302245	62.609209	4202
6449.292285	60.288344	4203
6450.298177	61.034326	4204
6451.336497	58.769013	4205
6452.302892	60.900741	4206
6453.333358	59.939757	4207
6454.315250	57.764961	4208
6455.367524	58.125711	4209
6456.336315	55.217541	4210
6457.379302	57.330808	4211
6458.365428	54.610016	4212
6459.366299	53.384976	4213
6460.356993	53.052258	4214
6461.385398	52.004916	4215
6462.364679	51.053444	4216
6463.407733	49.977739	4217
6464.348185	51.899490	4218
6465.431210	49.156941	4219
6466.365973	50.298831	4220
6467.430083	48.957505	4221
6468.392759	49.549795	4222
6469.435974	48.689015	4223
6470.431660	48.037785	4224
6471.440229	47.909397	4225
6472.444017	46.871806	4226
6473.448516	46.854582	4227
6474.467400	45.842831	4228
6475.450597	45.835297	4229
6476.471171	46.024285	4230
6477.474457	44.844161	4231
6478.467801	45.665431	4232
6479.494004	43.340039	4233
6480.493700	43.272018	4234
6481.506558	42.051029	4235
6482.517497	42.968995	4236
6483.527493	41.006337	4237
6484.511497	40.459879	4238
6485.536082	39.808352	4239
6486.495937	40.454055	4240
6487.547429	38.540904	4241
6488.510856	39.207888	4242
6489.578534	38.169327	4243
6490.513554	38.079391	4244
6491.581237	37.581260	4245
6492.535562	36.108649	4246
6493.578491	36.931918	4247
6494.564151	35.827280	4248
6495.587629	36.307463	4249
6496.585183	35.303103	4250
6497.592604	35.399989	4251
6498.590978	36.110846	4252
6499.615748	33.383587	4253
6500.589644	34.488273	4254
6501.641092	33.193998	4255
6502.589405	33.560207	4256
6503.657578	32.155049	4257
6504.595823	31.493249	4258
6505.668744	33.229392	4259
6506.615678	30.558649	4260
6507.675808	31.517043	4261
6508.639309	30.588410	4262
6509.673476	31.376322	4263
6510.660587	29.791778	4264
6511.677247	29.265544	4265
6512.673832	29.832291	4266
6513.685307	29.501096	4267
6514.688644	29.054132	4268
6515.695206	28.168025	4269
6516.699682	28.251906	4270
6517.702384	28.406644	4271
6518.712177	26.977828	4272
6519.713447	27.598365	4273
6520.733343	26.962727	4274
6521.739481	27.072586	4275
6522.732487	25.586067	4276
6523.753618	26.003007	4277
6524.735551	25.833085	4278
6525.778668	23.977368	4279
6526.733092	24.522856	4280
6527.802411	25.271544	4281
6528.725665	24.744481	4282
6529.821101	24.213911	4283
6530.747475	23.656735	4284
6531.828231	23.140762	4285
6532.764362	23.066099	4286
6533.830821	22.734444	4287
6534.779463	22.410090	4288
6535.828365	21.875659	4289
6536.825020	21.871362	4290
6537.824355	21.623978	4291
6538.836322	21.541673	4292
6539.842358	21.253629	4293
6540.837624	21.547886	4294
6541.869692	20.962579	4295
6542.829358	20.971852	4296
6543.893054	20.073584	4297
6544.836844	19.414941	4298
6545.917332	19.960122	4299
6546.838109	20.211906	4300
6547.926359	19.512722	4301
6548.834602	18.369670	4302
6549.954437	17.885972	4303
6550.843336	18.626783	4304
6551.954318	17.844218	4305
6552.868816	18.062376	4306
6553.956137	17.703793	4307
6554.882968	16.878524	4308
6555.986589	17.586523	4309
6556.878415	16.726282	4310
6557.985877	17.258732	4311
6558.903541	17.426685	4312
6559.985379	16.222063	4313
6560.907970	15.379797	4314
6562.009954	16.486286	4315
6562.925204	16.361698	4316
6564.009726	16.398162	4317
6564.963790	14.750307	4318
6566.003452	15.519292	4319
6566.964419	15.132994	4320
6568.001750	14.924062	4321
6569.012912	14.183201	4322
6569.992138	15.168086	4323
6571.000538	14.638584	4324
6572.019452	15.331134	4325
6572.999843	14.450067	4326
6574.050612	13.280002	4327
6575.001895	14.492124	4328
6576.087912	13.316294	4329
6577.010438	13.831189	4330
6578.093415	13.500893	4331
6578.999877	12.592133	4332
6580.104473	12.670369	4333
6581.031188	12.399040	4334
6582.143571	13.475845	4335
6583.009896	11.996686	4336
6584.127608	11.823041	4337
6585.055005	11.331915	4338
6586.146005	12.126980	4339
6587.059337	11.056923	4340
