time (s)	det(V)
6414.594511	-0.012093	
6414.595987	-0.030083	
6414.597674	-0.018115	
6414.599149	-0.016242	
6414.600851	-0.022571	
6414.602357	-0.043328	
6414.604138	-0.034370	
6414.605624	-0.045053	
6414.607403	-0.047957	
6414.608886	-0.046100	
6414.610670	-0.032376	
6414.612153	-0.038905	
6414.613925	-0.033689	
6414.615405	-0.030748	
6414.617182	-0.035767	
6414.618687	-0.049935	
6414.620437	-0.044352	
6414.621936	-0.051361	
6414.623655	-0.057665	
6414.625182	-0.054265	
6414.626876	-0.039220	
6414.628412	-0.030776	
6414.630094	-0.035646	
6414.631653	-0.024440	
6414.633326	-0.024121	
6414.634913	-0.031699	
6414.636584	-0.038700	
6414.638159	-0.034112	
6414.639803	-0.037487	
6414.641391	-0.038571	
6414.643026	-0.021801	
6414.644649	-0.003843	
6414.646256	-0.014699	
6414.647918	0.002808	
6414.649501	0.006047	
6414.651169	-0.000407	
6414.652749	-0.012818	
6414.654411	0.004177	
6414.655961	-0.006216	
6414.657648	-0.007086	
6414.659186	0.002461	
6414.660891	0.018236	
6414.662400	0.012758	
6414.664165	0.023042	
6414.665657	0.032613	
6414.667428	0.030144	
6414.668923	0.010268	
6414.670688	0.011263	
6414.672165	-0.000310	
6414.673951	-0.005978	
6414.675430	-0.000052	
6414.677196	0.009249	
6414.678700	0.000919	
6414.680443	0.003235	
6414.681960	0.010764	
6414.683517	0.002369	
6414.685070	-0.017918	
6414.686562	-0.027844	
6414.688217	-0.025354	
6414.689706	-0.042612	
6414.691338	-0.048001	
6414.692862	-0.038833	
6414.694491	-0.026502	
6414.695975	-0.049214	
6414.697612	-0.048038	
6414.699096	-0.043099	
6414.700804	-0.055603	
6414.702298	-0.070645	
6414.704022	-0.072723	
6414.705506	-0.084446	
6414.707203	-0.094412	
6414.708694	-0.097389	
6414.710370	-0.085867	
6414.711884	-0.091584	
6414.713593	-0.095789	
6414.715122	-0.095749	
6414.716826	-0.103077	
6414.718388	-0.119423	
6414.720093	-0.127573	
6414.721646	-0.134493	
6414.723325	-0.151706	
6414.724895	-0.153890	
6414.726557	-0.148427	
6414.728137	-0.148226	
6414.729766	-0.163670	
6414.731378	-0.161721	
6414.732991	-0.164714	
6414.734617	-0.184255	
6414.736235	-0.200381	
6414.737896	-0.194616	
6414.739488	-0.215680	
6414.741156	-0.225856	
6414.742726	-0.222597	
6414.744411	-0.216172	
6414.745965	-0.226714	
6414.747668	-0.224393	
6414.749220	-0.226766	
6414.750909	-0.239721	
6414.752448	-0.257107	
6414.754173	-0.250138	
6414.755682	-0.264040	
6414.757450	-0.271033	
6414.758932	-0.266888	
6414.760728	-0.250711	
6414.762208	-0.267915	
6414.763982	-0.253377	
6414.765469	-0.253268	
6414.767228	-0.256846	
6414.768721	-0.269631	
6414.770478	-0.265112	
6414.771972	-0.274421	
6414.773699	-0.281330	
6414.775211	-0.273817	
6414.776922	-0.262739	
6414.778455	-0.258352	
6414.780153	-0.261482	
6414.781707	-0.258574	
6414.783405	-0.255158	
6414.784973	-0.276274	
6414.786671	-0.278917	
6414.788264	-0.276649	
6414.789755	-0.294490	
6414.791376	-0.296444	
6414.792902	-0.291199	
6414.794552	-0.285322	
6414.796036	-0.302962	
6414.797682	-0.299397	
