time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6415.095689	109.409821	0.487309	-0.100000	73
6417.123120	86.503357	1.170906	-0.022441	75
6419.139388	85.707443	1.185011	-0.014887	77
6421.138854	87.765800	1.195120	-0.014481	79
6423.143374	88.918404	1.166520	-0.020397	81
6425.161547	88.169098	1.136458	-0.023442	83
6427.185583	86.934952	1.121464	-0.022097	85
6429.203952	86.688606	1.112219	-0.019954	87
6431.217211	86.987724	1.106786	-0.019976	89
6433.227631	87.379776	1.096164	-0.020868	91
6435.238525	87.656868	1.083280	-0.021485	93
6437.252047	87.841393	1.070365	-0.021616	95
6439.266551	88.107506	1.055789	-0.022414	97
6441.279909	88.307732	1.043464	-0.023066	99
6443.288373	88.194122	1.038434	-0.024189	101
6445.292425	87.672012	1.037438	-0.025370	103
6447.294143	86.338654	1.029517	-0.024939	105
6449.303807	85.622795	1.007631	-0.021945	107
6451.328341	87.149231	0.981021	-0.019404	109
6453.352900	89.172272	0.972802	-0.023513	111
6455.361262	88.596260	0.979334	-0.028316	113
6457.358629	86.509392	0.975681	-0.027681	115
6459.364472	85.395119	0.952598	-0.023106	117
6461.387725	86.754585	0.927912	-0.020967	119
6463.413454	88.667015	0.917633	-0.024357	121
6465.427865	88.625259	0.916021	-0.027165	123
6467.432646	87.838470	0.913454	-0.027391	125
6469.435306	87.169464	0.907092	-0.026353	127
6471.441022	86.909431	0.895959	-0.025775	129
6473.449816	86.812248	0.884351	-0.025370	131
6475.460493	86.889389	0.873333	-0.025188	133
6477.472408	87.098610	0.863443	-0.025014	135
6479.484881	87.321083	0.851444	-0.025338	137
6481.498445	87.570679	0.839599	-0.025910	139
6483.514354	87.637573	0.826198	-0.026522	141
6485.533748	87.365562	0.811719	-0.027266	143
6487.555530	86.703636	0.798300	-0.027547	145
6489.575754	86.132866	0.791463	-0.026279	147
6491.586012	86.272751	0.792610	-0.024077	149
6493.585415	87.051819	0.793250	-0.022988	151
6495.583028	88.021843	0.781131	-0.024601	153
6497.591447	88.483971	0.760055	-0.026660	155
6499.614272	87.743439	0.740462	-0.028352	157
6501.641805	86.528595	0.730330	-0.027084	159
6503.661573	86.033691	0.726971	-0.024323	161
6505.670009	86.442955	0.727503	-0.023055	163
6507.671749	87.005760	0.723540	-0.023444	165
6509.672767	87.286278	0.713902	-0.024479	167
6511.677516	87.369659	0.702868	-0.024838	169
6513.686188	87.173203	0.692652	-0.024987	171
6515.697208	86.992783	0.683412	-0.025092	173
6517.708530	86.734612	0.674371	-0.024655	175
6519.721073	86.446861	0.665546	-0.024153	177
6521.735945	86.295502	0.655271	-0.023798	179
6523.754784	86.442497	0.643277	-0.022879	181
6525.777786	87.220940	0.630248	-0.022651	183
6527.801967	88.188820	0.621143	-0.023062	185
6529.820468	88.628296	0.616867	-0.024536	187
6531.828782	88.298485	0.615444	-0.025561	189
6533.827491	87.559425	0.614789	-0.025397	191
6535.823752	86.588470	0.610656	-0.024606	193
6537.825622	85.685471	0.598418	-0.023180	195
6539.839433	85.584496	0.583831	-0.021597	197
6541.862915	86.310432	0.570154	-0.020857	199
6543.889375	87.428787	0.561688	-0.021194	201
6545.912551	88.074631	0.554718	-0.021993	203
6547.929019	88.077034	0.548061	-0.022491	205
6549.942633	87.802719	0.541625	-0.022264	207
6551.953473	87.471352	0.534284	-0.021819	209
6553.964601	87.190514	0.527213	-0.021425	211
6555.978209	86.931702	0.519477	-0.020753	213
6557.988918	86.668129	0.512558	-0.020006	215
6559.999477	86.562828	0.508007	-0.019032	217
6562.006876	86.505592	0.505314	-0.018392	219
6564.006946	86.696487	0.504249	-0.018169	221
6566.002864	87.122887	0.502017	-0.018328	223
6568.002079	87.658104	0.494122	-0.018627	225
6570.007582	87.984062	0.484305	-0.018743	227
6572.025702	87.976906	0.474172	-0.019569	229
6574.052004	87.421143	0.463331	-0.019586	231
6576.081940	86.707420	0.454568	-0.019014	233
6578.104605	86.245583	0.447619	-0.017708	235
6580.121683	86.099236	0.442115	-0.016782	237
6582.135392	86.342369	0.438937	-0.015927	239
6584.139870	86.486816	0.435903	-0.016091	241
6586.144400	86.713936	0.433564	-0.016280	243
