time (s)	magX	magY	magZ
5246.801111	-25.131502	-272.355347	-102.746925
5246.804455	-24.488602	-274.517822	-106.487427
5246.807786	-23.787258	-276.855621	-109.877266
5246.811120	-23.261251	-279.485687	-113.676216
5246.814449	-23.553476	-281.472839	-118.176506
5246.817777	-23.553476	-284.102875	-121.157219
5246.821116	-22.793688	-286.732910	-126.008179
5246.824448	-22.150789	-289.362946	-130.917603
5246.827777	-22.559906	-291.934540	-136.469894
5246.831108	-22.150789	-294.330811	-140.268845
5246.834440	-22.209234	-297.311523	-145.587372
5246.837774	-22.092344	-300.350677	-150.555237
5246.842459	-21.741673	-305.493866	-160.315613
5246.845337	-21.741673	-308.123901	-165.634125
5246.848716	-22.267679	-311.805969	-171.887787
5246.852032	-21.975452	-314.611328	-178.258331
5246.855290	-21.975452	-316.890717	-183.752197
5246.858198	-21.858562	-319.579193	-190.239624
5246.861527	-21.098774	-322.442993	-196.434830
5246.864861	-20.397429	-325.540619	-203.156036
5246.868203	-21.157219	-328.112213	-209.994156
5246.871535	-20.222092	-330.508484	-217.007584
5246.874436	-20.222092	-333.839874	-224.313263
5246.877791	-19.345411	-336.353027	-232.554047
5246.881109	-18.936295	-338.632355	-239.859726
5246.884431	-17.708942	-341.846863	-247.516083
5246.887777	-17.358271	-344.535339	-255.347748
5246.891123	-16.656927	-347.516083	-263.997681
5246.894436	-15.195791	-349.094116	-272.063110
5246.897770	-14.494448	-352.191711	-281.472839
5246.901103	-13.267096	-354.120392	-290.122711
5246.904439	-12.039742	-357.042664	-299.883118
5246.907806	-10.637054	-358.094696	-309.585052
5246.911102	-9.701928	-360.315613	-319.403870
5246.914435	-8.007013	-362.770325	-328.930450
5246.917769	-7.130333	-364.348328	-338.515503
5246.921124	-5.902981	-365.984802	-348.918762
5246.924437	-4.032730	-367.036804	-358.854462
5246.927765	-3.156049	-369.199310	-368.614838
5246.931097	-0.935126	-370.543549	-380.070129
5246.934436	0.292227	-372.180023	-390.590271
5246.937763	1.461134	-373.524261	-401.461121
5246.941097	2.220923	-373.115143	-412.799561
5246.944434	4.032730	-374.284058	-425.306854
5246.947762	4.734074	-374.225586	-437.054352
5246.952032	6.428989	-375.511414	-460.783142
5246.955285	7.071887	-375.569855	-472.764435
5246.958606	7.656341	-375.745178	-486.031586
5246.961946	8.299240	-375.394501	-498.421967
5246.965309	9.059030	-373.933350	-509.760376
5246.968183	9.526592	-373.465790	-523.787231
5246.971518	9.994155	-372.238434	-536.002319
5246.974880	10.520164	-371.069550	-550.204590
5246.978218	10.520164	-369.374634	-563.471680
5246.981132	10.461719	-367.796600	-576.154297
5246.984429	11.805962	-364.991241	-589.362976
5246.987794	11.981297	-362.536530	-602.513184
5246.991092	12.039742	-359.964935	-615.897156
5246.994448	12.682642	-356.224426	-629.924011
5246.997759	13.617767	-352.367035	-641.437744
5247.001090	13.617767	-348.158966	-655.289307
5247.004427	14.436002	-343.658691	-667.679749
5247.007763	15.254237	-339.216827	-681.765015
5247.011094	15.604909	-333.138519	-693.629456
5247.014426	16.598480	-327.586212	-706.604309
5247.017762	17.884277	-321.157227	-718.527161
5247.021094	18.760958	-315.488037	-730.216248
5247.024426	20.514320	-307.130341	-741.963745
5247.027763	22.033899	-299.824677	-753.594421
5247.031088	23.728813	-291.876099	-764.348328
5247.034420	25.073057	-282.875519	-775.102295
5247.037759	26.651081	-274.400940	-784.745728
5247.041090	28.638224	-264.640564	-795.324402
5247.044419	30.450027	-254.704865	-803.798950
5247.047763	32.670956	-244.886047	-813.150208
5247.051091	34.365868	-235.417892	-820.280579
5247.054422	36.469902	-224.430161	-828.287476
5247.057756	38.281708	-213.617783	-834.774963
5247.062389	41.905319	-190.824081	-848.217407
5247.065269	43.074226	-178.725891	-853.828125
5247.068629	44.126244	-166.452377	-860.958496
5247.071959	45.002922	-153.302155	-864.406799
5247.074901	46.464054	-141.437759	-867.971985
5247.078202	47.048508	-127.761543	-871.478638
5247.081537	47.516071	-115.312683	-872.589111
5247.084845	48.217415	-102.162483	-874.985413
5247.088171	48.334305	-88.369377	-877.440063
5247.091088	47.749855	-74.751610	-877.966125
5247.094415	47.925190	-61.659847	-877.732300
5247.097746	47.632961	-47.749855	-879.251831
5247.101087	47.048508	-33.606079	-877.381592
5247.104414	46.522503	-19.929865	-876.972473
5247.107750	45.528931	-6.487434	-874.985413
5247.111081	44.769142	8.182350	-871.654053
5247.114415	44.476913	22.267679	-869.842224
5247.117770	42.548218	36.294563	-867.270569
5247.121077	41.087086	50.146114	-862.419617
5247.124412	40.210403	64.231445	-858.796021
5247.127748	39.742840	78.082993	-853.009888
5247.131076	38.515488	91.350090	-847.106934
5247.134412	37.463470	105.493866	-841.437744
5247.137741	36.937462	118.819405	-832.846252
5247.141075	35.943893	132.554062	-826.066589
5247.144421	35.359440	145.528931	-817.884277
5247.147777	34.950321	158.796021	-811.221497
5247.151080	33.956753	171.595566	-801.168945
5247.154409	33.664524	183.752197	-791.466980
5247.157744	33.430744	196.025711	-782.115723
5247.161095	33.021626	207.188766	-772.355347
5247.164413	32.846291	218.644073	-761.484497
5247.167741	32.963181	229.807144	-751.490356
5247.171936	33.080070	250.204559	-729.514893
5247.175283	33.489189	260.900055	-718.936279
5247.178648	33.021626	269.959106	-708.182312
5247.182037	32.904736	278.375214	-696.785522
5247.185331	32.495617	287.375793	-685.388672
5247.188224	33.255405	295.675049	-672.822876
5247.191502	32.904736	304.383392	-661.133850
5247.194828	32.904736	310.812408	-649.561646
5247.198162	32.612507	317.592041	-637.580322
5247.201078	32.320282	323.845703	-625.365295
5247.204418	31.911165	329.807129	-614.143738
5247.207743	31.034481	335.768555	-602.980713
5247.211068	30.099356	340.853302	-591.291687
5247.214409	29.281122	346.405609	-578.784302
5247.217735	28.053770	350.905884	-567.738159
5247.221065	27.060200	355.230865	-556.399780
5247.224406	26.475746	360.081818	-544.652283
5247.227737	24.956165	363.646973	-533.138489
5247.231073	23.787258	366.978394	-521.800110
5247.234423	22.267679	369.900635	-511.689087
5247.237737	20.280537	372.472229	-501.110474
5247.241084	18.527178	375.336060	-489.596741
5247.244402	17.299826	377.966095	-478.842773
5247.247741	15.780245	379.719482	-468.614868
5247.251069	13.500876	381.531250	-457.451782
5247.254408	12.448860	383.576843	-447.399200
5247.257732	11.221508	384.745758	-436.645233
5247.261068	9.526592	385.797791	-427.118622
5247.264398	8.065459	386.031555	-416.423126
5247.267728	6.195207	386.323792	-407.013458
5247.271063	5.435418	387.258911	-398.129761
5247.274401	4.149620	386.616028	-387.200470
5247.277755	3.156049	386.440674	-362.945648
5247.281931	1.402689	386.616028	-360.257141
5247.285324	0.116891	386.499115	-350.146118
5247.288669	-0.292227	385.037994	-341.729980
5247.292008	-1.870251	383.635315	-333.138519
5247.295247	-2.337814	383.576843	-324.663940
5247.298159	-2.746932	381.589722	-316.832245
5247.301489	-2.863822	379.719482	-308.065460
5247.304823	-3.448276	378.784332	-300.058441
5247.308181	-4.149620	376.621857	-292.051422
5247.311066	-3.915838	376.154297	-284.278198
5247.314393	-4.208066	373.407349	-276.095856
5247.317724	-4.734074	370.894226	-268.907074
5247.321076	-4.558738	369.199310	-262.127411
5247.324396	-5.026300	367.387482	-256.049072
5247.327724	-5.084745	365.458801	-248.451202
5247.331059	-5.610754	362.302765	-241.671539
5247.334428	-6.019871	360.432495	-235.943893
5247.337725	-6.253653	357.860901	-229.690247
5247.341059	-6.604325	355.464661	-223.553467
5247.344392	-7.013443	354.003510	-218.468735
5247.347722	-7.013443	351.841034	-211.864395
5247.351089	-7.597896	349.269440	-205.669189
5247.354396	-8.766803	346.931610	-201.168915
5247.357720	-9.000585	344.243134	-195.675034
5247.361059	-9.585038	342.372864	-190.999420
5247.364406	-10.052601	339.684387	-186.616013
5247.367722	-10.695500	337.229675	-182.174164
5247.371053	-11.455289	335.593231	-177.089417
5247.374389	-12.448860	333.196960	-172.589127
5247.377723	-13.325541	330.391571	-168.030396
5247.381057	-13.559322	327.995331	-164.114563
5247.384392	-14.611338	325.949738	-159.614258
5247.388644	-16.715372	321.624786	-152.191696
5247.391973	-17.299826	319.286957	-147.223846
5247.395326	-17.767387	317.299805	-143.834015
5247.398574	-18.176504	315.137329	-140.677963
5247.401903	-19.462303	312.916412	-137.755707
5247.404808	-19.696083	310.344849	-133.722977
5247.408159	-19.988310	308.416138	-131.034485
5247.411473	-21.274109	306.779663	-127.936874
5247.414804	-21.566336	304.149628	-124.488602
5247.418163	-21.917007	301.928680	-120.864990
5247.421053	-22.150789	299.824677	-117.884277
5247.424387	-22.559906	297.895966	-113.851547
5247.427778	-22.910578	295.499695	-111.689064
5247.431098	-22.559906	293.571014	-109.175919
5247.434387	-23.202805	291.700775	-105.961433
5247.437745	-23.085915	289.655151	-104.208061
5247.441047	-23.495031	287.551147	-101.578018
5247.444380	-23.144360	286.090027	-98.714203
5247.447715	-23.553476	284.044403	-95.382812
5247.451059	-23.845703	281.940399	-93.512566
5247.454381	-23.319696	280.245483	-91.233200
5247.457718	-23.202805	278.725891	-89.362946
5247.461045	-22.852133	276.797211	-87.434250
5247.464380	-23.144360	274.693146	-85.447105
5247.467709	-23.319696	273.290466	-83.050850
5247.471046	-23.378141	271.537109	-80.713036
5247.474379	-22.735243	271.069550	-79.193459
5247.477717	-23.495031	269.140869	-77.673874
5247.481058	-23.436586	267.796600	-76.446518
5247.484377	-23.319696	265.517242	-75.336060
5247.487714	-23.495031	264.523682	-72.998253
5247.491038	-23.728813	263.588562	-71.537109
5247.494375	-24.605494	262.244293	-69.900642
5247.498978	-23.787258	260.198700	-67.855057
5247.501891	-25.189949	258.562256	-66.686150
5247.505239	-25.189949	258.094696	-65.926361
5247.508569	-25.540621	256.925781	-64.699005
5247.511924	-25.715956	255.464645	-64.523674
5247.514832	-26.183519	254.529526	-62.887199
