time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5247.109407	94.000259	0.683504	-0.100000	229
5249.111278	89.833199	1.072442	0.015278	231
5251.121156	90.357765	1.045501	0.013779	233
5253.136812	90.252052	1.020052	0.012413	235
5255.159131	89.586311	0.995187	0.012387	237
5257.182812	88.594719	0.973009	0.012051	239
5259.203778	87.767624	0.954933	0.012663	241
5261.219706	87.568077	0.943479	0.013501	243
5263.231089	87.872795	0.937317	0.013564	245
5265.239880	88.506081	0.927626	0.012370	247
5267.246931	89.022507	0.914575	0.010985	249
5269.254430	89.262276	0.898267	0.010120	251
5271.265278	89.361092	0.881218	0.009619	253
5273.277813	89.285492	0.863386	0.009277	255
5275.291413	89.163864	0.846021	0.008927	1
5277.306986	89.103394	0.828818	0.008634	3
5279.324715	89.117844	0.811208	0.008525	5
5281.344898	89.217514	0.793745	0.008570	7
5283.366092	89.379974	0.775305	0.008628	9
5285.386023	89.547020	0.758537	0.007946	11
5287.402603	89.632195	0.746231	0.007401	13
5289.413965	89.627403	0.737592	0.006576	15
5291.419112	89.501961	0.732147	0.005891	17
5293.421480	89.169449	0.723818	0.005952	19
5295.424319	88.786003	0.711602	0.005865	21
5297.430175	88.378860	0.694793	0.005904	23
5299.443210	88.271240	0.676316	0.006268	25
5301.462093	88.484352	0.659888	0.006278	27
5303.485626	88.910652	0.644715	0.005886	29
5305.509910	89.204941	0.631757	0.005684	31
5307.531321	89.275146	0.619488	0.005685	33
5309.550188	89.156525	0.607105	0.005826	35
5311.565907	88.940895	0.595792	0.005915	37
5313.580107	88.763298	0.584469	0.006126	39
5315.592085	88.618576	0.573524	0.006151	41
5317.602454	88.587013	0.564989	0.006069	43
5319.608309	88.778313	0.558129	0.005666	45
5321.612515	89.185616	0.551050	0.004907	47
5323.613373	89.737068	0.542428	0.004570	49
5325.617788	90.202538	0.530408	0.004021	51
5327.625572	90.488075	0.518671	0.003580	53
5329.640800	90.499084	0.506531	0.003146	55
5331.663381	90.249603	0.494109	0.003125	57
5333.687669	89.708740	0.481191	0.003173	59
5335.715674	89.079025	0.468453	0.003395	61
5337.740674	88.538139	0.455050	0.003882	63
5339.763052	88.093719	0.443719	0.004588	65
5341.781829	87.867187	0.433580	0.005238	67
5343.798142	87.921272	0.424603	0.005534	69
5345.603043	46.437008	0.284694	0.090486	71
