time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4033.516421	269.823090	1.214088	0.022272	77
4035.538715	268.181183	1.137637	0.008807	79
4037.569536	265.437225	1.106675	0.013431	81
4039.577726	267.035278	1.079219	0.018805	83
4041.581510	268.636871	1.024101	0.015678	85
4043.592671	268.567688	0.970503	0.013177	87
4045.609165	268.086395	0.926981	0.012597	89
4047.626110	267.690430	0.887194	0.012476	91
4049.640787	267.341766	0.848254	0.011557	93
4051.653114	266.890350	0.806496	0.011123	95
4053.669747	266.703461	0.764524	0.011462	97
4055.697382	267.634125	0.724320	0.013988	99
4057.732433	269.305908	0.692911	0.013977	101
4059.746228	269.197784	0.682733	0.007106	103
4061.732917	265.589264	0.649895	0.004071	105
4063.749365	266.234711	0.588566	0.014505	107
4065.798338	270.323883	0.567536	0.013289	109
4067.798173	268.080048	0.569343	0.001328	111
