time (s)	magX	magY	magZ
3926.006584	-119.579193	387.551147	-712.741089
3926.009871	-118.819405	394.681488	-698.129761
3926.013208	-118.176506	402.571594	-682.700134
3926.016535	-117.533600	408.766785	-667.621277
3926.019873	-117.650497	413.734680	-652.367004
3926.023203	-117.592049	418.819427	-637.755676
3926.026535	-116.656921	423.553467	-622.326111
3926.029866	-115.604912	428.287567	-607.890137
3926.034057	-114.962006	436.002350	-578.667480
3926.037450	-114.962006	437.872589	-564.289917
3926.040736	-113.968445	440.502655	-550.029236
3926.044232	-113.793098	442.665100	-535.125610
3926.047468	-112.390411	443.950897	-521.098755
3926.050329	-111.864410	445.470490	-508.123932
3926.053618	-110.461723	446.288727	-494.038574
3926.056985	-109.292816	447.165405	-480.303894
3926.060290	-108.591461	448.275848	-466.744629
3926.063196	-107.481003	447.866730	-453.243744
3926.066542	-105.260086	448.042053	-439.801270
3926.069873	-104.149612	448.217438	-427.586212
3926.073205	-102.980713	447.048523	-415.429596
3926.076529	-100.818237	446.171814	-403.156036
3926.079863	-99.298653	444.886017	-390.531860
3926.083203	-97.954407	443.541779	-378.199890
3926.086554	-96.551720	442.022217	-366.803040
3926.089863	-95.324371	439.976654	-355.347748
3926.093198	-93.220345	437.463470	-344.827576
3926.096527	-91.525421	435.417877	-333.956757
3926.099869	-89.947395	433.196960	-323.202789
3926.103191	-88.135597	429.865601	-313.267090
3926.106531	-87.142021	427.527771	-303.389832
3926.109866	-85.096436	424.196381	-294.272339
3926.113200	-84.219757	421.098755	-284.804199
3926.116532	-83.401520	417.650513	-275.978973
3926.119861	-81.823502	414.728210	-267.329041
3926.123196	-82.057281	410.578644	-259.380493
3926.126528	-80.713036	408.357666	-251.256592
3926.129894	-80.187019	404.149628	-243.834015
3926.133194	-79.602570	400.935120	-236.937469
3926.136523	-79.368790	397.369965	-229.807144
3926.141161	-78.433662	391.174744	-216.423157
3926.144073	-77.849213	387.960266	-210.227936
3926.147477	-77.849213	383.576843	-204.091171
3926.150780	-77.323204	380.362366	-197.486847
3926.154123	-77.381645	377.264771	-191.817657
3926.156948	-77.264755	373.290466	-186.499115
3926.160276	-77.498535	369.842194	-180.362350
