time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6799.820357	76.054977	0.519924	0.100000	189
6801.831977	93.867966	1.132357	-0.075114	191
6803.842345	93.741249	1.123019	-0.076049	193
6805.851752	93.510574	1.117273	-0.076604	195
6807.859997	93.295143	1.111206	-0.077083	197
6809.866772	92.876846	1.104420	-0.077004	199
6811.874204	92.294914	1.099221	-0.076838	201
6813.880545	91.615723	1.093304	-0.076652	203
6815.887412	90.966072	1.085830	-0.076428	205
6817.894649	90.340080	1.074586	-0.075753	207
6819.903733	89.959724	1.063368	-0.074921	209
6821.915013	89.909737	1.051716	-0.074407	211
6823.928996	90.240883	1.039976	-0.073979	213
6825.944071	90.781876	1.031246	-0.073941	215
6827.960101	91.262001	1.023186	-0.074183	217
6829.975339	91.698013	1.016617	-0.074974	219
6831.989391	91.866661	1.007155	-0.075453	221
6834.002053	91.898712	0.999808	-0.075564	223
6836.012923	91.770103	0.992398	-0.075425	225
6838.022139	91.626808	0.984405	-0.075268	227
6840.029958	91.366486	0.976898	-0.075265	229
6842.036897	91.122566	0.968342	-0.075170	231
6844.043375	90.936302	0.957149	-0.075258	233
6846.051067	90.809258	0.943843	-0.076020	235
6848.060454	90.760986	0.931323	-0.076553	237
6850.072234	90.803696	0.922016	-0.077641	239
6852.085699	90.952019	0.911986	-0.078239	241
6854.100778	91.087898	0.901834	-0.079049	243
6856.116455	91.213081	0.890878	-0.079237	245
6858.132371	91.316635	0.881807	-0.079591	247
6860.148060	91.430283	0.872466	-0.079862	249
6862.162989	91.499802	0.862830	-0.080151	251
6864.177218	91.603775	0.853994	-0.080430	253
6866.191118	91.652901	0.845008	-0.080446	255
6868.203792	91.741722	0.837086	-0.080737	1
6870.216504	91.788383	0.828273	-0.080644	3
6872.228563	91.827995	0.819045	-0.080519	5
6874.239978	91.866119	0.812816	-0.080675	7
6876.251153	91.862740	0.805963	-0.080576	9
6878.261504	91.815735	0.797488	-0.080125	11
6880.272032	91.771805	0.789813	-0.079978	13
6882.281724	91.680756	0.783325	-0.080012	15
6884.290552	91.552696	0.776055	-0.079483	17
6886.299154	91.389862	0.770063	-0.079242	19
6888.307065	91.185738	0.764537	-0.078924	21
6890.313986	90.942459	0.759590	-0.078572	23
6892.320494	90.607597	0.753883	-0.078335	25
6894.326761	90.196747	0.748257	-0.077755	27
6896.332925	89.777008	0.740315	-0.077062	29
6898.340538	89.325706	0.731794	-0.076073	31
6900.348093	88.955299	0.723028	-0.075318	33
6902.357050	88.654373	0.713557	-0.074289	35
6904.368021	88.559120	0.704276	-0.073238	37
6906.380778	88.628960	0.695884	-0.072121	39
6908.395320	88.872551	0.688625	-0.071750	41
6910.409724	89.236252	0.682482	-0.071540	43
6912.424981	89.597397	0.675286	-0.071377	45
6914.439049	89.839470	0.669024	-0.071174	47
6916.452174	90.013641	0.662981	-0.070822	49
6918.463682	90.011169	0.658418	-0.070864	51
6920.473293	89.909523	0.653526	-0.070456	53
6922.481786	89.787056	0.647401	-0.069943	55
6924.488388	89.571648	0.641099	-0.069486	57
6926.494388	89.373520	0.635074	-0.069193	59
6928.501600	89.262032	0.628489	-0.068987	61
6930.509165	89.189835	0.620215	-0.068554	63
6932.518978	89.184616	0.613129	-0.068360	65
6934.530645	89.250282	0.606461	-0.068533	67
6936.543545	89.354240	0.600661	-0.068646	69
6938.558435	89.462982	0.594569	-0.068180	71
6940.573613	89.576302	0.587150	-0.067971	73
6942.587776	89.723068	0.580418	-0.067728	75
6944.602585	89.794296	0.573581	-0.067243	77
6946.617477	89.907104	0.567079	-0.066974	79
6948.631112	89.939926	0.561026	-0.066535	81
6950.643698	89.981865	0.555361	-0.066106	83
6952.655861	89.989212	0.549474	-0.065720	85
6954.668500	90.015198	0.543166	-0.065086	87
