time (s)	det(V)
6799.589840	-1.384038	
6799.591532	-1.408522	
6799.593101	-1.453986	
6799.594774	-1.493862	
6799.596353	-1.522677	
6799.598002	-1.540595	
6799.599605	-1.574292	
6799.601235	-1.610035	
6799.602854	-1.625963	
6799.604487	-1.629894	
6799.606117	-1.630072	
6799.607713	-1.629987	
6799.609352	-1.630088	
6799.610919	-1.629882	
6799.612615	-1.630048	
6799.614175	-1.629931	
6799.615892	-1.630116	
6799.617438	-1.629999	
6799.619152	-1.630156	
6799.620708	-1.630023	
6799.622413	-1.630027	
6799.623963	-1.629943	
6799.625700	-1.630019	
6799.627197	-1.629975	
6799.628961	-1.630068	
6799.630439	-1.630031	
6799.632216	-1.630144	
6799.633698	-1.630116	
6799.635469	-1.630003	
6799.636961	-1.630116	
6799.638747	-1.630100	
6799.640231	-1.630128	
6799.641996	-1.630019	
6799.643496	-1.630124	
6799.645235	-1.630044	
6799.646751	-1.629991	
6799.648466	-1.629999	
6799.649997	-1.630136	
6799.651514	-1.630148	
6799.653096	-1.630076	
6799.654581	-1.630092	
6799.656219	-1.630176	
6799.657730	-1.630140	
6799.659377	-1.630140	
6799.660850	-1.630084	
6799.662497	-1.630076	
6799.663977	-1.630172	
6799.665619	-1.630152	
6799.667108	-1.630044	
6799.668815	-1.630112	
6799.670314	-1.630104	
6799.671988	-1.630092	
6799.673470	-1.630084	
6799.675132	-1.630100	
6799.676647	-1.630176	
6799.678283	-1.630040	
6799.679835	-1.630104	
6799.681434	-1.630060	
6799.683029	-1.630176	
6799.684681	-1.629979	
6799.686275	-1.630031	
6799.687898	-1.630040	
6799.689505	-1.630209	
6799.691113	-1.630003	
6799.692769	-1.630189	
6799.694382	-1.629979	
6799.696040	-1.630189	
6799.697628	-1.630052	
6799.699306	-1.630132	
6799.700893	-1.630092	
6799.702579	-1.630185	
6799.704139	-1.630096	
6799.705826	-1.630140	
6799.707377	-1.630160	
6799.709059	-1.630160	
6799.710586	-1.630180	
6799.712325	-1.630064	
6799.713800	-1.630100	
6799.715568	-1.630168	
6799.717056	-1.630080	
6799.718837	-1.630088	
6799.720321	-1.630136	
6799.722077	-1.630172	
6799.723565	-1.630096	
6799.725340	-1.630177	
6799.726831	-1.630188	
6799.728577	-1.630104	
6799.730089	-1.630019	
6799.731822	-1.630040	
6799.733340	-1.630156	
6799.735043	-1.630048	
6799.736590	-1.630168	
6799.738300	-1.630040	
6799.739857	-1.630180	
6799.741548	-1.630056	
6799.743103	-1.630188	
6799.744775	-1.630068	
6799.746355	-1.630172	
6799.748012	-1.630072	
6799.749606	-1.630084	
6799.751231	-1.629967	
6799.752857	-1.630148	
6799.754457	-1.630019	
6799.756140	-1.630019	
6799.757635	-1.630124	
6799.759265	-1.630197	
6799.760749	-1.630164	
6799.762383	-1.630132	
6799.763873	-1.630112	
6799.765499	-1.630052	
6799.766997	-1.630176	
6799.768596	-1.630084	
6799.770119	-1.630160	
6799.771686	-1.630132	
6799.773220	-1.630044	
6799.774835	-1.630072	
6799.776397	-1.630104	
6799.777975	-1.629987	
6799.779577	-1.630096	
6799.781133	-1.630056	
6799.782794	-1.630060	
6799.784277	-1.629995	
6799.786002	-1.629999	
6799.787586	-1.629975	
6799.789274	-1.630023	
6799.790851	-1.629983	
6799.792517	-1.630068	
6799.794063	-1.630056	
6799.795750	-1.630160	
6799.797286	-1.629653	
6799.799028	-1.557393	
6799.800531	-1.428539	
6799.802290	-1.296221	
6799.803773	-1.193088	
6799.805546	-1.083537	
6799.807032	-0.991865	
6799.808815	-0.858189	
6799.810307	-0.758367	
6799.812097	-0.637832	
6799.813577	-0.511020	
6799.815346	-0.379331	
6799.816831	-0.273656	
6799.818587	-0.134099	
6799.820098	-0.013785	
6799.821823	0.111025	
6799.823347	0.217244	
6799.825095	0.367177	
6799.826631	0.474677	
6799.828348	0.616515	
6799.829887	0.753421	
6799.831571	0.896543	
6799.833124	1.023890	
6799.834811	1.170308	
6799.836392	1.301164	
6799.838046	1.420394	
6799.839648	1.531100	
6799.841296	1.613105	
6799.842885	1.625154	
6799.844526	1.625145	
6799.846126	1.625137	
6799.847748	1.625202	
6799.849419	1.625109	
6799.851009	1.625319	
6799.852683	1.625133	
6799.854277	1.625137	
6799.855954	1.625129	
6799.857532	1.625234	
6799.859202	1.625141	
6799.860772	1.625125	
6799.862474	1.625081	
6799.863945	1.625093	
6799.865501	1.625089	
6799.866988	1.625129	
6799.868608	1.625162	
6799.870113	1.625093	
6799.871684	1.625186	
6799.873233	1.625190	
6799.874745	1.625182	
6799.876390	1.625218	
6799.877885	1.625174	
6799.879527	1.625141	
6799.881062	1.625351	
6799.882732	1.625146	
6799.884209	1.625174	
6799.885925	1.625154	
6799.887399	1.625198	
6799.889113	1.625149	
6799.890591	1.625101	
6799.892277	1.625121	
6799.893765	1.625141	
6799.895545	1.625085	
6799.897038	1.625234	
6799.898826	1.625250	
6799.900305	1.625194	
6799.902073	1.625238	
6799.903549	1.625230	
6799.905340	1.625174	
6799.906828	1.625226	
6799.908593	1.625146	
6799.910098	1.625153	
6799.911865	1.625274	
6799.913375	1.625186	
6799.915123	1.625262	
6799.916639	1.625158	
6799.918374	1.625254	
6799.919917	1.625137	
6799.921644	1.625210	
6799.923199	1.625202	
6799.924894	1.625198	
6799.926444	1.625149	
6799.928121	1.625198	
6799.929686	1.625214	
6799.931344	1.625145	
6799.932925	1.625170	
6799.934577	1.625206	
6799.936186	1.625170	
6799.937809	1.625290	
6799.939450	1.625137	
6799.941059	1.625331	
6799.942719	1.625101	
6799.944331	1.625149	
6799.946004	1.625121	
6799.947577	1.625242	
6799.949259	1.625206	
6799.950836	1.625327	
6799.952520	1.625145	
6799.954082	1.625291	
6799.955781	1.625194	
6799.957332	1.625306	
6799.959038	1.625182	
6799.960579	1.625254	
6799.962330	1.625165	
6799.963827	1.625214	
6799.965587	1.625190	
6799.967072	1.625182	
6799.968845	1.625266	
6799.970328	1.625218	
6799.971831	1.625149	
6799.973398	1.625125	
6799.974949	1.625154	
6799.976530	1.625218	
6799.978015	1.625097	
6799.979684	1.625238	
6799.981183	1.625246	
6799.982826	1.625141	
6799.984356	1.625149	
6799.985988	1.625234	
6799.987470	1.625133	
6799.989186	1.625242	
6799.990670	1.625198	
6799.992391	1.625061	
6799.993876	1.625089	
6799.995576	1.625154	
6799.997063	1.625178	
6799.998745	1.625194	
6800.000222	1.625182	
6800.001971	1.625214	
6800.003467	1.625158	
6800.005226	1.625194	
6800.006738	1.625254	
6800.008489	1.625097	
6800.010011	1.625133	
6800.011732	1.625250	
6800.013258	1.625178	
6800.014966	1.625302	
6800.016517	1.625150	
6800.018212	1.625186	
6800.019766	1.625198	
6800.021433	1.625210	
6800.023013	1.625162	
6800.024673	1.625117	
6800.026260	1.625081	
6800.027919	1.625170	
6800.029530	1.625174	
6800.031178	1.625222	
6800.032800	1.625101	
6800.034417	1.625230	
6800.036088	1.624545	
6800.037681	1.612384	
6800.039316	1.529247	
6800.040924	1.500743	
6800.042582	1.455879	
6800.044153	1.422549	
6800.045843	1.384860	
6800.047382	1.376852	
6800.049080	1.348912	
6800.050618	1.316165	
6800.052350	1.301293	
6800.053866	1.271785	
6800.055610	1.231144	
6800.057098	1.208657	
6800.058863	1.185773	
6800.060345	1.151741	
6800.062133	1.139950	
6800.063618	1.123346	
6800.065400	1.111671	
6800.066876	1.080516	
6800.068660	1.073733	
6800.070155	1.052230	
6800.071926	1.011838	
6800.073418	0.987370	
6800.075181	0.980747	
6800.076710	0.943348	
6800.078213	0.935996	
6800.079801	0.927767	
6800.081292	0.912386	
6800.082950	0.896305	
6800.084456	0.884676	
6800.086099	0.868929	
6800.087622	0.860562	
6800.089258	0.817330	
6800.090733	0.797950	
6800.092377	0.773752	
6800.093865	0.757574	
6800.095578	0.744651	
6800.097063	0.744228	
6800.098773	0.735281	
6800.100258	0.701959	
6800.101955	0.707345	
6800.103457	0.694555	
6800.105120	0.674724	
6800.106640	0.644592	
6800.108368	0.626754	
6800.109902	0.599563	
6800.111630	0.589492	
6800.113172	0.578999	
6800.114864	0.578821	
6800.116424	0.563292	
6800.118101	0.555679	
6800.119691	0.544097	
6800.121341	0.518276	
6800.122934	0.490629	
6800.124570	0.472856	
6800.126172	0.453251	
6800.127814	0.439377	
6800.129440	0.422289	
6800.131051	0.436734	
6800.132705	0.412126	
6800.134286	0.407936	
6800.135969	0.402401	
6800.137550	0.390163	
6800.139218	0.359552	
6800.140788	0.350013	
6800.142486	0.340470	
6800.144022	0.321400	
6800.145726	0.313609	
6800.147264	0.320610	
6800.148981	0.306942	
6800.150493	0.299441	
6800.152249	0.302314	
6800.153731	0.289503	
6800.155522	0.258928	
6800.157003	0.246674	
6800.158776	0.248495	
6800.160262	0.227149	
6800.162030	0.217642	
6800.163508	0.225087	
6800.165281	0.228873	
6800.166775	0.203773	
6800.168507	0.216776	
6800.170025	0.214867	
6800.171773	0.196731	
6800.173290	0.176827	
6800.174990	0.182680	
6800.176526	0.158418	
6800.178216	0.160996	
6800.179767	0.158478	
6800.181436	0.176549	
6800.183040	0.163349	
6800.184529	0.168710	
6800.186163	0.172944	
6800.187681	0.155646	
6800.189330	0.147364	
6800.190811	0.144572	
6800.192440	0.143827	
6800.193923	0.123984	
6800.195558	0.128560	
6800.197048	0.140242	
6800.198682	0.143376	
6800.200183	0.136455	
6800.201868	0.151231	
6800.203375	0.147787	
6800.205016	0.135751	
6800.206545	0.122550	
6800.208161	0.131118	
6800.209720	0.114481	
6800.211298	0.112942	
6800.212895	0.116672	
6800.214551	0.129982	
6800.216162	0.122622	
6800.217785	0.132842	
6800.219421	0.137096	
6800.221052	0.129201	
6800.222679	0.105651	
6800.224275	0.110465	
6800.225941	0.113865	
6800.227531	0.098992	
6800.229223	0.099310	
6800.230790	0.115540	
6800.232503	0.107061	
6800.234060	0.112221	
6800.235761	0.127069	
6800.237310	0.116644	
6800.239002	0.100507	
6800.240529	0.093824	
6800.242271	0.089582	
6800.243765	0.083604	
6800.245538	0.068498	
6800.247019	0.087954	
6800.248810	0.088043	
6800.250295	0.085840	
6800.252063	0.090794	
6800.253553	0.088567	
6800.255346	0.069223	
6800.256825	0.057895	
6800.258583	0.064453	
6800.260077	0.047675	
6800.261824	0.043603	
6800.263338	0.050975	
6800.265076	0.047832	
6800.266597	0.033782	
6800.268318	0.046833	
6800.269870	0.054668	
6800.271579	0.044622	
