time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4438.765954	94.647682	1.366516	-0.100000	207
4440.800608	87.829208	1.241466	-0.020291	209
4442.809916	88.935417	1.267990	-0.004791	211
4444.809265	92.529755	1.207159	-0.017884	213
4446.839999	89.792480	1.148985	-0.024268	215
4448.866721	87.637794	1.141953	-0.013936	217
4450.868496	89.913651	1.145199	-0.011140	219
4452.871038	91.565071	1.098914	-0.016875	221
4454.889303	91.007408	1.055728	-0.019898	223
4456.914399	90.255562	1.026121	-0.018990	225
4458.936678	89.988564	0.999390	-0.018125	227
4460.954956	90.063614	0.974538	-0.017762	229
4462.970090	90.261276	0.954168	-0.018124	231
4464.981427	90.285721	0.936266	-0.019093	233
4466.988371	89.718124	0.918014	-0.019796	235
4468.993968	88.639648	0.891809	-0.019643	237
4471.007973	88.137718	0.855070	-0.016313	239
4473.038939	89.760139	0.820457	-0.013773	241
4475.072691	92.129539	0.799801	-0.017517	243
4477.079259	91.379967	0.804020	-0.024169	245
4479.070258	87.934219	0.783092	-0.020952	247
4481.086639	87.905411	0.733613	-0.012138	249
4483.130428	91.367645	0.707454	-0.013679	251
4485.150159	92.271942	0.710219	-0.021959	253
4487.139838	89.254379	0.706106	-0.021566	255
4489.139349	87.398430	0.667617	-0.015495	1
4491.166983	88.686996	0.634570	-0.012552	3
4493.205965	90.679764	0.614264	-0.014277	5
4495.232342	91.372948	0.600488	-0.016639	7
4497.245652	90.949524	0.587146	-0.017048	9
4499.254130	90.423523	0.573170	-0.016362	11
4501.264739	90.047310	0.556566	-0.015488	13
4503.279833	89.862129	0.537777	-0.014795	15
4505.299529	89.609688	0.517887	-0.014575	17
4507.324572	89.096916	0.499127	-0.013981	19
4509.346162	88.381172	0.484073	-0.012033	21
4511.353440	88.219490	0.478780	-0.009875	23
4513.345570	89.472145	0.476988	-0.009777	25
4515.331516	91.471832	0.461443	-0.011314	27
4517.344447	91.991081	0.435117	-0.013644	29
4519.388835	90.325127	0.412294	-0.015078	31
4521.439930	87.746742	0.396256	-0.010745	33
4523.453492	87.096474	0.396829	-0.005894	35
4525.435847	89.443016	0.401022	-0.007262	37
4527.416145	91.740105	0.386598	-0.009437	39
4529.428176	91.909447	0.365590	-0.011191	41
4531.466405	90.865738	0.349071	-0.011509	43
4533.507219	89.796387	0.334245	-0.010052	45
4535.545899	89.062187	0.319706	-0.008418	47
4537.572638	89.121895	0.307419	-0.007905	49
4539.733199	113.662560	0.185984	-0.100000	51
4540.418821	53.198364	0.030825	0.001974	53
4541.166605	245.731567	0.022681	0.009084	55
4541.806654	351.671234	0.039792	-0.012409	57
4542.537942	341.700867	0.025344	0.001868	59
4543.713782	101.365028	0.005179	0.054082	61
4544.230581	43.278336	0.065568	0.028777	63
4544.823020	354.013123	0.061207	-0.040756	65
4546.514443	104.942711	0.113798	0.042673	67
4547.766870	95.396431	0.030916	0.053656	69
4548.254705	305.655884	0.016069	-0.028375	71
4548.885948	222.125580	0.158043	0.008921	73
4550.325153	349.761017	0.153577	-0.068165	75
4551.633504	246.086395	0.134285	0.100000	77
