crossing time (s)	slope (V/s)	crossing number
4434.691953	6.257114	2254
4438.792146	120.588103	2255
4439.792242	120.614950	2256
4440.795726	109.290937	2257
4441.788920	102.921542	2258
4442.827580	113.385879	2259
4443.802051	102.614334	2260
4444.813216	99.074345	2261
4445.833214	91.816024	2262
4446.830010	91.999489	2263
4447.824066	91.653032	2264
4448.881144	86.650763	2265
4449.835449	85.292512	2266
4450.879281	80.863298	2267
4451.883801	84.006328	2268
4452.861085	79.764887	2269
4453.887467	78.785616	2270
4454.875979	73.997133	2271
4455.879149	73.156364	2272
4456.922179	71.251817	2273
4457.898200	71.275098	2274
4458.927732	69.687253	2275
4459.895241	67.101525	2276
4460.943796	67.649469	2277
4461.926020	61.975588	2278
4462.962580	62.797047	2279
4463.936242	57.967568	2280
4464.980516	58.102879	2281
4465.956945	55.946680	2282
4466.970305	57.101352	2283
4467.989004	54.046662	2284
4468.984840	54.376603	2285
4469.995294	50.950047	2286
4471.020270	50.108175	2287
4472.012335	51.284147	2288
4473.031075	46.893721	2289
4474.001351	47.596438	2290
4475.063504	44.875074	2291
4476.021619	42.991926	2292
4477.076353	43.933365	2293
4478.061342	39.995066	2294
4479.070054	41.323620	2295
4480.076870	40.233782	2296
4481.095291	36.829297	2297
4482.074392	37.592955	2298
4483.130936	36.587729	2299
4484.067754	34.841286	2300
4485.165322	34.448224	2301
4486.104953	32.726463	2302
4487.125785	32.902747	2303
4488.136385	30.422972	2304
4489.137006	30.804680	2305
4490.158646	29.910000	2306
4491.169611	28.174111	2307
4492.141012	28.111598	2308
4493.207711	26.634648	2309
4494.143327	25.758384	2310
4495.226071	25.874015	2311
4496.156723	25.166355	2312
4497.241886	24.034435	2313
4498.164691	23.041001	2314
4499.253747	22.122963	2315
4500.189069	21.705559	2316
4501.267806	21.424745	2317
4502.211289	20.444875	2318
4503.281485	20.636973	2319
4504.218624	19.458420	2320
4505.289341	19.091136	2321
4506.218675	17.753318	2322
4507.333966	17.191816	2323
4508.234271	17.131551	2324
4509.354244	16.840196	2325
4510.229131	15.852297	2326
4511.353746	16.233865	2327
4512.260704	15.190699	2328
4513.353681	16.496086	2329
4514.325908	14.912123	2330
4515.321138	16.448336	2331
4516.355862	13.831719	2332
4517.355791	14.123807	2333
4518.353069	14.311918	2334
4519.397507	11.808605	2335
4520.325820	11.922208	2336
4521.451159	11.054034	2337
4522.301402	11.907818	2338
4523.446015	11.513258	2339
4524.345331	11.670998	2340
4525.435388	11.049047	2341
4526.391963	10.410260	2342
4527.402005	10.283287	2343
4528.416437	9.638398	2344
4529.428434	10.483221	2345
4530.425011	9.395276	2346
4531.460332	8.135052	2347
4532.425944	8.789655	2348
4533.492900	8.652799	2349
4534.407904	8.681445	2350
4535.555889	8.239354	2351
4536.391545	6.849704	2352
4537.555129	5.851097	2353
4538.416348	6.819426	2354
4539.778725	3.902983	2355
4540.026868	11.738401	2356
4540.379692	1.995569	2357
4540.863667	9.788393	2358
4541.175980	8.772849	2359
4541.391788	1.235628	2360
4541.760557	-2.700574	2361
4542.307681	10.135751	2362
4542.540286	13.849062	2363
4542.899864	6.341589	2364
4543.691834	20.331479	2365
4543.879648	36.896701	2366
4544.234123	16.631707	2367
4544.583386	17.503402	2368
4544.799102	16.653773	2369
4545.974735	3.887906	2370
4546.525543	9.906680	2371
4547.127815	10.066835	2372
4547.721230	-0.811466	2373
4548.022555	10.050957	2374
4548.250171	10.368091	2375
4548.533534	5.708100	2376
4548.916367	-0.583252	2377
4549.606294	12.389588	2378
4550.302190	6.665613	2379
4550.601392	11.647923	2380
4551.675362	1.915471	2381
