crossing time (s)	slope (V/s)	crossing number
3142.173900	121.597157	1201
3143.163459	118.214836	1202
3144.181129	96.547471	1203
3145.170750	97.888552	1204
3146.217816	84.129271	1205
3147.208264	73.453526	1206
3148.226880	69.090224	1207
3149.250337	60.282148	1208
3150.228118	56.210675	1209
3151.277426	52.463227	1210
3152.274892	46.068494	1211
3153.287160	44.965325	1212
3154.299761	40.477325	1213
3155.271419	36.578267	1214
3156.332524	33.258569	1215
3157.290696	29.774348	1216
3158.350783	29.026984	1217
3159.310184	25.752784	1218
3160.361488	22.911024	1219
3161.335465	20.471553	1220
3162.367501	19.314280	1221
