time (s)	det(V)
5688.549215	-1.630213	
5688.550787	-1.630225	
5688.552426	-1.630048	
5688.554018	-1.630164	
5688.555646	-1.630120	
5688.557268	-1.630213	
5688.558872	-1.630100	
5688.560521	-1.630261	
5688.562118	-1.629999	
5688.563758	-1.630237	
5688.565345	-1.630088	
5688.567017	-1.630197	
5688.568586	-1.630124	
5688.570289	-1.630136	
5688.571829	-1.630052	
5688.573539	-1.630168	
5688.575066	-1.629991	
5688.576807	-1.630156	
5688.578306	-1.630068	
5688.580075	-1.630088	
5688.581564	-1.630036	
5688.583330	-1.630108	
5688.584804	-1.630056	
5688.586580	-1.630064	
5688.588058	-1.630019	
5688.589824	-1.630096	
5688.591319	-1.630007	
5688.593073	-1.630096	
5688.594580	-1.630104	
5688.596341	-1.629975	
5688.597855	-1.630084	
5688.599582	-1.630027	
5688.601101	-1.630060	
5688.602817	-1.629975	
5688.604361	-1.630080	
5688.606077	-1.629923	
5688.607662	-1.629983	
5688.609147	-1.615296	
5688.610806	-1.408977	
5688.612292	-1.230535	
5688.613923	-1.056008	
5688.615445	-0.868796	
5688.617072	-0.684234	
5688.618545	-0.539883	
5688.620191	-0.385474	
5688.621672	-0.211990	
5688.623298	-0.043731	
5688.624797	0.137801	
5688.626524	0.326922	
5688.628017	0.507718	
5688.629702	0.681471	
5688.631204	0.840432	
5688.632858	1.026618	
5688.634391	1.202647	
5688.636024	1.350321	
5688.637596	1.508900	
5688.639265	1.616847	
5688.640834	1.625117	
5688.642484	1.625210	
5688.644087	1.625093	
5688.645740	1.625133	
5688.647321	1.625246	
5688.648955	1.625282	
5688.650569	1.625089	
5688.652183	1.625158	
5688.653837	1.625174	
5688.655425	1.625178	
5688.657101	1.625234	
5688.658674	1.625198	
5688.660357	1.625206	
5688.661926	1.625246	
5688.663607	1.625157	
5688.665170	1.625226	
5688.666886	1.625154	
5688.668426	1.625186	
5688.670141	1.625105	
5688.671628	1.625250	
5688.673389	1.625149	
5688.674870	1.625222	
5688.676640	1.625146	
5688.678127	1.625206	
5688.679921	1.625166	
5688.681400	1.625117	
5688.683183	1.625190	
5688.684665	1.625226	
5688.686435	1.625250	
5688.687928	1.625210	
5688.689653	1.625198	
5688.691169	1.625166	
5688.692909	1.625327	
5688.694444	1.625282	
5688.696151	1.625274	
5688.697686	1.625198	
5688.699382	1.625178	
5688.700935	1.625166	
5688.702622	1.625278	
5688.704190	1.625137	
5688.705873	1.625218	
5688.707460	1.625142	
5688.709127	1.625282	
5688.710745	1.625294	
5688.712250	1.625210	
5688.713892	1.625097	
5688.715381	1.625186	
5688.717025	1.625154	
5688.718515	1.625190	
5688.720157	1.625137	
5688.721651	1.625182	
5688.723294	1.625210	
5688.724776	1.625162	
5688.726395	1.625145	
5688.727888	1.625125	
5688.729547	1.625230	
5688.731063	1.625145	
5688.732687	1.625206	
5688.734247	1.625226	
5688.735841	1.625254	
5688.737442	1.625190	
5688.739001	1.625311	
5688.740629	1.625234	
5688.742241	1.625327	
5688.743891	1.625129	
5688.745499	1.625174	
5688.747138	1.625137	
5688.748743	1.625262	
5688.750437	1.625234	
5688.752011	1.625218	
5688.753692	1.625129	
5688.755257	1.625214	
5688.756960	1.625190	
5688.758536	1.625186	
5688.760233	1.625141	
5688.761789	1.625214	
5688.763476	1.625194	
5688.764991	1.625149	
5688.766725	1.625149	
5688.768201	1.625137	
5688.769981	1.625222	
5688.771468	1.625125	
5688.773228	1.625162	
5688.774703	1.625109	
5688.776490	1.625262	
5688.777984	1.625190	
5688.779738	1.625170	
5688.781237	1.625141	
5688.782980	1.625206	
5688.784493	1.625186	
