time (s)	magX	magY	magZ
5107.051757	-26.943308	-253.185272	-70.835770
5107.055089	-26.943308	-256.282867	-74.576271
5107.058417	-25.949738	-259.672699	-78.024551
5107.061753	-25.540621	-262.244293	-83.109299
5107.065090	-24.780828	-265.400360	-87.258911
5107.068421	-24.663939	-269.316193	-91.817650
5107.071756	-23.611923	-271.946228	-96.493279
5107.075087	-22.676798	-275.277618	-101.753365
5107.078464	-22.735243	-277.264771	-105.026306
5107.081759	-22.735243	-280.654602	-111.046173
5107.085086	-21.975452	-284.161316	-116.306259
5107.089713	-20.923437	-289.655151	-127.060196
5107.092633	-20.455875	-292.811218	-132.203384
5107.095954	-20.163647	-297.019287	-137.638809
5107.099289	-19.812975	-300.000000	-142.548218
5107.102680	-20.163647	-303.156036	-149.152542
5107.105547	-19.579193	-306.019867	-154.061951
5107.108861	-18.936295	-309.818817	-159.848053
5107.112178	-18.994740	-312.331970	-165.517242
5107.115509	-19.170076	-315.429565	-171.770889
5107.118414	-18.819405	-318.819397	-178.316772
5107.121780	-19.053185	-321.507874	-186.148453
5107.125082	-18.994740	-324.839294	-193.571014
5107.128414	-18.819405	-328.170654	-200.292236
5107.131752	-18.410286	-331.151367	-208.007004
5107.135096	-18.936295	-334.774994	-215.663361
5107.138412	-18.760958	-337.814148	-223.904160
5107.141749	-17.942724	-341.145538	-233.255417
5107.145080	-17.825832	-344.710693	-242.022202
5107.148411	-17.767387	-347.925171	-250.730560
5107.151746	-17.533606	-350.555237	-261.718292
5107.155078	-16.598480	-353.535950	-272.589142
5107.158414	-16.072474	-356.458221	-283.576843
5107.161745	-15.137346	-359.263580	-293.921692
5107.165106	-13.734658	-362.419617	-305.727661
5107.168412	-13.325541	-364.874329	-316.949158
5107.171746	-12.565751	-366.627686	-328.696686
5107.175080	-12.039742	-370.017517	-340.736420
5107.178427	-10.987726	-371.478668	-353.535950
5107.181746	-10.637054	-373.699585	-366.277039
5107.185077	-8.942139	-374.517822	-380.187042
5107.188406	-8.065459	-376.271179	-393.337219
5107.191744	-6.954997	-377.147858	-408.065460
5107.195072	-5.493863	-377.615417	-421.157227
5107.199286	-3.331385	-379.602570	-449.386322
5107.202611	-2.630041	-378.959686	-463.763916
5107.205997	-0.292227	-379.544128	-477.615448
5107.209367	1.052016	-378.608978	-493.044983
5107.212179	2.104033	-377.264771	-506.721222
5107.215491	2.454705	-377.030975	-520.806580
5107.218829	3.798948	-375.569855	-534.599609
5107.222176	4.324956	-373.933350	-548.509644
5107.225490	5.026300	-371.654022	-563.004089
5107.228406	6.312099	-369.783752	-576.914062
5107.231740	6.954997	-367.855042	-590.298096
5107.235070	7.071887	-364.289886	-604.675598
5107.238408	6.838106	-361.075409	-618.351868
5107.241740	7.831677	-357.101105	-631.852722
5107.245063	7.656341	-353.302155	-646.054932
5107.248402	7.597896	-349.094116	-659.322021
5107.251740	7.247224	-345.119812	-672.881348
5107.255070	7.714787	-339.333740	-684.979553
5107.258397	7.364114	-333.839874	-699.357056
5107.261819	8.065459	-327.644653	-711.922852
5107.265066	7.130333	-321.332550	-724.430176
5107.268405	7.364114	-314.260681	-737.346619
5107.271731	6.779661	-306.545868	-749.678589
5107.275066	7.188778	-298.421967	-762.010498
5107.278402	7.247224	-289.596710	-772.881348
5107.281737	7.656341	-280.362366	-786.206909
5107.285072	7.013443	-270.777313	-795.967285
5107.288432	7.071887	-259.906494	-806.370544
5107.291731	7.539450	-248.275848	-816.715332
5107.295071	8.065459	-237.521912	-826.241943
5107.298392	8.123904	-225.306839	-834.774963
5107.301730	8.474577	-211.572174	-843.366455
5107.306413	9.468147	-185.330215	-857.685547
5107.309323	10.227938	-170.835770	-864.114563
5107.312675	10.227938	-156.165985	-869.549927
5107.315913	11.572180	-141.496201	-873.991760
5107.319243	11.630626	-126.125076	-877.089417
5107.322152	12.799533	-109.760376	-880.888367
5107.325499	12.741087	-94.097015	-881.998840
5107.328820	13.968439	-78.141441	-882.758606
5107.332196	14.377557	-63.004089	-882.524902
5107.335061	14.845119	-46.873173	-882.641724
5107.338396	14.786674	-31.151373	-881.823547
5107.341727	15.195791	-15.429573	-879.193481
5107.345059	15.312682	-0.058445	-875.628296
5107.348391	14.669784	15.897136	-871.887756
5107.351728	14.962010	30.566919	-867.329041
5107.355058	15.488018	45.704266	-863.763916
5107.358388	14.026885	60.315601	-857.860962
5107.361726	13.500876	74.459381	-853.652832
