time (s)	magX	magY	magZ
3235.762234	-23.144360	231.969620	-12.741087
3235.765576	-22.852133	233.313843	-14.669784
3235.768905	-23.027470	236.060791	-15.312682
3235.772237	-22.852133	236.294556	-16.247808
3235.775570	-22.326126	238.164810	-17.241379
3235.778907	-21.975452	238.983063	-18.176504
3235.782237	-21.917007	241.145538	-19.403856
3235.785569	-22.326126	242.665100	-20.572765
3235.788904	-21.624781	244.535355	-21.741673
3235.792234	-21.566336	246.347168	-22.326126
3235.795561	-21.157219	247.983643	-24.663939
3235.798914	-20.806547	250.905899	-26.475746
3235.802236	-19.988310	252.542374	-26.943308
3235.805569	-20.222092	254.587967	-28.930450
3235.808904	-20.397429	257.568665	-31.034481
3235.812236	-20.923437	259.789581	-33.196960
3235.815564	-20.280537	261.952057	-34.599651
3235.818897	-20.222092	264.640564	-37.288136
3235.822230	-19.696083	267.329041	-39.041496
3235.825566	-20.105202	270.426666	-40.794857
3235.828941	-20.046755	273.115143	-58.094681
3235.833078	-19.520748	279.310333	-48.509644
3235.836412	-19.286966	281.589722	-51.022793
3235.839743	-19.403856	284.687317	-53.419052
3235.843127	-19.403856	288.018707	-56.282879
3235.846461	-18.877850	290.999420	-59.205143
3235.849341	-18.410286	294.623016	-62.302746
3235.852684	-18.410286	297.720612	-65.341911
3235.856020	-17.533606	301.168915	-68.088837
3235.859334	-17.533606	304.558716	-70.368210
3235.862230	-17.475161	307.656342	-74.985390
3235.865565	-16.715372	311.689056	-77.907654
3235.868895	-16.189363	314.669769	-81.063705
3235.872226	-15.429573	318.760956	-85.330215
3235.875564	-14.669784	321.566345	-88.194038
3235.878895	-13.793103	325.832855	-91.525421
3235.882228	-13.267096	328.345978	-95.850380
3235.885589	-12.507306	332.612518	-100.000000
3235.888893	-11.981297	336.353027	-103.798950
3235.892225	-11.104617	339.684387	-107.773232
3235.895555	-10.461719	344.067780	-112.974869
3235.898893	-9.994155	347.399200	-116.598473
3235.902220	-9.234365	352.367035	-122.618355
3235.905553	-7.831677	355.581512	-127.118645
3235.908887	-6.779661	360.374054	-132.320282
3235.912224	-5.902981	363.997681	-137.288147
3235.915555	-5.376973	368.322601	-142.898895
3235.918890	-4.441847	372.530670	-148.275864
3235.922223	-3.857393	376.563416	-154.354172
3235.925564	-3.389831	380.713043	-160.841614
3235.928902	-2.805377	385.330231	-165.867920
3235.932220	-1.987142	389.304504	-172.939804
3235.935550	-1.402689	394.623016	-179.427231
3235.938887	-0.058445	398.772644	-187.083572
3235.943061	1.344243	408.123932	-202.337814
3235.946399	1.344243	413.384003	-210.111053
3235.949765	1.987142	417.708923	-218.293411
3235.953090	2.922268	422.384552	-226.534195
3235.955997	3.623612	427.293976	-235.242554
3235.959352	4.032730	432.203400	-244.418472
3235.962721	4.675628	436.469879	-253.535934
3235.965973	4.909410	440.911774	-263.296326
3235.969309	5.201637	445.645813	-273.582703
3235.972221	5.610754	450.847443	-284.395111
3235.975550	6.312099	454.938660	-294.915253
3235.978881	6.662770	459.088226	-305.493866
3235.982218	7.948568	463.004120	-317.299805
3235.985547	9.000585	468.088806	-329.631805
3235.988886	9.292811	470.601990	-340.561066
3235.992214	10.052601	473.758026	-353.594391
3235.995573	11.338399	478.258331	-365.634125
3235.998877	12.390414	481.706604	-379.076538
3236.002227	13.442431	484.862671	-392.051422
3236.005543	14.962010	488.252502	-405.143219
3236.008880	16.540035	490.473419	-418.293396
3236.012214	17.767387	492.168335	-432.554047
3236.015544	19.812975	494.798370	-447.282318
3236.018879	21.566336	496.493286	-460.900055
3236.022214	22.969025	497.954407	-475.511414
3236.025560	24.722383	498.363556	-492.226807
3236.028874	26.534191	498.889526	-506.487427
3236.032211	28.112215	499.181763	-521.098755
3236.035547	30.274693	499.064880	-537.580322
3236.038912	31.794271	497.779083	-554.120422
3236.042210	33.489189	496.376373	-570.952637
3236.045549	35.067211	495.149048	-587.258911
3236.050171	38.223259	490.239624	-622.033875
3236.053097	39.742840	486.615997	-640.385742
3236.056418	40.970196	483.284607	-658.679138
3236.059806	42.255993	476.446533	-676.738770
3236.063142	42.898891	471.712433	-695.324402
3236.066048	44.126244	467.445953	-713.384033
3236.069303	45.236702	460.315613	-732.787842
3236.072634	46.171829	453.594391	-752.191711
3236.075971	46.639393	444.827606	-771.361755
3236.078877	46.756283	436.177673	-790.765625
3236.082239	47.048508	426.300415	-811.864380
3236.085534	47.808300	416.014008	-829.865540
3236.088875	47.340736	404.558746	-850.438293
3236.092207	47.340736	392.986572	-870.660400
3236.095537	46.697838	379.894806	-888.252441
3236.098872	47.048508	366.218597	-907.948608
3236.102199	47.165401	351.081238	-926.475708
3236.105534	46.697838	335.943878	-946.347168
3236.108871	46.580948	320.163666	-964.582153
3236.112201	46.580948	303.448273	-982.349487
3236.115533	46.639393	285.914673	-998.480408
3236.118897	46.347164	267.329041	-1016.130920
3236.122220	46.580948	249.152542	-1033.080078
3236.125561	46.288719	229.865570	-1047.340820
3236.128865	46.347164	210.403275	-1062.361084
3236.132207	46.522503	189.713623	-1076.797241
3236.135533	46.814728	169.316177	-1090.181152
3236.138871	47.399181	148.158966	-1102.513184
3236.142197	47.282291	126.709518	-1112.916504
3236.145530	47.516071	104.792526	-1123.378174
3236.148862	48.158970	83.284630	-1133.372314
3236.152198	49.210987	61.309177	-1141.145508
3236.156413	49.152542	16.949154	-1155.639893
3236.159775	50.146114	-5.493863	-1160.257202
3236.163147	49.970776	-27.644651	-1164.406738
3236.166472	49.853886	-49.620102	-1166.686157
3236.169335	50.321449	-71.770897	-1169.257690
3236.172623	50.496788	-93.220345	-1169.959106
3236.175956	49.736996	-114.903572	-1169.783813
3236.179299	48.860313	-136.879013	-1167.036865
3236.182619	48.684978	-157.685562	-1165.166626
3236.185527	47.808300	-177.849213	-1162.244263
