time (s)	magX	magY	magZ
3763.909839	-18.994740	408.006989	-218.877838
3763.913183	-19.228521	404.032715	-212.682648
3763.916506	-19.754528	399.824677	-207.130341
3763.919421	-20.397429	396.843964	-200.409119
3763.922748	-20.748100	393.161896	-194.447693
3763.926086	-21.449446	389.362946	-189.129166
3763.929417	-22.033899	386.616028	-183.927521
3763.932752	-22.326126	383.109283	-177.440094
3763.936100	-22.676798	379.368774	-171.887787
3763.939410	-23.436586	375.686737	-167.562836
3763.942747	-23.495031	372.004669	-162.302750
3763.946085	-23.787258	368.965515	-157.685562
3763.949414	-24.605494	365.867920	-151.899475
3763.952742	-24.663939	362.302765	-147.282288
3763.956100	-25.599066	359.205139	-142.898895
3763.959418	-25.540621	355.406189	-139.567505
3763.962745	-25.774401	352.717712	-135.593231
3763.966079	-25.774401	348.392761	-130.566925
3763.969414	-25.949738	346.405609	-127.410873
3763.972744	-26.475746	343.950928	-123.611923
3763.976077	-26.417299	340.444183	-120.280540
3763.979452	-26.826418	337.931030	-116.715370
3763.982738	-26.767973	335.359436	-113.442436
3763.986094	-27.060200	332.261810	-109.935715
3763.989414	-27.586206	330.216248	-107.481003
3763.992740	-27.878433	327.294006	-103.915833
3763.997415	-27.352425	322.676788	-99.064873
3764.000370	-28.112215	319.637634	-96.493279
3764.003687	-27.644651	317.592041	-94.330803
3764.006999	-27.703098	314.494446	-91.934547
3764.010262	-28.521332	312.682648	-89.830505
3764.013165	-28.287550	310.812408	-88.310928
3764.016512	-28.112215	308.182373	-85.447105
3764.019832	-28.287550	306.662781	-83.693748
3764.023198	-28.521332	303.974304	-82.700172
3764.026500	-28.404442	302.980713	-80.070129
3764.029406	-28.462887	300.701355	-77.615425
3764.032736	-28.696669	298.889526	-76.037407
3764.036072	-28.813559	296.727051	-74.868500
3764.039404	-28.813559	295.324371	-73.290474
3764.042735	-29.047340	293.629456	-71.127991
3764.046071	-29.339567	292.109863	-70.192871
3764.049408	-29.398012	290.414948	-67.562828
3764.052780	-29.982466	289.129150	-65.692581
3764.056078	-29.748684	286.616028	-64.465225
3764.059400	-30.450027	285.680878	-62.711864
3764.062733	-30.391582	284.044403	-61.367619
3764.066084	-30.859146	282.291046	-60.081821
3764.069400	-30.859146	281.063690	-58.912914
3764.072736	-31.618935	279.544128	-57.334892
3764.076066	-31.034481	277.790771	-55.815315
3764.079400	-31.151373	277.264771	-53.945057
3764.082731	-31.385153	275.803619	-53.535946
3764.086063	-31.092926	274.167145	-52.776154
3764.089400	-31.326708	272.530670	-52.074806
3764.092736	-31.677380	271.303314	-50.555229
3764.096083	-32.261837	271.595551	-49.736996
3764.099405	-32.612507	269.900635	-48.158970
3764.102726	-32.437172	268.614838	-47.691406
3764.106989	-31.852718	267.504395	-46.580948
3764.110392	-31.969610	266.101685	-45.996494
3764.113668	-32.086502	265.751038	-44.944477
3764.116916	-32.144947	265.809479	-44.126244
3764.120254	-32.320282	264.640564	-43.892460
3764.123157	-32.028053	264.231445	-43.366451
3764.126517	-31.911165	263.939209	-43.015781
3764.129829	-31.794271	263.413208	-42.489773
3764.133154	-31.852718	263.296326	-42.606663
3764.136507	-31.677380	262.828766	-42.255993
3764.139402	-31.735825	263.062531	-42.139099
3764.142728	-31.735825	262.828766	-42.372883
3764.146080	-31.326708	263.062531	-41.905319
3764.149404	-31.969610	262.887207	-41.262421
3764.152727	-31.326708	263.062531	-41.729984
3764.156063	-31.911165	262.244293	-42.139099
3764.159397	-31.560490	262.594971	-41.437756
3764.162730	-32.144947	262.945648	-41.963764
3764.166053	-31.502045	262.887207	-42.139099
3764.169429	-31.677380	263.062531	-42.372883
3764.172725	-31.969610	262.828766	-42.957336
3764.176059	-31.560490	262.887207	-42.372883
3764.179393	-31.618935	263.062531	-43.191116
3764.182725	-31.677380	263.530090	-42.489773
3764.186057	-31.209818	263.880768	-42.080654
3764.189387	-30.976036	263.939209	-42.723553
3764.192723	-31.735825	264.640564	-43.775570
3764.196051	-31.268263	265.166565	-43.132671
3764.199395	-31.969610	265.634125	-43.483345
3764.202718	-32.028053	266.393921	-44.067799
3764.206057	-30.800701	266.510834	-43.775570
3764.209387	-31.560490	267.796600	-44.535358
3764.212738	-31.560490	267.036804	-45.119812
3764.216970	-31.385153	269.023956	-45.821156
3764.220234	-31.735825	269.491516	-46.347164
3764.223573	-31.911165	270.368195	-47.516071
3764.226918	-31.502045	271.361786	-47.048508
3764.230245	-31.794271	272.822906	-48.509644
3764.233139	-31.794271	272.822906	-48.509644
3764.236510	-31.443600	273.641144	-49.678551
3764.239831	-31.385153	274.693146	-50.672119
3764.243172	-31.618935	275.978973	-51.607246
3764.246049	-31.092926	277.381653	-52.951492
3764.249388	-31.151373	278.959686	-53.652836
3764.252718	-31.034481	280.245483	-54.821743
3764.256081	-30.800701	281.531250	-56.633549
3764.259381	-30.742254	282.407959	-57.568676
3764.262713	-30.216248	284.628876	-59.438927
3764.266043	-30.800701	286.382233	-61.484509
3764.269389	-30.040911	287.901794	-62.068962
3764.272714	-29.924021	289.479828	-64.757454
3764.276044	-29.748684	291.233215	-67.387489
3764.279383	-29.222675	292.928131	-67.738167
3764.282713	-29.281122	294.681488	-69.666862
3764.286048	-28.755114	297.077728	-71.069550
3764.289384	-28.813559	299.357117	-73.290474
3764.292706	-28.813559	300.642883	-75.628288
3764.296041	-27.936878	302.980713	-76.914085
3764.299394	-28.813559	304.850952	-78.842781
3764.302709	-27.936878	307.539429	-81.765053
3764.306042	-27.586206	309.351257	-84.278198
3764.309424	-28.053770	311.981293	-86.732903
3764.312719	-27.644651	313.968445	-88.310928
3764.316041	-27.352425	316.715363	-91.233200
3764.319376	-27.644651	318.176514	-92.986557
3764.324027	-27.060200	322.384583	-98.655754
3764.326894	-27.177090	324.254822	-101.052025
3764.330250	-26.475746	327.294006	-102.980713
3764.333589	-26.767973	329.222687	-105.844536
3764.336537	-26.592636	331.735840	-109.117470
3764.339827	-26.417299	334.482758	-111.805962
3764.343164	-26.066628	337.814148	-114.903572
3764.346466	-25.949738	339.801300	-117.182938
3764.349793	-25.657511	342.314423	-120.923439
3764.352706	-25.949738	345.587372	-123.845711
3764.356036	-25.365284	347.983643	-127.469315
3764.359373	-25.540621	350.964355	-131.735825
3764.362702	-24.839275	353.828156	-135.768555
3764.366040	-24.780828	357.393341	-138.866165
3764.369372	-23.670368	360.549377	-142.723541
3764.372705	-23.436586	363.880768	-147.925186
3764.376038	-22.910578	366.803040	-151.198120
3764.379395	-23.261251	369.666870	-155.815308
3764.382707	-22.384571	372.705994	-160.432495
3764.386036	-21.858562	375.803619	-165.867920
3764.389371	-21.975452	380.128571	-171.186432
3764.392702	-20.748100	382.641724	-175.803619
3764.396038	-20.806547	386.090027	-182.817062
3764.399369	-20.338982	390.181183	-187.609589
3764.402751	-19.754528	393.863251	-193.687897
3764.406037	-19.053185	396.493256	-199.883102
3764.409373	-18.001169	399.473999	-205.961426
3764.412703	-17.533606	403.623627	-212.507294
3764.416030	-17.299826	407.071869	-219.053192
3764.419368	-16.540035	410.870850	-225.248383
3764.422731	-16.072474	414.436005	-233.606079
3764.426032	-15.371127	417.825836	-239.801285
3764.430660	-14.436002	424.897705	-255.172424
3764.433589	-13.968439	427.703094	-261.659851
3764.436902	-13.442431	431.794250	-269.725311
3764.440318	-12.916424	434.599640	-277.557007
3764.443678	-12.390414	437.872589	-285.154877
3764.446493	-11.689071	441.203979	-293.395691
3764.449784	-11.279953	444.067810	-301.870239
3764.453135	-10.578609	447.749847	-310.520172
3764.456451	-10.403274	450.964355	-318.994751
3764.459798	-9.701928	453.126801	-327.819977
3764.462701	-9.292811	455.347717	-337.521912
3764.466052	-8.766803	458.620697	-346.873169
3764.469361	-8.357686	460.607819	-355.932220
3764.472692	-8.007013	463.822327	-365.984802
3764.476026	-7.773232	465.634155	-377.147858
3764.479359	-6.779661	467.153687	-387.317352
3764.482689	-6.312099	469.433075	-397.194611
3764.486023	-5.084745	471.244904	-408.942139
3764.489361	-5.260082	473.290497	-420.338959
3764.492710	-4.324956	474.342499	-431.443604
3764.496063	-3.623612	475.277618	-442.957367
3764.499353	-2.980713	476.738739	-455.289307
3764.502694	-2.571596	477.849182	-467.036804
3764.506027	-0.292227	478.141449	-480.362366
3764.509387	0.292227	478.725922	-493.337250
3764.512689	1.636470	478.082977	-506.370544
3764.516021	2.746932	477.089417	-521.274109
3764.519355	3.565166	477.381653	-534.248962
3764.522692	4.558738	475.569824	-548.451172
3764.526022	6.078317	474.634705	-563.705444
3764.529350	7.071887	472.180023	-577.615479
3764.532689	8.123904	470.835785	-592.109863
3764.536019	8.708358	467.504395	-608.065491
3764.540226	12.098188	459.029816	-638.281738
3764.543642	12.974869	455.639984	-652.717712
3764.546945	14.377557	450.555237	-669.549988
3764.550203	15.371127	446.639404	-684.687317
3764.553562	16.656927	440.619507	-700.058472
3764.556444	17.942724	434.482758	-716.423157
3764.559780	19.345411	427.644623	-731.385132
3764.563112	20.163647	420.455872	-748.042053
3764.566440	21.624781	412.624207	-763.413208
3764.569345	22.910578	404.149628	-779.076599
3764.572683	23.728813	395.967255	-794.973694
