time (s)	det(V)
4119.407520	1.625097	
4119.409103	1.625194	
4119.410757	1.625105	
4119.412354	1.625294	
4119.414043	1.625089	
4119.415627	1.625198	
4119.417313	1.625210	
4119.418894	1.625174	
4119.420604	1.625129	
4119.422159	1.625258	
4119.423876	1.625286	
4119.425425	1.625210	
4119.427132	1.625254	
4119.428664	1.625226	
4119.430391	1.625194	
4119.431904	1.625283	
4119.433674	1.625214	
4119.435154	1.625250	
4119.436936	1.625246	
4119.438424	1.625190	
4119.440198	1.625262	
4119.441686	1.625238	
4119.443471	1.625190	
4119.444959	1.625218	
4119.446747	1.625190	
4119.448231	1.625206	
4119.449986	1.625154	
4119.451492	1.625214	
4119.453235	1.625278	
4119.454759	1.625222	
4119.456465	1.625274	
4119.458000	1.625133	
4119.459705	1.625226	
4119.461263	1.625154	
4119.462940	1.625274	
4119.464499	1.625174	
4119.466179	1.625339	
4119.467747	1.625258	
4119.469391	1.625262	
4119.470994	1.625182	
4119.472633	1.625230	
4119.474261	1.625178	
4119.475892	1.625278	
4119.477520	1.625162	
4119.479141	1.625194	
4119.480808	1.625178	
4119.482402	1.625323	
4119.484064	1.625178	
4119.485539	1.625053	
4119.487116	1.625178	
4119.488598	1.625077	
4119.490249	1.625242	
4119.491730	1.625069	
4119.493352	1.625190	
4119.494849	1.625117	
4119.496438	1.625194	
4119.497983	1.625198	
4119.499508	1.625178	
4119.501128	1.625073	
4119.502693	1.625274	
4119.504323	1.625073	
4119.505868	1.625286	
4119.507529	1.625270	
4119.509020	1.625190	
4119.510715	1.625238	
4119.512193	1.625137	
4119.513909	1.625186	
4119.515390	1.625157	
4119.517100	1.625186	
4119.518644	1.625202	
4119.520386	1.625226	
4119.521868	1.625218	
4119.523631	1.625218	
4119.525112	1.625170	
4119.526890	1.625166	
4119.528379	1.625186	
4119.530155	1.625222	
4119.531645	1.625077	
4119.533419	1.625234	
4119.534914	1.625210	
4119.536648	1.625141	
4119.538160	1.625129	
4119.539902	1.625141	
4119.541424	1.625274	
4119.543155	1.625125	
4119.544699	1.625137	
4119.546420	1.625262	
4119.547961	1.625141	
4119.549670	1.625242	
4119.551224	1.625210	
4119.552907	1.625242	
4119.554476	1.625117	
4119.556137	1.625202	
4119.557715	1.625121	
4119.559356	1.625157	
4119.560973	1.625085	
4119.562598	1.625162	
4119.564213	1.625105	
4119.565852	1.625238	
4119.567486	1.625117	
4119.569088	1.625154	
4119.570763	1.625117	
4119.572350	1.625278	
4119.574034	1.625153	
4119.575610	1.624489	
4119.577299	1.609137	
4119.578874	1.534645	
4119.580552	1.468726	
4119.582109	1.422001	
4119.583836	1.386125	
4119.585377	1.321329	
4119.587098	1.256816	
4119.588620	1.223147	
4119.590358	1.181821	
4119.591853	1.137807	
4119.593626	1.121432	
4119.595116	1.086217	
4119.596657	1.044314	
4119.598180	1.017602	
4119.599749	0.980771	
4119.601289	0.951127	
4119.602804	0.913941	
4119.604449	0.871934	
4119.605947	0.852026	
4119.607574	0.814039	
4119.609103	0.793797	
4119.610746	0.777281	
4119.612229	0.758009	
4119.613968	0.732365	
4119.615440	0.717327	
4119.617149	0.700267	
4119.618641	0.674486	
4119.620359	0.638022	
4119.621841	0.629212	
4119.623542	0.594230	
4119.625026	0.571486	
4119.626806	0.575712	
4119.628294	0.568146	
4119.630077	0.544331	
4119.631565	0.533479	
4119.633314	0.529833	
4119.634821	0.512338	
4119.636544	0.486041	
4119.638073	0.469416	
4119.639796	0.457843	
4119.641321	0.431494	
4119.643041	0.430958	
4119.644588	0.431945	
4119.646266	0.422760	
4119.647832	0.413326	
4119.649533	0.414945	
4119.651110	0.400592	
4119.652765	0.386815	
4119.654347	0.372503	
4119.655987	0.369123	
4119.657590	0.350291	
4119.659228	0.336441	
4119.660851	0.336345	
4119.662485	0.335483	
4119.664136	0.325077	
4119.665734	0.331346	
4119.667416	0.320437	
4119.668998	0.297580	
4119.670673	0.276480	
4119.672244	0.276705	
4119.673939	0.252165	
4119.675516	0.240769	
4119.677214	0.245039	
4119.678762	0.244680	
4119.680480	0.229429	
4119.682030	0.242461	
4119.683744	0.235794	
4119.685279	0.221151	
4119.687028	0.198181	
4119.688523	0.189049	
4119.690304	0.178636	
4119.691794	0.169629	
4119.693584	0.174297	
4119.695064	0.181617	
4119.696861	0.167896	
4119.698337	0.161661	
4119.700103	0.155534	
4119.701625	0.146389	
4119.703111	0.127549	
4119.704695	0.123005	
4119.706240	0.121643	
4119.707854	0.104253	
4119.709347	0.098146	
4119.711002	0.107887	
4119.712499	0.112237	
4119.714168	0.097316	
4119.715672	0.109288	
4119.717317	0.102734	
4119.718803	0.094073	
4119.720529	0.057919	
4119.722010	0.075003	
4119.723739	0.057166	
4119.725227	0.053029	
4119.726929	0.056094	
4119.728415	0.067458	
4119.730116	0.067857	
4119.731597	0.065267	
4119.733277	0.067124	
4119.734790	0.057661	
4119.736536	0.047635	
4119.738055	0.034744	
4119.739798	0.034906	
4119.741334	0.028355	
4119.743043	0.021769	
4119.744581	0.036130	
4119.746286	0.042011	
4119.747848	0.031908	
4119.749534	0.045234	
4119.751097	0.043518	
4119.752757	0.027324	
4119.754358	0.018313	
4119.756003	0.027207	
4119.757610	0.013394	
4119.759262	0.009914	
4119.760874	0.028976	
4119.762504	0.026933	
4119.764139	0.014369	
4119.765739	0.033802	
4119.767406	0.042108	
4119.768994	0.026720	
4119.770676	0.016883	
4119.772275	0.022450	
4119.773957	0.008500	
4119.775534	0.006881	
4119.777232	0.017870	
4119.778779	0.028936	
4119.780497	0.030922	
4119.782041	0.041097	
4119.783754	0.045230	
4119.785285	0.040618	
4119.787005	0.020645	
4119.788503	0.025810	
4119.790294	0.019340	
4119.791781	0.021004	
4119.793574	0.026136	
4119.795055	0.038124	
4119.796843	0.033359	
4119.798332	0.040984	
4119.800118	0.046012	
4119.801607	0.038595	
4119.803372	0.010196	
4119.804866	0.010232	
4119.806618	0.007928	
4119.808124	0.007368	
4119.809853	0.008955	
4119.811385	0.028279	
4119.812895	0.039240	
4119.814493	0.029560	
4119.815987	0.033214	
4119.817626	0.031792	
4119.819152	0.026241	
4119.820804	0.009813	
4119.822287	0.007871	
4119.823939	-0.004407	
4119.825419	-0.003577	
4119.827039	0.006655	
4119.828530	0.014426	
4119.830237	0.009680	
4119.831722	0.010019	
4119.833433	0.017358	
4119.834936	0.013773	
4119.836630	-0.001837	
4119.838124	-0.011344	
4119.839786	-0.011835	
4119.841315	-0.017314	
4119.843010	-0.015070	
4119.844553	-0.004052	
4119.846240	-0.000785	
4119.847808	-0.003573	
4119.849476	0.001422	
4119.851063	0.001587	
4119.852712	-0.012371	
4119.854309	-0.026583	
4119.855962	-0.017068	
4119.857566	-0.034861	
4119.859203	-0.027175	
4119.860829	-0.015054	
4119.862436	-0.008431	
4119.864097	-0.020919	
4119.865693	-0.008089	
4119.867370	-0.000773	
4119.868965	-0.019151	
4119.870627	-0.036380	
4119.872210	-0.026808	
4119.873915	-0.037661	
4119.875469	-0.040025	
4119.877194	-0.026804	
4119.878737	-0.016327	
4119.880423	-0.028935	
4119.881967	-0.014667	
4119.883674	-0.015638	
4119.885187	-0.019529	
4119.886959	-0.036130	
4119.888444	-0.029560	
4119.890213	-0.035203	
4119.891697	-0.040928	
4119.893478	-0.037677	
4119.894959	-0.019513	
4119.896732	-0.026264	
4119.898210	-0.018502	
4119.899967	-0.009873	
4119.901472	-0.015142	
4119.903231	-0.032851	
4119.904745	-0.030744	
4119.906484	-0.028927	
4119.908009	-0.038075	
4119.909746	-0.028968	
4119.911291	-0.018172	
4119.913010	-0.017970	
4119.914564	-0.018176	
4119.916246	-0.002985	
4119.917815	-0.009684	
4119.919486	-0.022329	
4119.921087	-0.033507	
4119.922577	-0.017853	
4119.924206	-0.034470	
4119.925728	-0.034212	
4119.927367	-0.022043	
4119.928851	-0.011311	
4119.930492	-0.017954	
4119.931973	-0.006059	
4119.933607	-0.013829	
4119.935086	-0.017390	
4119.936732	-0.019972	
4119.938209	-0.023900	
4119.939894	-0.031228	
4119.941408	-0.046595	
4119.943033	-0.037290	
4119.944580	-0.026853	
4119.946189	-0.025286	
4119.947782	-0.028593	
4119.949354	-0.018929	
4119.950957	-0.022752	
4119.952600	-0.038217	
4119.954198	-0.046289	
4119.955836	-0.042418	
4119.957463	-0.056952	
4119.959080	-0.060771	
4119.960752	-0.051820	
4119.962354	-0.043050	
4119.964030	-0.055977	
4119.965617	-0.044033	
4119.967277	-0.047417	
4119.968861	-0.059305	
4119.970574	-0.076812	
4119.972131	-0.072538	
4119.973854	-0.085247	
4119.975401	-0.090577	
4119.977093	-0.083725	
4119.978634	-0.080276	
4119.980329	-0.084881	
4119.981821	-0.083974	
4119.983585	-0.083173	
4119.985077	-0.088397	
4119.986858	-0.111480	
4119.988340	-0.113256	
4119.990109	-0.127911	
4119.991589	-0.130836	
4119.993338	-0.134155	
4119.994831	-0.118211	
4119.996566	-0.129486	
4119.998088	-0.130477	
4119.999831	-0.128237	
4120.001355	-0.135654	
4120.003063	-0.157870	
4120.004601	-0.166732	
4120.006308	-0.167723	
4120.007863	-0.179603	
4120.009547	-0.183043	
4120.011113	-0.179482	
4120.012778	-0.179639	
4120.014366	-0.188972	
4120.016017	-0.180855	
4120.017614	-0.187599	
4120.019257	-0.207954	
4120.020853	-0.223483	
4120.022492	-0.221199	
4120.024125	-0.239153	
4120.025724	-0.244007	
4120.027404	-0.238972	
4120.028881	-0.233135	
4120.030468	-0.246984	
4120.031960	-0.241868	
4120.033589	-0.244031	
4120.035070	-0.267065	
4120.036684	-0.284540	
4120.038197	-0.285298	
4120.039772	-0.295453	
4120.041335	-0.312738	
4120.042856	-0.315985	
4120.044452	-0.306358	
4120.046030	-0.314354	
4120.047631	-0.321319	
4120.049199	-0.320417	
4120.050834	-0.332328	
4120.052341	-0.352550	
4120.054041	-0.372052	
4120.055530	-0.370904	
4120.057274	-0.396217	
4120.058745	-0.405664	
4120.060477	-0.407162	
4120.062005	-0.410385	
4120.063717	-0.421813	
4120.065241	-0.426599	
4120.066979	-0.435900	
4120.068466	-0.456892	
4120.070228	-0.486939	
4120.071718	-0.495330	
4120.073494	-0.519351	
4120.074981	-0.538103	
4120.076749	-0.551114	
4120.078230	-0.552053	
4120.079993	-0.574064	
4120.081489	-0.590004	
4120.083223	-0.610810	
4120.084756	-0.634879	
4120.086495	-0.668540	
4120.088012	-0.694374	
4120.089737	-0.719824	
4120.091270	-0.748563	
4120.092977	-0.775750	
4120.094526	-0.785724	
4120.096232	-0.814832	
4120.097788	-0.853190	
4120.099459	-0.871354	
4120.101046	-0.897232	
4120.102712	-0.946732	
4120.104304	-0.987869	
4120.105965	-1.014476	
4120.107563	-1.060971	
4120.109200	-1.097081	
4120.110826	-1.126459	
4120.112434	-1.155882	
4120.114099	-1.205483	
4120.115690	-1.234519	
4120.117333	-1.269678	
4120.118934	-1.328782	
4120.120593	-1.386656	
4120.122161	-1.429304	
4120.123857	-1.483372	
4120.125408	-1.533992	
4120.127106	-1.573659	
4120.128647	-1.605354	
4120.130361	-1.628182	
4120.131875	-1.629951	
4120.133625	-1.630027	
4120.135122	-1.630048	
4120.136906	-1.630072	
4120.138390	-1.630092	
4120.139933	-1.630011	
4120.141454	-1.630072	
4120.143037	-1.630136	
4120.144584	-1.630064	
4120.146112	-1.630100	
4120.147751	-1.630160	
4120.149251	-1.630060	
4120.150881	-1.630084	
4120.152412	-1.630019	
4120.154056	-1.630116	
4120.155535	-1.630100	
4120.157271	-1.630068	
4120.158748	-1.630088	
4120.160475	-1.630076	
4120.161946	-1.630019	
4120.163647	-1.630112	
4120.165132	-1.630035	
4120.166843	-1.630051	
4120.168339	-1.630035	
4120.170136	-1.630023	
4120.171613	-1.630048	
4120.173384	-1.630116	
4120.174863	-1.630088	
4120.176615	-1.629995	
4120.178118	-1.630096	
4120.179847	-1.630072	
4120.181363	-1.630084	
4120.183109	-1.630023	
4120.184647	-1.630132	
4120.186363	-1.630100	
4120.187906	-1.630100	
4120.189594	-1.630003	
4120.191145	-1.630193	
4120.192827	-1.630068	
4120.194402	-1.630205	
4120.196074	-1.630056	
4120.197667	-1.630193	
4120.199320	-1.630084	
4120.200920	-1.630148	
4120.202561	-1.629991	
4120.204164	-1.630120	
4120.205807	-1.629983	
4120.207446	-1.630120	
4120.209049	-1.630052	
4120.210722	-1.630205	
4120.212311	-1.630044	
4120.213993	-1.630209	
4120.215598	-1.630064	
4120.217283	-1.630176	
4120.218865	-1.630039	
4120.220555	-1.630201	
4120.222104	-1.630112	
4120.223820	-1.630301	
4120.225355	-1.630177	
4120.227061	-1.630197	
4120.228592	-1.630023	
4120.230330	-1.630048	
4120.231850	-1.630124	
4120.233603	-1.630136	
4120.235082	-1.630136	
4120.236882	-1.630148	
4120.238365	-1.630096	
4120.240144	-1.630104	
4120.241626	-1.630120	
4120.243391	-1.630176	
4120.244879	-1.630229	
4120.246647	-1.630229	
4120.248140	-1.630197	
4120.249730	-1.630197	
4120.251265	-1.630249	
4120.252801	-1.630144	
4120.254432	-1.630289	
4120.255934	-1.630245	
4120.257559	-1.630261	
4120.259083	-1.630177	
4120.260720	-1.630209	
4120.262197	-1.630265	
4120.263919	-1.630180	
4120.265398	-1.630136	
4120.267132	-1.630265	
4120.268605	-1.630168	
4120.270315	-1.630164	
4120.271801	-1.630257	
4120.273505	-1.630128	
4120.274992	-1.630229	
4120.276704	-1.630144	
4120.278193	-1.630233	
4120.279961	-1.630112	
4120.281467	-1.630213	
4120.283218	-1.630160	
4120.284732	-1.630120	
4120.286433	-1.630156	
4120.287965	-1.630152	
4120.289670	-1.630088	
4120.291213	-1.630213	
4120.292923	-1.630036	
4120.294486	-1.630269	
4120.296178	-1.630031	
4120.297741	-1.630209	
4120.299424	-1.630068	
4120.301006	-1.630160	
4120.302672	-1.630168	
4120.304256	-1.630172	
4120.305885	-1.630019	
4120.307507	-1.630193	
4120.309137	-1.630060	
4120.310749	-1.630152	
4120.312374	-1.630011	
4120.314003	-1.630128	
4120.315607	-1.630056	
4120.317296	-1.630064	
4120.318872	-1.630011	
4120.320565	-1.630088	
4120.322134	-1.630060	
4120.323833	-1.630108	
4120.325402	-1.630052	
4120.327111	-1.630068	
4120.328667	-1.629951	
4120.330390	-1.630116	
4120.331925	-1.629951	
4120.333668	-1.630076	
4120.335185	-1.630007	
4120.336927	-1.630036	
4120.338413	-1.629955	
4120.340195	-1.630080	
4120.341692	-1.630047	
4120.343484	-1.629899	
4120.344968	-1.589011	
4120.346750	-1.386797	
4120.348235	-1.225790	
4120.350001	-1.040539	
4120.351491	-0.881417	
4120.353257	-0.724852	
4120.354773	-0.561564	
4120.356345	-0.405660	
4120.357894	-0.258155	
4120.359401	-0.100212	
4120.361045	0.094420	
4120.362542	0.263867	
4120.364197	0.421681	
4120.365726	0.597751	
4120.367373	0.767935	
4120.368866	0.901421	
4120.370509	1.065237	
4120.371991	1.238402	
4120.373711	1.400607	
4120.375196	1.560757	
4120.376922	1.622346	
4120.378407	1.625057	
4120.380121	1.625234	
4120.381608	1.625230	
4120.383328	1.625258	
4120.384822	1.625121	
4120.386561	1.625081	
4120.388075	1.625089	
4120.389827	1.625254	
4120.391350	1.625073	
4120.393067	1.625214	
4120.394593	1.625154	
4120.396290	1.625258	
4120.397839	1.625109	
4120.399528	1.625218	
4120.401085	1.625105	
4120.402757	1.625170	
4120.404347	1.625105	
4120.406011	1.625182	
4120.407598	1.625142	
4120.409255	1.625331	
4120.410868	1.625162	
4120.412498	1.625319	
4120.414133	1.625137	
4120.415746	1.625266	
4120.417426	1.625186	
4120.419038	1.625278	
4120.420692	1.625157	
4120.422312	1.625351	
4120.423984	1.625186	
4120.425564	1.625287	
4120.427246	1.625109	
4120.428813	1.625214	
4120.430497	1.625202	
4120.432066	1.625194	
4120.433738	1.625178	
4120.435298	1.625210	
4120.437008	1.625170	
4120.438546	1.625145	
4120.440295	1.625291	
4120.441799	1.625218	
4120.443559	1.625250	
4120.445043	1.625299	
4120.446806	1.625311	
4120.448291	1.625274	
4120.450073	1.625218	
4120.451568	1.625194	
4120.453346	1.625303	
4120.454826	1.625258	
4120.456594	1.625298	
4120.458092	1.625194	
4120.459835	1.625254	
4120.461353	1.625226	
4120.463088	1.625121	
4120.464614	1.625125	
4120.466150	1.625166	
4120.467761	1.625246	
4120.469250	1.625149	
4120.470881	1.625145	
4120.472408	1.625210	
4120.474061	1.625157	
4120.475561	1.625186	
4120.477194	1.625157	
4120.478678	1.625242	
4120.480392	1.625097	
4120.481877	1.625210	
4120.483598	1.625162	
4120.485085	1.625182	
4120.486778	1.625198	
4120.488258	1.625202	
4120.489933	1.625262	
4120.491426	1.625178	
4120.493089	1.625198	
4120.494620	1.625278	
4120.496327	1.625214	
4120.497874	1.625198	
4120.499585	1.625303	
4120.501125	1.625157	
4120.502815	1.625298	
4120.504388	1.625113	
4120.506079	1.625206	
4120.507652	1.625101	
4120.509312	1.625302	
4120.510909	1.625250	
4120.512556	1.625274	
4120.514183	1.625178	
4120.515817	1.625210	
4120.517430	1.625226	
4120.519057	1.625194	
4120.520746	1.625214	
4120.522335	1.625242	
4120.524012	1.625141	
4120.525611	1.625290	
4120.527291	1.625129	
4120.528882	1.625274	
4120.530552	1.625154	
4120.532126	1.625166	
4120.533832	1.625081	
4120.535380	1.625202	
4120.537082	1.625174	
4120.538639	1.625174	
4120.540339	1.625202	
4120.541870	1.625238	
4120.543599	1.625129	
4120.545098	1.625178	
4120.546873	1.625113	
4120.548358	1.625194	
4120.550142	1.625214	
4120.551630	1.625149	
4120.553421	1.625202	
4120.554904	1.625081	
4120.556684	1.625142	
4120.558170	1.625133	
4120.559941	1.625258	
4120.561446	1.625113	
4120.563209	1.625250	
4120.564715	1.625178	
4120.566451	1.625286	
4120.567972	1.625194	
4120.569704	1.625145	
4120.571248	1.625214	
4120.572786	1.625121	
4120.574410	1.625125	
4120.575899	1.625154	
4120.577537	1.625162	
4120.579061	1.625109	
4120.580710	1.625105	
4120.582191	1.625162	
4120.583836	1.625246	
4120.585318	1.625146	
4120.586962	1.625089	
4120.588447	1.625206	
4120.590158	1.625057	
4120.591654	1.621733	
4120.593375	1.568620	
4120.594855	1.515124	
4120.596538	1.452326	
4120.598046	1.420894	
4120.599711	1.386202	
4120.601237	1.347477	
4120.602945	1.283471	
4120.604491	1.248111	
4120.606205	1.216964	
4120.607764	1.167174	
4120.609443	1.135753	
4120.611019	1.118604	
4120.612689	1.078905	
4120.614267	1.048036	
4120.615923	1.030179	
4120.617520	0.995209	
4120.619142	0.947054	
4120.620788	0.911488	
4120.622423	0.879443	
4120.624054	0.853698	
4120.625660	0.822237	
4120.627307	0.813842	
4120.628916	0.793966	
4120.630594	0.759967	
4120.632169	0.754323	
4120.633878	0.730456	
4120.635444	0.703039	
4120.637141	0.665398	
4120.638708	0.653390	
4120.640401	0.622392	
4120.641969	0.603733	
4120.643686	0.593638	
4120.645216	0.589215	
4120.646955	0.558599	
4120.648471	0.556339	
4120.650234	0.535650	
4120.651716	0.520910	
4120.653503	0.478403	
4120.654998	0.472869	
4120.656781	0.455950	
4120.658259	0.439454	
4120.660057	0.424251	
4120.661539	0.427820	
4120.663316	0.413165	
4120.664798	0.404419	
4120.666547	0.403485	
4120.668058	0.377426	
4120.669825	0.353300	
4120.671343	0.352224	
4120.673072	0.337690	
4120.674597	0.317605	
4120.676312	0.309653	
4120.677861	0.316102	
4120.679394	0.304042	
4120.681000	0.296980	
4120.682485	0.297061	
4120.684117	0.290611	
4120.685646	0.258812	
4120.687302	0.246501	
4120.688783	0.248084	
4120.690438	0.227669	
4120.691910	0.217751	
4120.693554	0.221115	
4120.695041	0.221828	
4120.696728	0.215741	
4120.698218	0.215983	
4120.699927	0.206431	
4120.701434	0.200079	
4120.703076	0.177810	
4120.704594	0.171131	
4120.706239	0.159413	
4120.707784	0.151026	
4120.709381	0.145704	
4120.710966	0.162434	
4120.712618	0.148504	
4120.714207	0.139767	
4120.715838	0.154740	
4120.717469	0.144210	
4120.719097	0.124423	
4120.720727	0.116596	
4120.722348	0.115097	
4120.724000	0.103528	
