crossing time (s)	slope (V/s)	crossing number
4118.388827	109.270316	1949
4119.347119	102.862471	1950
4120.373349	103.700966	1951
4121.338081	106.293948	1952
4122.393217	99.561116	1953
4123.378867	95.071296	1954
4124.382464	88.920472	1955
4125.355051	93.483673	1956
4126.435913	80.116239	1957
4127.418422	76.507512	1958
4128.434720	77.476282	1959
4129.429271	75.533901	1960
4130.449002	69.340280	1961
4131.422790	71.573999	1962
4132.454749	63.936406	1963
4133.433705	63.270115	1964
4134.494293	61.711761	1965
4135.474306	54.924636	1966
4136.508648	55.053667	1967
4137.486132	53.281757	1968
4138.524647	50.936342	1969
4139.505717	49.555485	1970
4140.546999	46.562103	1971
4141.514549	45.021718	1972
4142.561394	42.525341	1973
4143.558168	40.653993	1974
4144.568716	39.685290	1975
4145.565582	37.661247	1976
4146.577591	34.012467	1977
4147.557775	35.158519	1978
4148.620381	33.505182	1979
4149.593505	36.559302	1980
4150.606736	30.417818	1981
4151.584248	31.337308	1982
4152.649553	23.891262	1983
4153.605446	22.414755	1984
4154.641235	27.493318	1985
4155.647394	25.363863	1986
4156.671737	20.262011	1987
4157.618966	21.364411	1988
4158.693887	21.966684	1989
4159.685296	20.136253	1990
4160.700185	17.656928	1991
4161.652453	19.397404	1992
4162.733528	16.585876	1993
4163.694868	16.278634	1994
4164.726178	15.764267	1995
4165.691690	16.170171	1996
4166.778496	13.564285	1997
4167.699925	12.052863	1998
4168.752483	14.126293	1999
4169.774279	12.714745	2000
4170.764061	11.527380	2001
4171.744953	12.085001	2002
4172.826720	10.671852	2003
4173.731299	9.653146	2004
4174.865767	9.800437	2005
4175.761876	8.680895	2006
4176.841607	9.658487	2007
4177.800268	7.601166	2008
4178.822044	6.661964	2009
4179.838765	6.371515	2010
4180.833089	6.848739	2011
4181.849794	6.326199	2012
4182.878653	6.154585	2013
4183.867253	6.236746	2014
4184.908104	4.926009	2015
4185.865064	5.333915	2016
4186.946745	4.750838	2017
4187.804942	4.107686	2018
4189.003269	4.770971	2019
4189.838769	4.448865	2020
4190.973841	4.216829	2021
4191.888398	3.788330	2022
4192.920917	3.972448	2023
4193.947729	4.272491	2024
4194.982307	3.125381	2025
4195.867685	4.066485	2026
4197.072924	3.057608	2027
4197.475298	0.614764	2028
4197.867637	1.330058	2029
4199.032198	3.334147	2030
4201.347193	18.046848	2031
4202.040223	12.428474	2032
4202.469603	7.286822	2033
4202.999923	3.580075	2034
4203.480114	13.100376	2035
4204.060885	6.327780	2036
4205.040627	4.814223	2037
4206.018321	13.868730	2038
4211.518815	23.020560	2039
4211.964903	10.823333	2040
4212.478670	25.302088	2041
4213.354971	9.123659	2042
4214.423235	2.654114	2043
4215.396072	1.084876	2044
4216.560237	3.710871	2045
4217.107169	24.157184	2046
