crossing time (s)	slope (V/s)	crossing number
3068.557371	123.520714	1147
3069.525103	118.543257	1148
3070.558248	112.492785	1149
3071.540043	102.805095	1150
3072.577411	87.779247	1151
3073.589007	85.164179	1152
3074.588334	76.226263	1153
3075.618230	74.602181	1154
3076.624663	67.601068	1155
3077.637067	60.461995	1156
3078.611778	57.975006	1157
3079.648004	51.339679	1158
3080.627264	48.972265	1159
3081.654191	44.221032	1160
3082.670158	37.528158	1161
3083.663374	35.752481	1162
3084.707608	31.217707	1163
3085.672125	29.643180	1164
3086.718000	26.654927	1165
3087.673253	23.145919	1166
3088.715294	22.807150	1167
3089.692047	20.325695	1168
3090.768017	17.240402	1169
3091.715663	16.285585	1170
