time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3068.543809	263.823486	1.321061	-0.000308	123
3070.566137	263.555695	1.223399	0.001296	125
3072.581464	264.010101	1.137749	0.002932	127
3074.589842	264.957184	1.054538	0.003316	129
3076.596281	265.836761	0.963205	0.002641	131
3078.606466	266.239777	0.872279	0.002003	133
3080.627374	265.892181	0.788383	0.000922	135
3082.660207	264.912231	0.710681	-0.000395	137
3084.696795	263.898682	0.642580	-0.000538	139
3086.725369	263.677185	0.586426	0.000443	141
3088.744683	264.149414	0.536963	0.001292	143
3090.760609	264.714325	0.490597	0.001686	145
