time (s)	det(V)
2382.216850	-1.630104	
2382.218394	-1.630237	
2382.220107	-1.630172	
2382.221655	-1.630233	
2382.223341	-1.630076	
2382.224897	-1.630245	
2382.226591	-1.630108	
2382.228182	-1.630225	
2382.229671	-1.630180	
2382.231294	-1.630160	
2382.232825	-1.630257	
2382.234464	-1.630334	
2382.235939	-1.630104	
2382.237607	-1.630168	
2382.239081	-1.630253	
2382.240725	-1.630132	
2382.242214	-1.630221	
2382.243841	-1.630229	
2382.245343	-1.630217	
2382.247032	-1.630116	
2382.248560	-1.630229	
2382.250197	-1.630156	
2382.251737	-1.630229	
2382.253358	-1.630168	
2382.254919	-1.630217	
2382.256523	-1.630176	
2382.258113	-1.630261	
2382.259755	-1.630072	
2382.261361	-1.630241	
2382.262984	-1.630136	
2382.264612	-1.630221	
2382.266220	-1.630019	
2382.267880	-1.630180	
2382.269488	-1.630064	
2382.271151	-1.630100	
2382.272764	-1.630140	
2382.274450	-1.630193	
2382.276021	-1.630080	
2382.277720	-1.630128	
2382.279285	-1.630068	
2382.280989	-1.630180	
2382.282559	-1.630104	
2382.284219	-1.630112	
2382.285765	-1.630040	
2382.287472	-1.630225	
2382.288971	-1.630092	
2382.290748	-1.630197	
2382.292223	-1.630076	
2382.293980	-1.630044	
2382.295464	-1.630172	
2382.297237	-1.630120	
2382.298722	-1.630197	
2382.300486	-1.630124	
2382.301988	-1.630084	
2382.303747	-1.630100	
2382.305254	-1.630088	
2382.306985	-1.630076	
2382.308503	-1.630088	
2382.310208	-1.630051	
2382.311746	-1.630080	
2382.313443	-1.630027	
2382.314990	-1.630088	
2382.316691	-1.630056	
2382.318265	-1.630156	
2382.319951	-1.630044	
2382.321529	-1.630096	
2382.323203	-1.629975	
2382.324775	-1.630176	
2382.326429	-1.629983	
2382.328032	-1.630100	
2382.329657	-1.630044	
2382.331277	-1.630156	
2382.332908	-1.630056	
2382.334561	-1.630084	
2382.336159	-1.630100	
2382.337795	-1.630044	
2382.339273	-1.630104	
2382.340844	-1.630044	
2382.342348	-1.629963	
2382.343995	-1.586518	
2382.345476	-1.466748	
2382.347101	-1.366672	
2382.348605	-1.269940	
2382.350201	-1.198788	
2382.351738	-1.105705	
2382.353268	-1.016575	
2382.354862	-0.938228	
2382.356433	-0.873311	
2382.358039	-0.775717	
2382.359586	-0.700682	
2382.361257	-0.612204	
2382.362745	-0.529188	
2382.364445	-0.427981	
2382.365923	-0.350770	
2382.367662	-0.259142	
2382.369233	-0.168645	
2382.370895	-0.087797	
2382.372460	-0.023050	
2382.374174	0.063958	
2382.375693	0.154796	
2382.377457	0.248797	
2382.378938	0.324795	
2382.380710	0.425487	
2382.382196	0.524935	
2382.383978	0.613320	
2382.385466	0.707780	
2382.387269	0.804564	
2382.388756	0.877247	
2382.390535	0.962015	
2382.392021	1.068170	
2382.393796	1.153211	
2382.395284	1.229758	
2382.397048	1.333310	
2382.398558	1.442264	
2382.400304	1.530621	
2382.401824	1.603058	
2382.403554	1.624871	
2382.405089	1.625053	
2382.406807	1.625226	
2382.408342	1.625021	
2382.410051	1.625137	
2382.411608	1.625170	
2382.413291	1.625262	
2382.414870	1.625125	
2382.416535	1.625170	
2382.418103	1.625137	
2382.419763	1.625170	
2382.421345	1.625053	
2382.422965	1.625129	
2382.424574	1.625170	
2382.426186	1.625190	
2382.427853	1.625166	
2382.429453	1.625073	
2382.431113	1.625238	
2382.432709	1.625142	
2382.434371	1.625085	
2382.435962	1.625214	
2382.437673	1.625105	
2382.439234	1.625166	
2382.440944	1.625105	
2382.442482	1.625214	
2382.444176	1.625113	
2382.445692	1.625234	
2382.447437	1.625157	
2382.448921	1.625137	
2382.450548	1.625206	
2382.452047	1.625105	
2382.453635	1.625178	
2382.455160	1.625065	
2382.456704	1.625165	
2382.458306	1.625129	
2382.459797	1.625254	
2382.461435	1.625101	
2382.463012	1.625246	
2382.464621	1.625145	
2382.466167	1.625226	
2382.467851	1.625186	
2382.469332	1.625149	
2382.471060	1.625145	
2382.472540	1.625162	
2382.474271	1.625117	
2382.475749	1.625174	
2382.477470	1.625266	
2382.478984	1.625186	
2382.480712	1.625085	
2382.482203	1.625170	
2382.483964	1.625145	
2382.485457	1.625194	
2382.487244	1.625210	
2382.488727	1.625162	
2382.490508	1.625133	
2382.491992	1.625290	
2382.493749	1.625214	
2382.495250	1.625133	
2382.496989	1.625198	
2382.498511	1.625174	
2382.500237	1.625218	
2382.501764	1.625145	
2382.503471	1.625198	
2382.505012	1.625121	
2382.506712	1.625299	
2382.508269	1.625129	
2382.509952	1.625343	
2382.511526	1.625165	
2382.513178	1.625246	
2382.514766	1.625117	
2382.516440	1.625142	
2382.518027	1.625174	
2382.519683	1.625190	
2382.521290	1.625033	
2382.522901	1.625230	
2382.524539	1.625178	
2382.526137	1.625202	
2382.527813	1.625146	
2382.529418	1.625270	
2382.531078	1.625214	
2382.532651	1.625202	
2382.534331	1.625146	
2382.535901	1.625274	
2382.537627	1.625141	
2382.539187	1.625149	
2382.540886	1.625146	
2382.542447	1.625182	
2382.544160	1.625238	
2382.545687	1.625206	
2382.547408	1.625202	
2382.548905	1.625113	
2382.550691	1.625186	
2382.552175	1.625190	
2382.553961	1.625230	
2382.555439	1.625166	
2382.556961	1.625214	
2382.558523	1.625186	
2382.560085	1.625157	
2382.561657	1.625154	
2382.563139	1.625158	
2382.564804	1.625214	
2382.566295	1.625206	
2382.567936	1.625182	
2382.569434	1.625194	
2382.571153	1.625226	
2382.572632	1.625186	
2382.574352	1.625202	
2382.575835	1.625154	
2382.577536	1.625210	
2382.579028	1.625157	
2382.580749	1.625234	
2382.582237	1.625085	
2382.583943	1.625170	
2382.585433	1.625214	
2382.587216	1.625270	
2382.588695	1.625137	
2382.590470	1.625153	
2382.591958	1.625174	
2382.593728	1.625194	
2382.595244	1.625137	
2382.596972	1.625206	
2382.598492	1.625121	
2382.600216	1.625198	
2382.601743	1.625194	
2382.603447	1.625295	
2382.604984	1.625097	
2382.606686	1.625286	
2382.608242	1.625174	
2382.609917	1.625254	
2382.611494	1.625105	
2382.613174	1.625214	
2382.614752	1.625065	
2382.616419	1.625170	
2382.618021	1.625077	
2382.619645	1.625142	
2382.621261	1.625137	
2382.622879	1.625194	
2382.624541	1.625202	
2382.626146	1.625178	
2382.627783	1.625198	
2382.629381	1.625331	
2382.631050	1.625206	
2382.632625	1.625214	
2382.634319	1.625093	
2382.635876	1.625274	
2382.637577	1.625065	
2382.639126	1.625190	
2382.640829	1.625141	
2382.642369	1.625214	
2382.644074	1.625154	
2382.645572	1.625150	
2382.647343	1.625206	
2382.648819	1.625182	
2382.650610	1.625222	
2382.652096	1.625149	
2382.653862	1.625121	
2382.655352	1.625125	
2382.657115	1.625262	
2382.658612	1.625117	
2382.660385	1.625129	
2382.661915	1.625186	
2382.663412	1.625053	
2382.664992	1.625125	
2382.666497	1.625077	
2382.668148	1.625129	
2382.669641	1.625113	
2382.671269	1.625085	
2382.672802	1.625218	
2382.674443	1.625085	
2382.675923	1.625141	
2382.677581	1.625162	
2382.679051	1.625137	
2382.680778	1.625045	
2382.682264	1.625000	
2382.683975	1.625113	
2382.685458	1.625073	
2382.687169	1.625222	
2382.688655	1.625162	
2382.690349	1.625230	
2382.691861	1.625069	
2382.693633	1.625137	
2382.695142	1.625109	
2382.696856	1.625226	
2382.698392	1.625109	
2382.700090	1.625166	
2382.701633	1.625142	
2382.703341	1.625222	
2382.704903	1.625105	
2382.706593	1.624880	
2382.708166	1.623510	
2382.709854	1.587831	
2382.711433	1.522657	
2382.713088	1.493774	
2382.714679	1.468996	
2382.716343	1.431166	
2382.717970	1.404502	
2382.719592	1.366700	
2382.721221	1.336287	
2382.722835	1.272760	
2382.724480	1.249855	
2382.726072	1.216746	
2382.727728	1.179303	
2382.729327	1.153538	
2382.731010	1.123471	
2382.732580	1.085701	
2382.734294	1.059316	
2382.735846	1.037623	
2382.737559	1.000325	
2382.739112	0.957798	
2382.740808	0.918256	
2382.742369	0.888619	
2382.744097	0.851390	
2382.745596	0.826374	
2382.747368	0.808432	
2382.748852	0.788689	
2382.750626	0.756108	
2382.752105	0.739418	
2382.753888	0.709996	
2382.755375	0.681862	
2382.757148	0.649962	
2382.758628	0.627914	
2382.760384	0.602681	
2382.761883	0.583458	
2382.763626	0.572779	
2382.765147	0.568255	
2382.766886	0.541423	
2382.768410	0.535348	
2382.770151	0.515822	
2382.771693	0.496926	
2382.773225	0.468562	
2382.774860	0.468397	
2382.776346	0.443816	
2382.777978	0.433991	
2382.779497	0.423232	
2382.781141	0.431087	
2382.782639	0.420545	
2382.784287	0.413016	
2382.785770	0.413402	
2382.787422	0.407545	
2382.788905	0.394675	
2382.790618	0.381123	
2382.792106	0.386397	
2382.793804	0.362130	
2382.795284	0.355950	
2382.796948	0.372455	
2382.798466	0.373518	
2382.800119	0.373586	
2382.801672	0.375331	
2382.803354	0.370577	
2382.804914	0.366291	
2382.806604	0.348208	
2382.808169	0.360092	
2382.809841	0.347141	
2382.811422	0.340675	
2382.813085	0.336691	
2382.814688	0.356337	
2382.816311	0.347886	
2382.817936	0.351511	
2382.819578	0.353392	
2382.821199	0.343414	
2382.822830	0.326483	
2382.824486	0.321355	
2382.826090	0.312549	
2382.827755	0.309391	
2382.829328	0.303417	
2382.831030	0.315248	
2382.832621	0.309577	
2382.834303	0.304303	
2382.835865	0.303232	
2382.837544	0.291775	
2382.839098	0.261450	
2382.840827	0.260479	
2382.842355	0.249542	
2382.844085	0.230646	
2382.845592	0.225647	
2382.847337	0.227165	
2382.848815	0.220224	
2382.850579	0.200159	
2382.852072	0.207455	
2382.853871	0.197823	
2382.855353	0.163353	
2382.857138	0.138615	
2382.858616	0.144593	
2382.860378	0.116338	
2382.861877	0.104370	
2382.863607	0.099705	
2382.865131	0.104567	
2382.866859	0.079527	
2382.868397	0.075080	
2382.870117	0.066467	
2382.871657	0.045121	
2382.873344	0.008335	
2382.874895	0.008069	
2382.876570	-0.023554	
2382.878142	-0.038458	
2382.879805	-0.045512	
2382.881419	-0.037592	
2382.882916	-0.054717	
2382.884560	-0.062241	
2382.886091	-0.074016	
2382.887708	-0.089884	
2382.889194	-0.113325	
2382.890830	-0.126646	
2382.892331	-0.131271	
2382.893958	-0.152113	
2382.895453	-0.162176	
2382.897059	-0.161636	
2382.898561	-0.160343	
2382.900222	-0.178833	
2382.901743	-0.173222	
2382.903383	-0.185226	
2382.904937	-0.204075	
2382.906538	-0.223616	
2382.908125	-0.219733	
2382.909716	-0.238694	
2382.911326	-0.246493	
2382.912957	-0.245627	
2382.914577	-0.236619	
2382.916193	-0.256455	
2382.917833	-0.248729	
2382.919452	-0.247734	
2382.921117	-0.261704	
2382.922713	-0.276879	
2382.924382	-0.277249	
2382.925971	-0.281918	
2382.927666	-0.291417	
2382.929232	-0.292448	
2382.930937	-0.285112	
2382.932500	-0.285120	
2382.934185	-0.280621	
2382.935744	-0.274635	
2382.937455	-0.283795	
2382.938987	-0.299413	
2382.940723	-0.306164	
2382.942220	-0.307312	
2382.943983	-0.317057	
2382.945467	-0.322044	
2382.947233	-0.307812	
2382.948720	-0.303377	
2382.950518	-0.312561	
2382.952003	-0.303759	
2382.953783	-0.305512	
2382.955262	-0.321637	
2382.956993	-0.336574	
2382.958498	-0.329492	
2382.960218	-0.351153	
2382.961742	-0.357284	
2382.963476	-0.353255	
2382.965021	-0.345279	
2382.966754	-0.362492	
2382.968301	-0.359963	
2382.970013	-0.370134	
2382.971562	-0.392979	
2382.973233	-0.415678	
2382.974801	-0.413370	
2382.976471	-0.433399	
2382.978063	-0.450366	
2382.979723	-0.454201	
2382.981322	-0.450983	
2382.982973	-0.476180	
2382.984571	-0.484571	
2382.986208	-0.496797	
2382.987865	-0.520322	
2382.989361	-0.556089	
2382.991004	-0.566092	
2382.992479	-0.591305	
2382.994127	-0.617066	
2382.995607	-0.637159	
2382.997249	-0.648584	
2382.998729	-0.656805	
2383.000344	-0.690285	
2383.001864	-0.704086	
2383.003430	-0.727744	
2383.004987	-0.759838	
2383.006603	-0.804194	
2383.008176	-0.814840	
2383.009761	-0.855446	
2383.011376	-0.885678	
2383.012945	-0.902964	
2383.014561	-0.918405	
2383.016074	-0.944754	
2383.017772	-0.975631	
2383.019376	-0.998347	
2383.021049	-1.028507	
2383.022614	-1.074663	
2383.024323	-1.093834	
2383.025890	-1.135756	
2383.027580	-1.169905	
2383.029142	-1.195565	
2383.030798	-1.211860	
2383.032328	-1.237903	
2383.034032	-1.264014	
2383.035528	-1.282851	
2383.037309	-1.313015	
2383.038796	-1.354784	
2383.040582	-1.393130	
2383.042069	-1.411938	
2383.043843	-1.449728	
2383.045325	-1.476210	
2383.047128	-1.490039	
2383.048617	-1.506495	
2383.050405	-1.540164	
2383.051893	-1.554263	
2383.053643	-1.582868	
2383.055151	-1.606832	
2383.056892	-1.627437	
2383.058412	-1.629943	
2383.060124	-1.629991	
2383.061662	-1.629991	
2383.063367	-1.629951	
2383.064918	-1.629995	
2383.066615	-1.630056	
2383.068173	-1.630116	
2383.069849	-1.629991	
2383.071432	-1.630056	
2383.073093	-1.630019	
2383.074691	-1.630108	
2383.076315	-1.630015	
2383.077931	-1.630007	
2383.079569	-1.630052	
2383.081178	-1.630092	
2383.082788	-1.630003	
2383.084417	-1.630112	
2383.086004	-1.629959	
2383.087677	-1.630128	
2383.089244	-1.629999	
2383.090951	-1.630060	
2383.092499	-1.629979	
2383.094188	-1.630056	
2383.095741	-1.630007	
2383.097448	-1.630092	
2383.098943	-1.630176	
2383.100507	-1.630080	
2383.102015	-1.630229	
2383.103606	-1.630088	
2383.105136	-1.630092	
2383.106709	-1.630060	
2383.108279	-1.630124	
2383.109769	-1.630036	
2383.111433	-1.630185	
2383.112933	-1.630100	
2383.114557	-1.630160	
2383.116102	-1.630072	
2383.117785	-1.630112	
2383.119265	-1.629979	
2383.120994	-1.630080	
2383.122470	-1.630080	
2383.124199	-1.629983	
2383.125672	-1.630068	
2383.127377	-1.630108	
2383.128884	-1.630039	
2383.130637	-1.630104	
2383.132127	-1.630084	
2383.133895	-1.630104	
2383.135376	-1.630112	
2383.137160	-1.630056	
2383.138641	-1.630108	
2383.140434	-1.630076	
2383.141919	-1.630124	
2383.143675	-1.630088	
2383.145176	-1.630096	
2383.146912	-1.630176	
2383.148437	-1.630144	
2383.150189	-1.630039	
2383.151709	-1.630140	
2383.153416	-1.630064	
2383.154954	-1.630112	
2383.156663	-1.629995	
2383.158223	-1.630249	
2383.159899	-1.630064	
2383.161469	-1.630205	
2383.163161	-1.630076	
2383.164736	-1.630213	
2383.166382	-1.630044	
2383.167982	-1.630193	
2383.169627	-1.629939	
2383.171240	-1.630180	
2383.172853	-1.630096	
2383.174490	-1.630237	
2383.176088	-1.630031	
2383.177766	-1.630180	
2383.179366	-1.630092	
2383.181020	-1.630217	
2383.182628	-1.630080	
2383.184308	-1.630168	
2383.185866	-1.630048	
2383.187584	-1.630152	
2383.189130	-1.630088	
2383.190819	-1.630172	
2383.192384	-1.630152	
2383.194089	-1.630108	
2383.195632	-1.630104	
2383.197378	-1.630104	
2383.198879	-1.630144	
2383.200644	-1.630156	
2383.202122	-1.630136	
2383.203895	-1.630112	
2383.205382	-1.630116	
2383.207152	-1.630076	
2383.208674	-1.630205	
2383.210166	-1.630164	
2383.211737	-1.630193	
2383.213272	-1.630136	
2383.214871	-1.630205	
2383.216361	-1.630168	
2383.218012	-1.630261	
2383.219521	-1.630160	
2383.221169	-1.630201	
2383.222663	-1.630128	
2383.224299	-1.630225	
2383.225787	-1.630172	
2383.227495	-1.630136	
2383.228980	-1.630132	
2383.230708	-1.630172	
2383.232201	-1.630124	
2383.233902	-1.630185	
2383.235393	-1.630116	
2383.237107	-1.630209	
2383.238578	-1.630136	
2383.240261	-1.630064	
2383.241769	-1.630265	
2383.243468	-1.630120	
2383.245001	-1.630180	
2383.246746	-1.630168	
2383.248291	-1.630185	
2383.249987	-1.630180	
2383.251525	-1.630180	
2383.253214	-1.630068	
2383.254778	-1.630144	
2383.256434	-1.630084	
2383.258020	-1.630160	
2383.259660	-1.630120	
2383.261273	-1.630168	
2383.262925	-1.630120	
2383.264526	-1.630237	
2383.266145	-1.630100	
2383.267776	-1.630217	
2383.269375	-1.630056	
2383.271049	-1.630160	
2383.272633	-1.630072	
2383.274329	-1.630156	
2383.275893	-1.630116	
2383.277589	-1.630217	
2383.279161	-1.630031	
2383.280871	-1.630128	
2383.282427	-1.629991	
2383.284133	-1.630096	
2383.285680	-1.630112	
2383.287374	-1.630188	
2383.288885	-1.630193	
2383.290629	-1.630168	
2383.292109	-1.630180	
2383.293880	-1.630188	
2383.295373	-1.630100	
2383.297172	-1.630112	
2383.298643	-1.630168	
2383.300424	-1.630088	
2383.301901	-1.630160	
2383.303648	-1.630172	
2383.305154	-1.630164	
2383.306900	-1.630100	
2383.308417	-1.630108	
2383.310163	-1.630108	
2383.311691	-1.630144	
2383.313420	-1.630060	
2383.314956	-1.630188	
2383.316663	-1.630035	
2383.318242	-1.630132	
2383.319734	-1.630096	
2383.321397	-1.630080	
2383.322886	-1.630205	
2383.324512	-1.630132	
2383.326034	-1.630108	
2383.327677	-1.630136	
2383.329155	-1.630108	
2383.330802	-1.630148	
2383.332278	-1.630209	
2383.333911	-1.630132	
2383.335390	-1.630136	
2383.337090	-1.630152	
2383.338578	-1.630104	
2383.340269	-1.629967	
2383.341806	-1.630104	
2383.343450	-1.630011	
2383.344977	-1.630088	
2383.346627	-1.630023	
2383.348180	-1.630160	
2383.349882	-1.630036	
2383.351442	-1.630035	
2383.353124	-1.630019	
2383.354691	-1.630132	
2383.356345	-1.630027	
2383.357945	-1.630052	
2383.359581	-1.629967	
2383.361196	-1.630084	
2383.362823	-1.630007	
2383.364450	-1.630092	
2383.366067	-1.629967	
2383.367733	-1.630080	
2383.369308	-1.630023	
2383.370980	-1.630076	
2383.372553	-1.629902	
2383.374253	-1.629826	
2383.375820	-1.616621	
2383.377514	-1.537755	
2383.379071	-1.471747	
2383.380749	-1.388187	
2383.382280	-1.327464	
2383.384023	-1.255547	
2383.385522	-1.195348	
2383.387300	-1.133617	
2383.388785	-1.087139	
2383.390573	-1.030496	
2383.392066	-0.974926	
2383.393858	-0.913909	
2383.395341	-0.855804	
2383.397131	-0.770319	
2383.398612	-0.699139	
2383.400375	-0.643516	
2383.401866	-0.566442	
2383.403608	-0.495604	
2383.405114	-0.452948	
2383.406863	-0.398071	
2383.408395	-0.326129	
2383.410114	-0.273475	
2383.411657	-0.210971	
2383.413374	-0.121397	
2383.414921	-0.046072	
2383.416636	0.021757	
2383.418195	0.108632	
2383.419905	0.193674	
2383.421477	0.254924	
2383.423156	0.311019	
2383.424731	0.389285	
2383.426400	0.449996	
2383.428016	0.519827	
2383.429506	0.597734	
2383.431146	0.679231	
2383.432669	0.746367	
2383.434315	0.819215	
2383.435795	0.896688	
2383.437447	0.974084	
2383.438935	1.023762	
2383.440576	1.086974	
2383.442061	1.165832	
2383.443707	1.223010	
2383.445208	1.279584	
2383.446904	1.379789	
2383.448429	1.458969	
2383.450066	1.513492	
2383.451605	1.584830	
2383.453227	1.620541	
2383.454794	1.625178	
2383.456383	1.625097	
2383.457962	1.625061	
2383.459606	1.625178	
2383.461202	1.625105	
2383.462843	1.625202	
2383.464484	1.625101	
2383.466097	1.625226	
2383.467768	1.625170	
2383.469381	1.625178	
2383.471030	1.625113	
2383.472640	1.625230	
2383.474297	1.625085	
2383.475879	1.625234	
2383.477578	1.625125	
2383.479133	1.625182	
2383.480853	1.625186	
2383.482405	1.625246	
2383.484103	1.625214	
2383.485645	1.625133	
2383.487350	1.625105	
2383.488852	1.625125	
2383.490637	1.625097	
2383.492116	1.625158	
2383.493902	1.625198	
2383.495381	1.625218	
2383.497182	1.625121	
2383.498668	1.625105	
2383.500423	1.625142	
2383.501914	1.625117	
2383.503692	1.625238	
2383.505182	1.625105	
2383.506932	1.625202	
2383.508440	1.625154	
2383.510180	1.625202	
2383.511697	1.625154	
2383.513412	1.625186	
2383.514935	1.625085	
2383.516637	1.625182	
2383.518192	1.625206	
2383.519893	1.625141	
2383.521450	1.625206	
2383.523140	1.625178	
2383.524708	1.625069	
2383.526376	1.625182	
2383.527963	1.625178	
2383.529594	1.625198	
2383.531206	1.625097	
2383.532836	1.625242	
2383.534460	1.625149	
2383.536066	1.625270	
2383.537698	1.625170	
2383.539190	1.625025	
2383.540755	1.625149	
2383.542253	1.625157	
2383.543879	1.625182	
2383.545380	1.625093	
2383.547008	1.625178	
2383.548507	1.625170	
2383.550081	1.625178	
2383.551614	1.625210	
2383.553149	1.625286	
2383.554744	1.625170	
2383.556328	1.625174	
2383.557936	1.625166	
2383.559497	1.625210	
2383.561140	1.625198	
2383.562647	1.625194	
2383.564365	1.625141	
2383.565848	1.625194	
2383.567578	1.625202	
2383.569053	1.625170	
2383.570771	1.625198	
2383.572321	1.625129	
2383.574042	1.625149	
2383.575578	1.625246	
2383.577338	1.625149	
2383.578836	1.625355	
2383.580593	1.625194	
2383.582073	1.625210	
2383.583848	1.625133	
2383.585333	1.625162	
2383.587112	1.625162	
2383.588607	1.625162	
2383.590385	1.625194	
2383.591865	1.625238	
2383.593635	1.625141	
2383.595134	1.625109	
2383.596844	1.625202	
2383.598361	1.625186	
2383.600083	1.625258	
2383.601623	1.625254	
2383.603356	1.625254	
2383.604903	1.625230	
2383.606601	1.625234	
2383.608149	1.625117	
2383.609834	1.625145	
2383.611408	1.625137	
2383.613072	1.625242	
2383.614666	1.625142	
2383.616310	1.625210	
2383.617919	1.625085	
2383.619574	1.625266	
2383.621176	1.625158	
2383.622809	1.625202	
2383.624445	1.625081	
2383.626045	1.625105	
2383.627727	1.625093	
2383.629320	1.625266	
2383.631001	1.625162	
2383.632620	1.625262	
2383.634279	1.625218	
