time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3301.398177	263.413086	1.226496	-0.031982	55
3303.430756	266.662628	1.157629	-0.030341	57
3305.456917	267.946686	1.106658	-0.033564	59
3307.469141	266.955780	1.059969	-0.034631	61
3309.475675	265.514435	1.001401	-0.032518	63
3311.485412	264.941498	0.935444	-0.030460	65
3313.499457	265.035461	0.874169	-0.029085	67
3315.517013	265.335693	0.817383	-0.027835	69
3317.539264	265.597351	0.762531	-0.026860	71
3319.568725	265.303131	0.708195	-0.027243	73
3321.601031	264.502930	0.662154	-0.026777	75
3323.617934	264.477722	0.634846	-0.022615	77
3325.611258	265.988312	0.606522	-0.018578	79
3327.601126	267.716003	0.550899	-0.017812	81
3329.633436	266.352173	0.495613	-0.023326	83
3331.691124	263.144897	0.470207	-0.020806	85
3333.698987	264.234650	0.467085	-0.012472	87
3335.666935	268.028229	0.428412	-0.010927	89
