time (s)	det(V)
3301.461967	1.625154	
3301.463444	1.625246	
3301.465199	1.625186	
3301.466697	1.625186	
3301.468431	1.625174	
3301.469942	1.625238	
3301.471685	1.625234	
3301.473216	1.625190	
3301.474941	1.625319	
3301.476472	1.625222	
3301.478174	1.625319	
3301.479735	1.625170	
3301.481422	1.625278	
3301.482989	1.625113	
3301.484670	1.625234	
3301.486246	1.625166	
3301.487925	1.625222	
3301.489508	1.625170	
3301.491165	1.625238	
3301.492770	1.625069	
3301.494429	1.625291	
3301.496054	1.625153	
3301.497671	1.625238	
3301.499307	1.625258	
3301.500900	1.625258	
3301.502558	1.625162	
3301.504152	1.625242	
3301.505820	1.625262	
3301.507401	1.625278	
3301.509099	1.625182	
3301.510642	1.625319	
3301.512369	1.625234	
3301.513919	1.625311	
3301.515623	1.625238	
3301.517176	1.625182	
3301.518867	1.625250	
3301.520418	1.625186	
3301.522169	1.625250	
3301.523645	1.625226	
3301.525435	1.625290	
3301.526919	1.625314	
3301.528694	1.625286	
3301.530189	1.625198	
3301.531961	1.625242	
3301.533439	1.625307	
3301.535202	1.625270	
3301.536694	1.625182	
3301.538458	1.625202	
3301.539974	1.625198	
3301.541545	1.625266	
3301.543115	1.625258	
3301.544627	1.625258	
3301.546272	1.625194	
3301.547765	1.625210	
3301.549395	1.625214	
3301.550925	1.625137	
3301.552573	1.625166	
3301.554054	1.625182	
3301.555781	1.625113	
3301.557254	1.625218	
3301.558976	1.625250	
3301.560460	1.625182	
3301.562164	1.625178	
3301.563654	1.625149	
3301.565362	1.625170	
3301.566858	1.625178	
3301.568562	1.625250	
3301.570039	1.625186	
3301.571820	1.625198	
3301.573330	1.625145	
3301.575075	1.625254	
3301.576594	1.625198	
3301.578323	1.625278	
3301.579858	1.625153	
3301.581597	1.625226	
3301.583137	1.625218	
3301.584844	1.625194	
3301.586393	1.625081	
3301.588088	1.625158	
3301.589659	1.625061	
3301.591325	1.625121	
3301.592889	1.625085	
3301.594545	1.625214	
3301.596145	1.625109	
3301.597801	1.625210	
3301.599408	1.625125	
3301.601038	1.625315	
3301.602666	1.625186	
