time (s)	det(V)
5810.597300	-0.017390	
5810.598841	-0.010163	
5810.600543	-0.019477	
5810.602093	-0.023263	
5810.603766	-0.017193	
5810.605336	-0.002429	
5810.607002	-0.005559	
5810.608595	-0.001623	
5810.610217	0.000479	
5810.611819	0.003122	
5810.613452	-0.017346	
5810.615041	-0.017934	
5810.616654	-0.011283	
5810.618321	-0.023086	
5810.619913	-0.021181	
5810.621582	-0.007211	
5810.623148	-0.000592	
5810.624829	-0.012536	
5810.626399	0.005503	
5810.628099	0.005660	
5810.629665	-0.004193	
5810.631388	-0.021024	
5810.632935	-0.008463	
5810.634645	-0.022623	
5810.636164	-0.025693	
5810.637902	-0.012012	
5810.639394	0.001479	
5810.641163	-0.010429	
5810.642658	0.006574	
5810.644424	0.005591	
5810.645912	-0.002316	
5810.647692	-0.015896	
5810.649176	-0.010889	
5810.650943	-0.021374	
5810.652434	-0.015622	
5810.654184	-0.012971	
5810.655697	0.001249	
5810.657267	-0.008073	
5810.658815	0.001712	
5810.660314	0.008854	
5810.661971	0.002659	
5810.663454	-0.012093	
5810.665084	-0.016959	
5810.666601	-0.009068	
5810.668211	-0.018740	
5810.669693	-0.018929	
5810.671330	-0.011493	
5810.672821	0.000391	
5810.674530	-0.009797	
5810.676028	0.008331	
5810.677737	0.006224	
5810.679219	0.000004	
5810.680906	-0.016057	
5810.682392	-0.006590	
5810.684045	-0.020556	
5810.685566	-0.020947	
5810.687271	-0.016081	
5810.688809	-0.002026	
5810.690510	-0.002091	
5810.692069	0.001998	
5810.693726	0.007191	
5810.695304	0.003215	
5810.696963	-0.013277	
5810.698558	-0.013672	
5810.700194	-0.011174	
5810.701798	-0.023223	
5810.703437	-0.019690	
5810.705063	-0.003456	
5810.706672	0.001885	
5810.708333	-0.002228	
5810.709923	0.009882	
5810.711552	0.004520	
5810.713142	-0.010026	
5810.714814	-0.021213	
5810.716385	-0.003871	
5810.718085	-0.019654	
5810.719630	-0.021765	
5810.721333	-0.005603	
5810.722879	0.002067	
5810.724589	-0.006933	
5810.726091	-0.000495	
5810.727841	0.004681	
5810.729335	-0.007420	
5810.731108	-0.018675	
5810.732583	-0.007206	
5810.734366	-0.018719	
5810.735848	-0.026031	
5810.737622	-0.016661	
5810.739109	0.003589	
5810.740861	-0.008322	
5810.742359	0.000483	
5810.744091	0.005797	
5810.745612	-0.000822	
5810.747315	-0.019819	
5810.748851	-0.011497	
5810.750556	-0.023074	
5810.752109	-0.029479	
5810.753819	-0.022667	
5810.755371	-0.005406	
5810.757037	-0.004765	
5810.758623	-0.003976	
5810.760285	0.006752	
5810.761882	0.002780	
5810.763518	-0.015279	
5810.765121	-0.011150	
5810.766637	-0.010876	
5810.768273	-0.023928	
5810.769759	-0.022567	
5810.771420	-0.014663	
5810.772890	0.007058	
5810.774520	-0.009414	
5810.776004	0.004379	
5810.777637	0.008810	
5810.779112	0.000439	
5810.780700	-0.019759	
5810.782223	-0.013068	
5810.783840	-0.017721	
5810.785411	-0.019662	
5810.786994	-0.017177	
5810.788591	0.000197	
5810.790144	-0.003215	
5810.791760	-0.002397	
5810.793281	0.005732	
5810.794962	0.005112	
5810.796563	-0.007960	
5810.798210	-0.020532	
5810.799801	-0.006647	
5810.801466	-0.014466	
5810.803030	-0.023892	
5810.804748	-0.008955	
5810.806296	0.002099	
5810.808001	-0.005736	
5810.809530	0.005781	
5810.811246	0.006683	
5810.812744	-0.007315	
5810.814484	-0.012411	
5810.815971	-0.005168	
5810.817761	-0.024005	
5810.819246	-0.027461	
5810.821013	-0.015469	
5810.822494	0.003142	
5810.824249	-0.009100	
5810.825734	0.000479	
5810.827453	0.001692	
5810.828963	-0.000584	
5810.830690	-0.016274	
5810.832216	-0.011517	
5810.833946	-0.021092	
5810.835490	-0.022139	
5810.837187	-0.018514	
5810.838727	-0.003754	
5810.840419	-0.006393	
5810.841986	-0.001720	
5810.843651	0.004419	
5810.845239	0.005426	
5810.846892	-0.013023	
5810.848492	-0.013056	
5810.850130	-0.014723	
5810.851740	-0.025701	
5810.853369	-0.018824	
5810.854996	-0.002965	
5810.856588	-0.002433	
5810.858265	-0.003484	
5810.859829	0.009229	
5810.861506	0.001914	
5810.863083	-0.006224	
5810.864749	-0.017120	
5810.866306	-0.002953	
5810.868008	-0.022252	
5810.869555	-0.018095	
5810.871288	-0.010248	
5810.872805	0.005245	
5810.874548	-0.005841	
5810.876024	0.004480	
5810.877649	0.009511	
5810.879146	-0.002695	
5810.880731	-0.013668	
5810.882286	-0.006832	
5810.883833	-0.018486	
5810.885429	-0.022450	
5810.886916	-0.019026	
5810.888547	-0.001579	
5810.890090	0.001080	
5810.891706	-0.002179	
5810.893207	0.004923	
5810.894886	0.003730	
5810.896367	-0.006163	
5810.898075	-0.022317	
5810.899561	-0.009144	
5810.901284	-0.021382	
5810.902770	-0.021386	
5810.904482	-0.011569	
5810.905962	0.000725	
5810.907735	-0.011610	
5810.909213	0.005732	
5810.910986	0.004907	
5810.912466	-0.002969	
5810.914240	-0.018969	
5810.915740	-0.008161	
5810.917489	-0.025701	
5810.918991	-0.026998	
5810.920723	-0.016472	
5810.922238	0.000189	
5810.923959	-0.009599	
5810.925486	0.002030	
5810.927195	0.003835	
5810.928747	-0.002481	
5810.930426	-0.018216	
5810.931997	-0.010981	
5810.933687	-0.025016	
5810.935261	-0.022417	
5810.936914	-0.022293	
5810.938507	-0.006683	
5810.940151	-0.000294	
5810.941763	-0.004737	
5810.943375	0.003823	
5810.945010	0.009285	
5810.946603	-0.013942	
5810.948256	-0.020923	
5810.949850	-0.008101	
5810.951502	-0.020081	
5810.953075	-0.018470	
5810.954785	-0.003086	
5810.956336	0.005076	
5810.958049	-0.007597	
5810.959585	0.002909	
5810.961279	0.008008	
5810.962807	-0.004217	
5810.964531	-0.019727	
5810.966022	-0.011593	
5810.967809	-0.016955	
5810.969286	-0.023118	
5810.971054	-0.006320	
5810.972538	0.006401	
5810.974307	-0.001857	
5810.975786	0.000890	
5810.977531	0.007847	
5810.979029	-0.001180	
5810.980762	-0.015191	
5810.982312	-0.009031	
5810.983798	-0.015017	
5810.985399	-0.023981	
5810.986893	-0.017052	
5810.988553	0.000479	
5810.990039	0.001712	
5810.991678	-0.004773	
5810.993171	0.004733	
5810.994796	0.006244	
5810.996283	-0.007686	
5810.997908	-0.020488	
5810.999402	-0.007340	
5811.001117	-0.021390	
5811.002604	-0.023122	
5811.004310	-0.013656	
5811.005792	0.005801	
5811.007475	-0.009180	
5811.008972	-0.005567	
5811.010609	0.005712	
5811.012148	0.000560	
5811.013750	-0.017865	
5811.015324	-0.016435	
5811.017008	-0.016395	
5811.018601	-0.015388	
5811.020271	-0.023570	
5811.021849	-0.006308	
5811.023487	-0.001450	
5811.025077	-0.003521	
5811.026708	0.001269	
5811.028346	-0.002465	
5811.029948	-0.012077	
5811.031633	-0.018643	
5811.033229	-0.007186	
5811.034899	-0.022224	
5811.036493	-0.022732	
5811.038154	-0.008915	
5811.039726	0.003263	
5811.041412	-0.009281	
5811.042955	0.003279	
5811.044644	0.000898	
5811.046180	-0.006337	
5811.047883	-0.018587	
5811.049382	-0.011090	
5811.051141	-0.022313	
5811.052621	-0.017672	
5811.054406	-0.007762	
5811.055899	0.005982	
5811.057665	-0.005877	
5811.059148	0.005084	
5811.060895	0.006292	
5811.062384	-0.002240	
5811.064104	-0.015602	
5811.065619	-0.003376	
5811.067364	-0.019320	
5811.068894	-0.021209	
5811.070604	-0.014981	
5811.072150	-0.000870	
5811.073835	0.001180	
5811.075378	0.000339	
5811.077051	0.009257	
5811.078622	-0.000403	
5811.080283	-0.012206	
5811.081862	-0.017229	
5811.083491	-0.012032	
5811.085096	-0.015231	
5811.086723	-0.015328	
5811.088326	-0.000242	
5811.089947	0.003098	
5811.091583	-0.004556	
5811.093067	0.006002	
5811.094623	0.004826	
