time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3687.528964	275.964966	1.210294	0.068733	67
3689.546756	276.020172	1.142855	0.066283	69
3691.563446	276.029358	1.079921	0.064363	71
3693.580189	276.135406	1.016583	0.061841	73
3695.596512	276.207733	0.957397	0.060233	75
3697.612692	276.335022	0.900763	0.057971	77
3699.628030	276.476410	0.846077	0.055555	79
3701.642142	276.621002	0.793203	0.052822	81
3703.655215	276.785431	0.742841	0.049989	83
3705.667640	276.964294	0.694815	0.047097	85
3707.680057	277.209656	0.649203	0.044445	87
3709.691236	277.504639	0.604202	0.041944	89
3711.702415	277.746918	0.562018	0.039441	91
3713.711611	278.037842	0.521037	0.037412	93
3715.722463	278.323151	0.482876	0.035290	95
3717.735781	278.496490	0.446674	0.033266	97
3719.748003	278.617523	0.413172	0.031269	99
