time (s)	det(V)
3688.158839	-0.137760	
3688.160519	-0.137067	
3688.162104	-0.150260	
3688.163782	-0.160339	
3688.165367	-0.155284	
3688.167052	-0.145765	
3688.168609	-0.159042	
3688.170311	-0.156049	
3688.171864	-0.160649	
3688.173567	-0.175200	
3688.175056	-0.193420	
3688.176830	-0.191240	
3688.178312	-0.207692	
3688.180077	-0.220232	
3688.181571	-0.222291	
3688.183359	-0.212953	
3688.184836	-0.224522	
3688.186630	-0.225119	
3688.188111	-0.231761	
3688.189868	-0.231560	
3688.191359	-0.257857	
3688.193103	-0.261792	
3688.194610	-0.275896	
3688.196354	-0.291727	
3688.197894	-0.295014	
3688.199616	-0.291147	
3688.201156	-0.293858	
3688.202864	-0.307308	
3688.204416	-0.304908	
3688.206110	-0.318410	
3688.207667	-0.333251	
3688.209356	-0.350895	
3688.210934	-0.346597	
3688.212604	-0.371157	
3688.214186	-0.383206	
3688.215832	-0.380978	
3688.217437	-0.382497	
3688.219086	-0.393643	
3688.220705	-0.394662	
3688.222330	-0.404016	
3688.223974	-0.430140	
3688.225498	-0.451184	
3688.227143	-0.453738	
3688.228619	-0.478178	
3688.230271	-0.494347	
3688.231758	-0.496833	
3688.233394	-0.499073	
3688.234885	-0.513131	
3688.236505	-0.524527	
3688.238022	-0.532620	
3688.239586	-0.550425	
3688.241132	-0.578229	
3688.242757	-0.602536	
3688.244327	-0.615036	
3688.245935	-0.646195	
3688.247528	-0.669551	
3688.249090	-0.673305	
3688.250696	-0.689350	
3688.252232	-0.720336	
3688.253933	-0.729674	
3688.255526	-0.750669	
3688.257212	-0.789869	
3688.258788	-0.835969	
3688.260480	-0.852215	
3688.262062	-0.893014	
3688.263724	-0.930115	
3688.265280	-0.944436	
3688.266973	-0.959550	
3688.268515	-1.011322	
3688.270222	-1.030678	
3688.271736	-1.062610	
3688.273488	-1.107683	
3688.274973	-1.165401	
3688.276742	-1.196745	
3688.278223	-1.239591	
3688.279997	-1.281832	
3688.281495	-1.325853	
3688.283291	-1.362192	
3688.284773	-1.404711	
3688.286536	-1.453329	
3688.288025	-1.489133	
3688.289781	-1.548535	
3688.291293	-1.601668	
3688.293012	-1.628545	
3688.294551	-1.630003	
3688.296279	-1.630096	
3688.297820	-1.630060	
3688.299524	-1.629959	
3688.301070	-1.629999	
3688.302773	-1.629931	
3688.304322	-1.630076	
3688.306006	-1.630040	
3688.307575	-1.630112	
3688.309233	-1.629987	
3688.310827	-1.630088	
3688.312470	-1.629967	
3688.314062	-1.630076	
3688.315704	-1.629923	
3688.317309	-1.630100	
3688.318930	-1.629979	
3688.320596	-1.630031	
3688.322184	-1.629987	
3688.323854	-1.630092	
3688.325446	-1.629975	
3688.327116	-1.630180	
3688.328699	-1.630076	
3688.330393	-1.630044	
3688.331968	-1.629975	
3688.333674	-1.630031	
3688.335152	-1.630116	
3688.336727	-1.630092	
3688.338209	-1.630092	
3688.339828	-1.630015	
3688.341332	-1.630120	
3688.342906	-1.630036	
3688.344458	-1.630140	
3688.345984	-1.630080	
3688.347622	-1.630076	
3688.349105	-1.630160	
3688.350729	-1.630136	
3688.352280	-1.630027	
3688.353958	-1.630160	
3688.355438	-1.630092	
3688.357161	-1.630156	
3688.358635	-1.630104	
3688.360372	-1.630068	
3688.361844	-1.630108	
3688.363552	-1.630136	
3688.365042	-1.630104	
3688.366760	-1.630144	
3688.368242	-1.630051	
3688.370028	-1.630136	
3688.371511	-1.630040	
3688.373286	-1.630116	
3688.374768	-1.630136	
3688.376536	-1.630152	
3688.378030	-1.630160	
3688.379804	-1.630164	
3688.381315	-1.630193	
3688.383063	-1.630164	
3688.384580	-1.630144	
3688.386311	-1.630201	
3688.387842	-1.630209	
3688.389546	-1.630229	
3688.391092	-1.630176	
3688.392790	-1.630156	
3688.394347	-1.630225	
3688.396023	-1.630156	
3688.397591	-1.630156	
3688.399274	-1.630201	
3688.400853	-1.630189	
3688.402507	-1.630096	
3688.404098	-1.630265	
3688.405718	-1.630092	
3688.407335	-1.630261	
3688.408960	-1.630140	
3688.410627	-1.630334	
3688.412228	-1.630168	
3688.413873	-1.630269	
3688.415477	-1.630100	
3688.417165	-1.630313	
3688.418734	-1.630197	
3688.420436	-1.630261	
3688.422008	-1.630213	
3688.423707	-1.630253	
3688.425275	-1.630156	
3688.426992	-1.630168	
3688.428539	-1.630152	
3688.430244	-1.630213	
3688.431785	-1.630213	
3688.433512	-1.630205	
3688.434993	-1.630217	
3688.436766	-1.630297	
3688.438248	-1.630213	
3688.440012	-1.630201	
3688.441493	-1.630221	
3688.443257	-1.630253	
3688.444755	-1.630249	
3688.446531	-1.630229	
3688.448023	-1.630253	
3688.449617	-1.630160	
3688.451152	-1.630342	
3688.452692	-1.630205	
3688.454300	-1.630269	
3688.455797	-1.630257	
3688.457450	-1.630305	
3688.458959	-1.630156	
3688.460631	-1.630160	
3688.462119	-1.630229	
3688.463831	-1.630084	
3688.465307	-1.630040	
3688.467028	-1.630128	
3688.468507	-1.630180	
3688.470220	-1.630213	
3688.471697	-1.630241	
3688.473393	-1.630148	
3688.474900	-1.630152	
3688.476611	-1.630140	
3688.478088	-1.630184	
3688.479845	-1.630100	
3688.481334	-1.630072	
3688.483078	-1.630108	
3688.484589	-1.630092	
3688.486339	-1.630080	
3688.487862	-1.630140	
3688.489573	-1.630116	
3688.491114	-1.630112	
3688.492836	-1.630052	
3688.494375	-1.630092	
3688.496062	-1.630027	
3688.497624	-1.630072	
3688.499321	-1.630064	
3688.500897	-1.630112	
3688.502579	-1.629971	
3688.504177	-1.630128	
3688.505816	-1.629911	
3688.507420	-1.630088	
3688.509060	-1.629975	
3688.510654	-1.630140	
3688.512290	-1.629943	
3688.513938	-1.630136	
3688.515546	-1.627570	
3688.517218	-1.469241	
3688.518810	-1.313877	
3688.520489	-1.145416	
3688.522079	-0.987462	
3688.523736	-0.833999	
3688.525300	-0.692194	
3688.527012	-0.531223	
3688.528558	-0.385530	
3688.530276	-0.226976	
3688.531821	-0.065085	
3688.533526	0.127098	
3688.535041	0.279159	
3688.536781	0.441270	
3688.538270	0.589404	
3688.540052	0.761703	
3688.541532	0.902320	
3688.543320	1.087413	
3688.544808	1.232827	
3688.546586	1.376526	
3688.548073	1.538520	
3688.549841	1.621198	
3688.551338	1.625105	
3688.553093	1.625137	
3688.554607	1.625166	
3688.556353	1.625194	
3688.557872	1.625089	
3688.559416	1.625194	
3688.561013	1.625125	
3688.562502	1.625153	
3688.564171	1.625145	
3688.565675	1.625170	
3688.567305	1.625178	
3688.568829	1.625206	
3688.570480	1.625246	
3688.571959	1.625182	
3688.573592	1.625186	
3688.575070	1.625170	
3688.576777	1.625145	
3688.578262	1.625234	
3688.579968	1.625206	
3688.581452	1.625141	
3688.583139	1.625230	
3688.584642	1.625028	
3688.586271	1.625258	
3688.587813	1.625137	
3688.589543	1.625303	
3688.591090	1.625125	
3688.592801	1.625246	
3688.594352	1.625145	
3688.596020	1.625206	
3688.597573	1.625004	
3688.599237	1.625182	
3688.600833	1.625029	
3688.602484	1.625178	
3688.604075	1.625157	
3688.605716	1.625242	
3688.607325	1.625174	
3688.608955	1.625315	
3688.610597	1.625145	
3688.612197	1.625174	
3688.613871	1.625190	
3688.615458	1.625266	
3688.617148	1.625262	
3688.618738	1.625278	
3688.620404	1.625238	
3688.621970	1.625250	
3688.623678	1.625142	
3688.625224	1.625137	
3688.626943	1.625194	
3688.628489	1.625303	
3688.630197	1.625178	
3688.631709	1.625178	
3688.633459	1.625282	
3688.634961	1.625254	
3688.636744	1.625210	
3688.638224	1.625166	
3688.640010	1.625206	
3688.641500	1.625170	
3688.643265	1.625230	
3688.644744	1.625145	
3688.646508	1.625310	
3688.647999	1.625178	
3688.649738	1.625238	
3688.651257	1.625230	
3688.653002	1.625250	
3688.654530	1.625194	
3688.656257	1.625206	
3688.657779	1.625162	
3688.659491	1.625266	
3688.661040	1.625246	
3688.662745	1.625274	
3688.664305	1.625202	
3688.666000	1.625274	
3688.667595	1.625121	
3688.669093	1.625246	
3688.670736	1.625174	
3688.672260	1.625194	
3688.673909	1.625186	
3688.675410	1.625214	
3688.677064	1.625214	
3688.678546	1.625210	
3688.680187	1.625133	
3688.681680	1.625061	
3688.683316	1.625210	
3688.684796	1.625133	
3688.686485	1.625166	
3688.687975	1.625210	
3688.689639	1.625198	
3688.691162	1.625133	
3688.692804	1.625186	
3688.694357	1.625162	
3688.695967	1.625242	
3688.697554	1.625166	
3688.699141	1.625157	
3688.700735	1.625089	
3688.702362	1.625178	
3688.703964	1.625234	
3688.705591	1.625226	
3688.707259	1.625218	
3688.708852	1.625214	
3688.710525	1.625190	
3688.712107	1.625230	
3688.713793	1.625190	
3688.715387	1.625242	
3688.717055	1.625129	
3688.718635	1.625262	
3688.720323	1.625121	
3688.721892	1.625262	
3688.723597	1.625270	
3688.725141	1.625218	
3688.726851	1.625198	
3688.728384	1.625105	
3688.730118	1.625295	
3688.731613	1.625198	
3688.733386	1.625206	
3688.734871	1.625117	
3688.736658	1.625178	
3688.738143	1.625105	
3688.739937	1.625202	
3688.741422	1.625109	
3688.743206	1.625093	
3688.744685	1.625097	
3688.746446	1.625258	
3688.747962	1.625129	
