time (s)	magX	magY	magZ
3688.160334	-29.748684	-256.516663	-52.600819
3688.163657	-30.099356	-258.328461	-54.237289
3688.166993	-29.456457	-260.081818	-56.984222
3688.170324	-28.872004	-262.478088	-58.503799
3688.173698	-28.755114	-264.289886	-61.016949
3688.176989	-28.229105	-266.686157	-63.471649
3688.180334	-28.170660	-268.731750	-66.277031
3688.183658	-27.703098	-271.478668	-69.959084
3688.186990	-27.352425	-273.758026	-71.595558
3688.190322	-26.826418	-276.095856	-73.933372
3688.193656	-26.417299	-278.433655	-77.966103
3688.196991	-26.475746	-280.888367	-79.602570
3688.200323	-25.949738	-282.933960	-83.109299
3688.203659	-25.482174	-286.031555	-86.499123
3688.206988	-24.722383	-288.544708	-88.427818
3688.210319	-24.605494	-291.057861	-92.518997
3688.213652	-23.436586	-293.746338	-95.616600
3688.217014	-22.676798	-296.843964	-99.473991
3688.220325	-21.800117	-298.831085	-103.448273
3688.224585	-20.981882	-304.850952	-110.052597
3688.227833	-20.222092	-307.188782	-113.617767
3688.231171	-19.754528	-310.870850	-117.708946
3688.234504	-19.403856	-313.734650	-122.735237
3688.237863	-18.994740	-317.416718	-126.943298
3688.240776	-18.760958	-319.929871	-131.151382
3688.244100	-17.825832	-322.267670	-136.002335
3688.247431	-17.358271	-325.715942	-141.145523
3688.250762	-16.949154	-329.631805	-146.522491
3688.253661	-17.416716	-332.086487	-150.321442
3688.256985	-16.540035	-335.008759	-154.880188
3688.260358	-16.014027	-338.807739	-160.900055
3688.263653	-15.488018	-341.613098	-165.692581
3688.266990	-14.319112	-345.353607	-172.121567
3688.270315	-14.436002	-348.509644	-178.667450
3688.273646	-13.734658	-352.542389	-184.336655
3688.276982	-13.734658	-356.165985	-191.876099
3688.280316	-14.026885	-359.731140	-197.954422
3688.283644	-13.208650	-363.120972	-205.610748
3688.286981	-12.565751	-367.036804	-212.916428
3688.290318	-11.922852	-370.835754	-220.631226
3688.293651	-11.338399	-374.576294	-228.287552
3688.296984	-11.046172	-377.907654	-236.236115
3688.300316	-10.870836	-382.115723	-244.243118
3688.303672	-9.526592	-385.505554	-252.074814
3688.306975	-9.000585	-389.655151	-261.952057
3688.310315	-8.474577	-393.687897	-270.660431
3688.313642	-7.773232	-397.194611	-280.187042
3688.316975	-6.838106	-400.993591	-290.707184
3688.320330	-6.019871	-405.318542	-300.876678
3688.323648	-4.909410	-408.591461	-311.455292
3688.326978	-4.266511	-411.689087	-322.384583
3688.330311	-3.506721	-415.312683	-333.489166
3688.334941	-1.402689	-422.501465	-356.633545
3688.337827	0.993571	-425.540649	-368.907074
3688.341198	1.870251	-428.988892	-380.654602
3688.344515	2.863822	-432.261841	-393.395691
3688.347952	3.682057	-434.716553	-406.545868
3688.350758	4.850964	-437.054352	-419.696106
3688.354131	5.902981	-439.509064	-432.495605
3688.357398	7.188778	-442.898895	-446.230255
3688.360731	8.065459	-444.710693	-460.081818
3688.364064	8.708358	-446.931610	-474.167145
3688.366972	10.169491	-449.094116	-489.947418
3688.370305	11.104617	-451.431885	-504.500305
3688.373640	11.513735	-452.776154	-518.936279
3688.376972	12.857978	-454.295715	-534.132080
3688.380302	13.617767	-454.587982	-550.964355
3688.383635	14.260666	-455.990662	-566.043213
3688.386974	14.903564	-456.575104	-581.940369
3688.390330	15.429573	-456.691986	-598.363525
