crossing time (s)	slope (V/s)	crossing number
3687.557984	101.033307	1603
3688.536549	97.780706	1604
3689.571875	92.849854	1605
3690.560644	90.720637	1606
3691.573417	84.016240	1607
3692.559768	81.078104	1608
3693.593490	71.309865	1609
3694.633733	69.350461	1610
3695.602720	62.613980	1611
3696.599853	60.473775	1612
3697.619602	54.236085	1613
3698.630989	55.910629	1614
3699.633054	49.260547	1615
3700.651726	49.206727	1616
3701.647924	44.928270	1617
3702.674493	40.833243	1618
3703.650138	39.880926	1619
3704.676705	36.113659	1620
3705.653884	34.779586	1621
3706.703752	34.086412	1622
3707.681603	28.812026	1623
3708.731984	28.077943	1624
3709.695464	26.845919	1625
3710.767136	24.043860	1626
3711.711617	23.874419	1627
3712.758261	21.889863	1628
3713.707504	20.480921	1629
3714.805122	18.244905	1630
3715.717869	18.284532	1631
3716.811036	16.515511	1632
3717.748494	14.654734	1633
3718.828794	13.445802	1634
3719.746129	12.853567	1635
3720.847083	11.790795	1636
3721.765641	11.009864	1637
