time (s)	magX	magY	magZ
4986.753787	-39.216831	392.811218	-426.943298
4986.757119	-39.333721	394.097015	-414.143738
4986.760455	-39.742840	394.564575	-401.928711
4986.763788	-40.502628	394.915253	-389.129150
4986.767176	-40.677963	394.213928	-377.673859
4986.770457	-40.853302	393.512573	-366.393921
4986.773787	-41.379311	392.986572	-352.951477
4986.777117	-41.788429	391.466980	-341.671539
4986.780450	-42.372883	390.590271	-331.092926
4986.783779	-43.015781	389.596710	-319.403870
4986.787119	-42.548218	387.200470	-309.059021
4986.790451	-43.483345	385.096436	-297.545288
4986.793781	-43.950905	383.050842	-286.440674
4986.797115	-44.360023	381.122162	-276.797211
4986.800452	-44.418468	378.725891	-266.393921
4986.803807	-44.827587	375.569855	-256.575104
4986.808468	-45.996494	369.023956	-237.405045
4986.811373	-46.171829	365.809479	-229.105789
4986.814713	-46.054939	363.763885	-220.806549
4986.818056	-46.522503	358.445374	-211.572174
4986.821295	-45.938049	355.932220	-204.734070
4986.824212	-46.814728	352.776154	-196.317947
4986.827549	-46.814728	349.620117	-188.603149
4986.830864	-46.814728	346.230255	-181.823486
4986.834208	-46.697838	342.489777	-174.459381
4986.837529	-47.106953	338.047943	-168.322617
4986.840442	-46.873173	335.417877	-162.770309
4986.843778	-47.106953	332.612518	-156.341324
4986.847108	-47.282291	329.105774	-150.204559
4986.850447	-47.048508	324.780823	-145.236710
4986.853782	-46.697838	322.033905	-139.625961
4986.857120	-46.522503	318.001160	-134.599655
4986.860441	-46.405609	315.488037	-129.222687
4986.863814	-46.697838	312.215088	-124.780830
4986.867106	-46.580948	308.533020	-120.105209
4986.870444	-46.113384	305.786072	-116.247810
4986.873775	-45.645821	301.753357	-110.870834
4986.877133	-45.938049	298.421967	-105.844536
4986.880436	-45.528931	295.791931	-102.162483
4986.883771	-45.996494	292.577423	-98.363533
4986.887113	-45.412041	289.070740	-95.149033
4986.890453	-45.704266	286.206879	-90.882523
4986.893771	-45.938049	283.050842	-86.616013
4986.897107	-45.704266	279.661011	-83.459969
4986.900437	-46.171829	277.089417	-79.602570
4986.903770	-46.347164	273.991821	-76.680305
4986.907103	-45.704266	271.011108	-72.706017
4986.910435	-46.405609	267.036804	-69.549973
4986.913766	-46.230274	264.699005	-66.101692
4986.918019	-46.288719	258.737579	-59.263588
4986.921312	-46.756283	255.756882	-56.925774
4986.924617	-46.113384	252.893036	-53.302162
4986.927949	-46.464054	249.327881	-50.555229
4986.931311	-47.106953	247.165390	-47.632961
4986.934191	-47.106953	244.418472	-44.769142
4986.937523	-47.106953	241.905304	-41.905319
4986.940883	-46.756283	239.625961	-39.275276
4986.944212	-47.516071	236.528351	-36.177673
4986.947102	-47.516071	234.248978	-34.248978
4986.950462	-47.632961	231.969620	-31.911165
4986.953763	-47.808300	229.982468	-29.573349
4986.957099	-47.632961	227.644653	-26.943308
4986.960431	-48.042080	225.189941	-25.248394
4986.963774	-47.749855	222.559906	-23.436586
4986.967101	-47.925190	220.572754	-21.858562
4986.970436	-47.340736	218.936295	-20.163647
4986.973769	-47.340736	216.773819	-18.702513
4986.977100	-47.457626	214.728241	-18.059614
4986.980433	-47.808300	213.500885	-15.955583
4986.983764	-47.399181	211.747528	-14.377557
4986.987093	-46.639393	210.461716	-13.442431
4986.990429	-47.106953	209.117477	-12.507306
4986.993786	-46.814728	206.955002	-12.039742
4986.997093	-46.405609	205.493851	-10.052601
4987.000428	-46.464054	204.266495	-9.468147
4987.003758	-46.639393	202.863815	-9.351256
4987.007099	-46.347164	201.519592	-8.240795
4987.010426	-46.873173	200.350662	-7.188778
4987.013763	-46.697838	198.831100	-5.669199
4987.017102	-46.522503	197.603745	-5.143191
4987.020429	-46.405609	196.843948	-4.149620
4987.023756	-46.522503	195.558151	-2.630041
4987.028385	-46.347164	193.395676	-1.578025
4987.031336	-46.522503	192.168320	-0.526008
4987.034620	-46.873173	190.999420	-0.116891
4987.037973	-46.756283	190.590302	0.584454
4987.041357	-47.106953	188.895386	1.578025
4987.044211	-47.165401	188.369370	1.987142
4987.047523	-46.990063	187.434250	3.506721
4987.050856	-46.756283	186.031555	3.565166
4987.054178	-46.873173	185.330215	3.740503
4987.057090	-46.873173	184.161301	4.909410
4987.060425	-47.632961	183.343079	6.312099
4987.063756	-47.457626	181.998840	6.721216
4987.067087	-47.340736	180.946808	7.130333
4987.070419	-47.282291	180.596130	7.714787
4987.073788	-47.749855	179.310349	8.474577
4987.077083	-47.048508	178.199890	9.935710
4987.080419	-47.574516	177.849213	9.701928
4987.083751	-47.808300	177.089417	10.344828
4987.087088	-47.106953	177.030975	10.929281
4987.090421	-47.632961	175.745178	10.753945
4987.093751	-47.691406	175.511398	11.221508
4987.097083	-47.632961	175.336060	12.390414
4987.100418	-47.399181	174.985382	11.981297
4987.103760	-47.165401	174.693161	12.331969
4987.107087	-47.808300	173.524261	12.682642
4987.110411	-47.808300	173.699600	12.565751
4987.113753	-48.100525	173.758041	12.857978
4987.117120	-47.691406	173.115128	12.857978
4987.120419	-47.457626	173.407364	12.682642
4987.123753	-47.632961	173.582703	13.325541
4987.127085	-47.165401	173.758041	12.916424
4987.130417	-47.632961	174.459381	12.215078
4987.133748	-47.165401	174.284042	12.156633
