time (s)	det(V)
4986.752820	1.625206	
4986.754391	1.625206	
4986.756059	1.625198	
4986.757649	1.625125	
4986.759310	1.625210	
4986.760894	1.625170	
4986.762529	1.625246	
4986.764146	1.625230	
4986.765765	1.625270	
4986.767438	1.625146	
4986.769030	1.625182	
4986.770711	1.625150	
4986.772313	1.625222	
4986.773976	1.625073	
4986.775566	1.625238	
4986.777254	1.625262	
4986.778804	1.625202	
4986.780515	1.625089	
4986.782062	1.625319	
4986.783765	1.625182	
4986.785319	1.625198	
4986.787028	1.625162	
4986.788547	1.625081	
4986.790290	1.625278	
4986.791771	1.625198	
4986.793578	1.625145	
4986.795060	1.625214	
4986.796827	1.625186	
4986.798310	1.625182	
4986.800085	1.625238	
4986.801566	1.625097	
4986.803329	1.625262	
4986.804829	1.625097	
4986.806593	1.625178	
4986.808114	1.625093	
4986.809605	1.625182	
4986.811191	1.625153	
4986.812686	1.625081	
4986.814349	1.625166	
4986.815844	1.625153	
4986.817486	1.625198	
4986.819004	1.625125	
4986.820629	1.625242	
4986.822115	1.625113	
4986.823767	1.625178	
4986.825252	1.625190	
4986.826959	1.625141	
4986.828441	1.625097	
4986.830138	1.625125	
4986.831619	1.625254	
4986.833301	1.625214	
4986.834796	1.625113	
4986.836461	1.625166	
4986.837989	1.624473	
4986.839645	1.582675	
4986.841191	1.508501	
4986.842865	1.452343	
4986.844421	1.394991	
4986.846094	1.333378	
4986.847655	1.292886	
4986.849327	1.244469	
4986.850928	1.202393	
4986.852551	1.178920	
4986.854163	1.159588	
4986.855793	1.106737	
4986.857410	1.075022	
4986.859014	1.048918	
4986.860649	1.003479	
4986.862229	0.957794	
4986.863920	0.932435	
4986.865471	0.900531	
4986.867182	0.872405	
4986.868739	0.847108	
4986.870435	0.838451	
4986.872002	0.808573	
4986.873707	0.783246	
4986.875263	0.768793	
4986.876989	0.746226	
4986.878472	0.709544	
4986.880241	0.694567	
4986.881720	0.669422	
4986.883483	0.645337	
4986.884966	0.637014	
4986.886743	0.627536	
4986.888223	0.618226	
4986.890007	0.598548	
4986.891496	0.596195	
4986.893262	0.576868	
4986.894764	0.548496	
4986.896511	0.536528	
4986.898023	0.530320	
4986.899723	0.504503	
4986.901261	0.497026	
4986.902982	0.491959	
4986.904529	0.489747	
4986.906227	0.467245	
4986.907780	0.470770	
4986.909465	0.464103	
4986.911026	0.438781	
4986.912692	0.418764	
4986.914278	0.414986	
4986.915924	0.392604	
4986.917533	0.384926	
4986.919045	0.399166	
4986.920687	0.389023	
4986.922168	0.376068	
4986.923808	0.358355	
4986.925283	0.359572	
4986.926926	0.350363	
4986.928414	0.320026	
4986.930052	0.303449	
4986.931552	0.299429	
4986.933135	0.286953	
4986.934669	0.279703	
4986.936321	0.283674	
4986.937867	0.270449	
4986.939484	0.256036	
4986.941047	0.257003	
4986.942645	0.251774	
4986.944257	0.229457	
4986.945804	0.209706	
4986.947431	0.202218	
4986.949035	0.191740	
4986.950709	0.181162	
4986.952290	0.174181	
4986.953961	0.180247	
4986.955559	0.170930	
4986.957225	0.172388	
4986.958802	0.166189	
4986.960484	0.156275	
4986.962043	0.135009	
4986.963748	0.130095	
4986.965298	0.117035	
4986.967015	0.099443	
4986.968538	0.094770	
4986.970281	0.104837	
4986.971764	0.108946	
