time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4801.293886	276.783813	1.248304	-0.060738	47
4803.307046	276.526581	1.237499	-0.061091	49
4805.317373	275.851654	1.221086	-0.060787	51
4807.328883	275.189117	1.202623	-0.060509	53
4809.341987	274.802917	1.178414	-0.060328	55
4811.356133	274.615936	1.154173	-0.060301	57
4813.372681	274.606140	1.129357	-0.060873	59
4815.390730	274.484924	1.105963	-0.061949	61
4817.407550	274.289581	1.087479	-0.063072	63
4819.419375	274.116760	1.075353	-0.062612	65
4821.423051	274.020477	1.063761	-0.061994	67
4823.423043	274.082031	1.038872	-0.062204	69
4825.426776	274.354828	1.001610	-0.063419	71
4827.444134	274.328033	0.974625	-0.063746	73
4829.475850	273.745667	0.959149	-0.064232	75
4831.505856	273.207550	0.947086	-0.063453	77
4833.517582	273.386108	0.944369	-0.061180	79
4835.516101	273.787994	0.935108	-0.061051	81
4837.513391	273.879486	0.904918	-0.062347	83
4839.518868	273.752991	0.871758	-0.063063	85
4841.536295	273.640778	0.850274	-0.061895	87
4843.561032	273.656586	0.836487	-0.060691	89
4845.586894	273.776367	0.821889	-0.059644	91
4847.609472	274.096069	0.807666	-0.058549	93
4849.627615	274.421906	0.793125	-0.058071	95
4851.642698	274.709717	0.778458	-0.057559	97
4853.655550	274.917816	0.764993	-0.057136	99
4855.664708	274.809113	0.753148	-0.056810	101
4857.670240	274.174622	0.742210	-0.056939	103
4859.671215	272.875549	0.728031	-0.057059	105
4861.670527	271.253876	0.707043	-0.058176	107
4863.674588	270.091644	0.681959	-0.058949	109
4865.689376	270.195312	0.660258	-0.057009	111
4867.715560	271.769531	0.645028	-0.054067	113
4869.748393	274.013641	0.633827	-0.051665	115
4871.779252	275.868988	0.623827	-0.051040	117
4873.799589	276.493561	0.616546	-0.051128	119
4875.804431	275.538757	0.612470	-0.051086	121
