crossing time (s)	slope (V/s)	crossing number
6600.700748	2.059206	4345
6602.859508	80.727340	4346
6603.863574	73.224691	4347
6604.842527	72.607122	4348
6605.841774	79.256067	4349
6606.855307	65.872404	4350
6607.855428	80.660241	4351
6608.896360	69.514007	4352
6609.842514	75.639713	4353
6610.905631	75.878209	4354
6611.894439	72.877338	4355
6612.912733	76.227075	4356
6613.908731	74.984239	4357
6614.903577	70.936823	4358
6615.928084	73.429188	4359
6616.946967	64.382770	4360
6617.923600	72.578517	4361
6618.936247	62.641513	4362
6619.926386	71.501031	4363
6620.957411	64.221473	4364
6621.924855	67.836255	4365
6622.986154	67.107456	4366
6623.925710	63.477968	4367
6625.005767	64.694455	4368
6625.931284	62.708073	4369
6627.000350	63.334135	4370
6627.963559	65.099638	4371
6628.998484	62.525022	4372
6629.967798	62.550020	4373
6631.025017	61.181752	4374
6631.983590	60.393473	4375
6633.051939	59.572377	4376
6633.998221	61.350160	4377
6635.035945	58.475550	4378
6636.016634	57.771544	4379
6637.059547	57.669512	4380
6638.034657	56.459963	4381
6639.054326	56.647956	4382
6640.051436	56.416262	4383
6641.062236	54.467449	4384
6642.075772	54.843031	4385
6643.053890	55.458657	4386
6644.077111	53.654236	4387
6645.086869	53.591728	4388
6646.068639	54.043130	4389
6647.117800	52.707999	4390
6648.086753	52.347162	4391
6649.120158	52.461547	4392
6650.089391	50.999924	4393
6651.128878	50.634766	4394
6652.135450	49.074170	4395
6653.113656	48.843560	4396
6654.144435	49.155733	4397
6655.141457	49.118478	4398
6656.129536	48.603690	4399
6657.144399	47.901529	4400
6658.138549	46.969087	4401
6659.188193	47.619780	4402
6660.138750	46.160596	4403
6661.196093	46.970113	4404
6662.142661	45.474180	4405
6663.221151	45.050966	4406
6664.155004	45.066937	4407
6665.199364	44.084059	4408
6666.172387	44.203372	4409
6667.235585	42.678847	4410
6668.173628	43.782610	4411
6669.220695	41.432326	4412
6670.208290	43.233933	4413
6671.249563	40.623316	4414
6672.213117	42.757973	4415
6673.265348	39.865156	4416
6674.208383	41.196675	4417
6675.280103	39.089431	4418
6676.216311	40.906604	4419
6677.291873	38.301264	4420
6678.230002	39.533033	4421
6679.306888	39.988541	4422
6680.249005	38.295385	4423
6681.308831	38.902035	4424
6682.272474	35.167268	4425
6683.309937	38.384831	4426
6684.281678	35.895542	4427
6685.310454	38.381656	4428
6686.302266	35.707197	4429
6687.306000	36.396831	4430
6688.321257	36.490085	4431
6689.318145	32.078461	4432
6690.315371	36.696744	4433
6691.355182	33.725374	4434
6692.322565	35.046055	4435
6693.367464	33.621416	4436
6694.323194	33.884146	4437
6695.389649	33.009404	4438
6696.315231	32.662573	4439
6697.391156	32.001004	4440
6698.337080	31.347844	4441
6699.406846	33.903710	4442
6700.342630	30.447438	4443
6701.417251	33.317028	4444
6702.380249	30.611832	4445
6703.420743	32.046831	4446
6704.398686	29.234572	4447
6705.419983	31.128851	4448
6706.413713	29.433669	4449
6707.423940	31.038755	4450
6708.434895	28.835464	4451
6709.438333	30.158440	4452
6710.448831	28.295557	4453
6711.447994	29.349109	4454
6712.452416	27.886891	4455
6713.451617	29.100573	4456
6714.456278	27.569597	4457
6715.469226	28.963748	4458
6716.459927	26.972387	4459
6717.496413	26.709471	4460
6718.464358	26.410409	4461
6719.514355	26.824042	4462
6720.463431	25.671771	4463
6721.533910	26.273245	4464
6722.463004	24.973582	4465
6723.555604	25.653822	4466
6724.481109	25.158378	4467
6725.553772	24.360204	4468
6726.488460	24.934754	4469
6727.565690	24.097139	4470
6728.510719	23.621730	4471
6729.562717	23.599696	4472
6730.522701	24.372366	4473
6731.558182	22.827153	4474
6732.555928	23.589161	4475
6733.562695	22.853233	4476
6734.574425	22.616962	4477
6735.564835	23.303346	4478
6736.571647	22.840867	4479
6737.578892	23.204989	4480
6738.587020	21.609069	4481
6739.589750	22.364583	4482
6740.589217	20.559627	4483
6741.623840	21.893815	4484
6742.585962	20.314025	4485
6743.644796	21.647988	4486
6744.586311	19.473887	4487
6745.659968	21.111253	4488
6746.591942	20.035536	4489
6747.683198	20.694590	4490
6748.598197	18.659275	4491
6749.695846	20.177513	4492
6750.601850	18.613185	4493
6751.697207	18.679664	4494
6752.629803	18.626097	4495
6753.710055	19.122983	4496
6754.637366	17.543572	4497
6755.705222	19.219457	4498
6756.661203	17.076337	4499
6757.711880	18.981425	4500
6758.688829	17.667115	4501
6759.701905	18.076387	4502
6760.694779	17.158239	4503
6761.710238	18.583185	4504
6762.732348	17.092934	4505
6763.706869	16.618896	4506
6764.729652	17.695599	4507
6765.715018	15.379107	4508
6766.732528	17.042934	4509
6767.755777	15.573799	4510
6768.728944	16.718075	4511
6769.766734	15.459193	4512
6770.725570	17.412469	4513
6771.805386	15.027832	4514
6772.732700	16.240424	4515
6773.822389	14.945453	4516
6774.731688	15.668281	4517
6775.842437	14.393919	4518
6776.720585	14.270913	4519
6777.852991	13.214326	4520
6778.752841	14.350523	4521
6779.855328	13.810898	4522
6780.749223	14.128060	4523
6781.876093	13.830891	4524
6782.758836	14.039568	4525
6783.881229	13.763151	4526
6784.779199	13.592585	4527
6785.883733	14.089563	4528
6786.799958	13.155585	4529
6787.906361	13.531489	4530
6788.802170	12.079167	4531
6789.905019	13.393089	4532
6790.806822	12.458804	4533
6791.939232	12.953286	4534
6792.834503	13.034614	4535
6793.940540	12.804464	4536
6794.826989	11.084828	4537
6795.933596	12.143651	4538
6796.839966	12.138051	4539
