time (s)	magX	magY	magZ
6602.042247	-46.756283	-134.365875	15.838690
6602.045571	-46.873173	-134.541199	16.189363
6602.048931	-46.347164	-134.365875	16.130919
6602.052253	-46.171829	-134.774979	15.371127
6602.055578	-46.113384	-134.774979	16.072474
6602.058909	-46.522503	-135.067215	15.955583
6602.062275	-46.288719	-135.067215	15.721800
6602.065572	-46.639393	-135.593231	16.189363
6602.068922	-46.756283	-134.891876	15.838690
6602.072236	-46.990063	-135.710114	14.903564
6602.075569	-46.405609	-135.593231	15.254237
6602.078903	-46.814728	-136.119217	14.962010
6602.082238	-46.814728	-135.534775	15.254237
6602.086456	-46.697838	-136.119217	13.968439
6602.089824	-47.165401	-136.411453	14.728229
6602.093164	-46.347164	-136.703674	14.436002
6602.096489	-47.340736	-136.762131	14.669784
6602.099330	-46.814728	-136.411453	14.845119
6602.102662	-46.990063	-136.645233	14.669784
6602.106000	-46.230274	-136.352997	14.494448
6602.109324	-47.282291	-137.112793	13.793103
6602.112672	-46.931618	-137.054367	14.436002
6602.115569	-46.639393	-137.288147	13.851549
6602.118897	-46.814728	-137.521927	13.676212
6602.122231	-46.639393	-136.820572	13.150205
6602.125564	-46.697838	-137.697250	13.325541
6602.128900	-47.048508	-137.755707	13.851549
6602.132235	-47.165401	-137.755707	14.377557
6602.135573	-46.756283	-137.872589	13.325541
6602.138900	-46.288719	-137.872589	13.617767
6602.142228	-46.756283	-137.989487	13.851549
6602.145580	-46.814728	-138.223267	13.851549
6602.148929	-46.931618	-138.281708	13.793103
6602.152228	-46.230274	-138.340149	13.383986
6602.155587	-46.756283	-137.872589	13.208650
6602.158895	-46.464054	-138.281708	13.442431
6602.162230	-46.054939	-138.515488	12.741087
6602.165560	-46.405609	-138.340149	12.974869
6602.168902	-45.996494	-139.099945	12.273524
6602.172231	-46.288719	-138.340149	12.857978
6602.175563	-46.522503	-138.632385	13.500876
6602.178896	-45.938049	-138.573929	12.156633
6602.182229	-46.347164	-138.749268	12.799533
6602.185559	-46.873173	-139.333725	12.624197
6602.188896	-46.288719	-138.924606	13.383986
6602.193150	-46.288719	-140.035065	13.325541
6602.196470	-45.996494	-139.567505	13.150205
6602.199831	-46.171829	-139.392166	12.448860
6602.203080	-46.347164	-139.158386	12.331969
6602.206406	-46.230274	-139.275284	12.741087
6602.209319	-46.230274	-139.918167	13.033314
6602.212648	-46.580948	-140.035065	12.448860
6602.215985	-46.522503	-139.859741	12.916424
6602.219341	-46.697838	-140.035065	12.215078
6602.222666	-46.405609	-140.385742	12.215078
6602.225560	-47.106953	-140.911743	11.689071
6602.228893	-46.639393	-140.035065	12.156633
6602.232245	-46.756283	-140.327301	12.390414
6602.235554	-47.223846	-140.853302	11.572180
6602.238887	-46.990063	-140.502625	11.981297
6602.242251	-46.697838	-140.853302	11.981297
6602.245561	-47.165401	-141.087082	11.747516
6602.248886	-47.340736	-141.262421	11.805962
6602.252216	-46.873173	-141.262421	11.279953
6602.255575	-46.990063	-141.905319	11.279953
6602.258885	-46.990063	-141.496201	11.279953
6602.262220	-47.223846	-141.905319	11.981297
6602.265552	-47.340736	-141.788422	11.104617
6602.268882	-46.931618	-142.080658	10.520164
6602.272218	-47.106953	-141.905319	11.104617
6602.275549	-46.931618	-142.606659	10.403274
6602.278885	-47.106953	-142.489761	10.578609
6602.282217	-47.516071	-142.548218	10.870836
6602.285561	-46.873173	-142.781998	10.753945
6602.288886	-47.399181	-142.548218	9.935710
6602.292217	-47.282291	-143.308014	9.760374
6602.295549	-46.756283	-143.483337	9.994155
6602.298922	-47.223846	-143.717117	10.929281
6602.303489	-47.632961	-143.541794	9.994155
6602.306394	-47.223846	-144.652252	9.877264
6602.309738	-47.165401	-144.184692	9.760374
6602.313080	-47.165401	-145.061356	9.468147
6602.316444	-46.873173	-144.652252	8.942139
6602.319333	-47.165401	-144.827576	8.007013
6602.322700	-47.340736	-144.886032	8.007013
6602.326078	-47.165401	-145.762711	7.773232
6602.329316	-47.516071	-145.119812	8.065459
6602.332645	-47.516071	-145.061356	7.948568
6602.335547	-47.574516	-146.171829	8.065459
6602.338879	-48.100525	-146.931625	7.714787
6602.342213	-47.983635	-146.814728	7.422560
6602.345546	-48.275860	-146.990067	7.597896
6602.348874	-48.042080	-147.516068	7.013443
6602.352214	-48.100525	-147.749847	6.136762
6602.355543	-47.983635	-147.632965	5.961426
6602.358881	-48.568089	-148.568100	6.428989
6602.362212	-48.568089	-148.684982	5.786090
6602.365565	-48.743423	-148.626526	5.786090
6602.368871	-49.152542	-149.561661	5.493863
6602.372213	-49.561657	-150.146118	4.383401
6602.375539	-49.269432	-150.672119	4.324956
6602.378874	-49.912331	-151.607254	4.617183
6602.382232	-50.204556	-151.724136	4.032730
6602.385537	-50.146114	-152.308594	3.097604
6602.388871	-50.496788	-152.717712	2.688486
6602.392210	-50.379898	-153.886612	1.987142
6602.395541	-50.789009	-154.354172	1.636470
6602.398870	-50.905903	-154.295731	1.519579
6602.402205	-51.315022	-155.756866	1.285798
6602.405544	-51.607246	-155.289307	0.584454
6602.408868	-51.490356	-156.165985	-0.175336
6602.413553	-52.133255	-157.451782	-0.350672
6602.416443	-51.431911	-158.328461	-1.344243
6602.419804	-51.490356	-158.796021	-2.162478
6602.423131	-51.665695	-159.497375	-3.740503
6602.426457	-51.373463	-160.081833	-3.331385
6602.429305	-51.548801	-161.192291	-4.734074
6602.432620	-51.665695	-161.893631	-5.376973
6602.435955	-51.724136	-162.887207	-6.253653
6602.439292	-51.782585	-163.062531	-6.838106
6602.442200	-51.899475	-164.932785	-6.662770
6602.445537	-52.367039	-166.452377	-8.123904
6602.448869	-52.133255	-167.387497	-9.877264
6602.452203	-52.367039	-168.088837	-10.052601
6602.455533	-52.308590	-169.783752	-10.520164
6602.458875	-52.659260	-170.601990	-12.273524
6602.462200	-52.542370	-172.238464	-12.273524
6602.465535	-53.068382	-173.290482	-14.845119
