time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6600.733189	217.112930	0.361832	0.033565	249
6603.847027	262.259430	1.163449	-0.095010	251
6605.853625	262.859192	1.187101	-0.088638	253
6607.845434	263.998962	1.165883	-0.091947	255
6609.853318	263.859009	1.129565	-0.096178	1
6611.883706	262.957886	1.121362	-0.096608	3
6613.906462	262.708740	1.126240	-0.093380	5
6615.910924	263.190186	1.131092	-0.093124	7
6617.909150	263.085571	1.117950	-0.095904	9
6619.911143	262.437256	1.095417	-0.097922	11
6621.919600	261.896606	1.079596	-0.097819	13
6623.930996	261.524658	1.070971	-0.097339	15
6625.942760	261.421967	1.066054	-0.096647	17
6627.954943	261.314117	1.057684	-0.095523	19
6629.966098	260.807251	1.047769	-0.096164	21
6631.975599	260.284027	1.035512	-0.097261	23
6633.986933	259.944305	1.020048	-0.097478	25
6636.001851	260.354584	1.005934	-0.097219	27
6638.022295	262.075531	0.995787	-0.095569	29
6640.046614	264.520630	0.989465	-0.093729	31
6642.065819	265.874298	0.992094	-0.093553	33
6644.069759	264.601654	1.002413	-0.095594	35
6646.062976	260.848877	0.994860	-0.097243	37
6648.064439	258.536926	0.960709	-0.096724	39
6650.082772	260.281708	0.935553	-0.093647	41
6652.112317	263.961121	0.929965	-0.092366	43
6654.133515	265.653839	0.936568	-0.093764	45
6656.137873	264.354034	0.945474	-0.094335	47
6658.133528	261.456757	0.940319	-0.094517	49
6660.133021	259.382721	0.917560	-0.094784	51
6662.139901	258.805267	0.897573	-0.095839	53
6664.153112	259.332275	0.886235	-0.096302	55
6666.168393	260.077484	0.877487	-0.096561	57
6668.182520	260.624817	0.870634	-0.096240	59
6670.195350	260.902893	0.864480	-0.096133	61
6672.205256	260.779449	0.857784	-0.095968	63
6674.212539	260.554138	0.850379	-0.096258	65
6676.218788	260.294556	0.840370	-0.095586	67
6678.225981	260.271729	0.829666	-0.094622	69
6680.237422	260.635559	0.819558	-0.092873	71
6682.257047	261.197021	0.810367	-0.091773	73
6684.283439	261.392853	0.802427	-0.091399	75
6686.308789	261.473907	0.797478	-0.090791	77
6688.322714	261.750977	0.798604	-0.090520	79
6690.323792	261.741455	0.799718	-0.091085	81
6692.319401	261.169067	0.790694	-0.092212	83
6694.316956	260.434753	0.773323	-0.092940	85
6696.320991	260.119965	0.758526	-0.092286	87
6698.334282	260.283783	0.749002	-0.090555	89
6700.353571	260.598602	0.743376	-0.089154	91
6702.375976	260.970947	0.738786	-0.087852	93
6704.395900	261.346130	0.732005	-0.086633	95
6706.412907	261.753693	0.725749	-0.085635	97
6708.427337	262.121368	0.720187	-0.085155	99
6710.438804	262.293243	0.714846	-0.084519	101
6712.447543	262.321808	0.710256	-0.084252	103
6714.453986	262.041016	0.705588	-0.083751	105
6716.457061	261.265869	0.700970	-0.083486	107
6718.457604	260.137451	0.694458	-0.083838	109
6720.457712	258.747833	0.684538	-0.084606	111
6722.460177	257.555725	0.671300	-0.086103	113
6724.468703	257.120331	0.658177	-0.086197	115
6726.483900	257.689331	0.647351	-0.085132	117
6728.505792	259.242493	0.639693	-0.083434	119
6730.530629	261.242004	0.634695	-0.081299	121
6732.555168	262.861633	0.631388	-0.080364	123
6734.574193	263.678986	0.629620	-0.080351	125
6736.584636	263.479950	0.627388	-0.079659	127
6738.588645	262.500336	0.624527	-0.078334	129
6740.587562	261.111237	0.618522	-0.077700	131
6742.586391	259.907440	0.610423	-0.077354	133
6744.588107	259.062561	0.600277	-0.077158	135
6746.593204	258.622192	0.590725	-0.076667	137
6748.600798	258.494354	0.581714	-0.076063	139
6750.611361	258.680176	0.574026	-0.075117	141
6752.625368	258.980560	0.566865	-0.074313	143
6754.641932	259.451324	0.560661	-0.073381	145
6756.663009	259.829193	0.554298	-0.072491	147
6758.687093	260.196136	0.548414	-0.071867	149
6760.708905	260.567383	0.544179	-0.071385	151
6762.727728	260.852142	0.541566	-0.070716	153
6764.737219	261.101288	0.539814	-0.069773	155
6766.740408	260.985474	0.538202	-0.069151	157
6768.739577	260.552704	0.533735	-0.069231	159
6770.736561	259.817322	0.526238	-0.069009	161
6772.734905	259.053894	0.516638	-0.069070	163
6774.735139	258.343231	0.506163	-0.068856	165
6776.736953	257.814758	0.496909	-0.068827	167
6778.745325	257.575745	0.489575	-0.067914	169
6780.753232	257.499084	0.482664	-0.066856	171
6782.764285	257.509003	0.476830	-0.065908	173
6784.777771	257.612488	0.472721	-0.064725	175
6786.791300	257.654449	0.467903	-0.063792	177
6788.802979	257.633942	0.463873	-0.062931	179
6790.812788	257.569275	0.459254	-0.062084	181
6792.824023	257.383148	0.455000	-0.061674	183
6794.832053	257.237701	0.450739	-0.061319	185
6796.838886	274.092896	0.339639	-0.100000	187
