crossing time (s)	slope (V/s)	crossing number
6240.997821	29.795890	3999
6243.844471	92.900785	4000
6244.796168	71.776676	4001
6245.861499	73.453330	4002
6246.788404	77.756113	4003
6247.840272	78.282363	4004
6248.829350	74.439620	4005
6249.871431	71.291535	4006
6250.832609	74.048675	4007
6251.855762	74.645852	4008
6252.855834	77.907696	4009
6253.885419	73.894020	4010
6254.852502	69.868586	4011
6255.895292	71.987732	4012
6256.883903	73.591334	4013
6257.903780	74.869492	4014
6258.885062	66.049880	4015
6259.936440	66.707077	4016
6260.879903	68.395795	4017
6261.943765	65.808285	4018
6262.905084	66.049584	4019
6263.941283	66.950817	4020
6264.909827	63.631901	4021
6265.965216	59.363399	4022
6266.931910	65.008203	4023
6267.953476	59.299444	4024
6268.951820	63.613599	4025
6269.974045	61.065666	4026
6270.961533	59.805081	4027
6272.002199	58.487783	4028
6272.973771	58.554485	4029
6274.016825	54.660265	4030
6274.972868	58.259520	4031
6276.035049	52.736396	4032
6276.994830	58.206691	4033
6278.029628	53.667224	4034
6279.001047	56.552380	4035
6280.062002	54.363894	4036
6281.023231	52.559172	4037
6282.066466	55.944616	4038
6283.025083	49.615209	4039
6284.086846	53.050807	4040
6285.033481	48.346674	4041
6286.087171	50.389829	4042
6287.066135	48.440060	4043
6288.070383	48.549492	4044
6289.069783	49.289092	4045
6290.078705	46.446613	4046
6291.097102	50.903673	4047
6292.125476	45.239118	4048
6293.107187	48.519975	4049
6294.141420	43.608797	4050
6295.099321	46.289390	4051
6296.159490	45.074906	4052
6297.095750	44.328842	4053
6298.185700	45.281768	4054
6299.115048	42.492150	4055
6300.174576	43.201856	4056
6301.126598	41.064400	4057
6302.177576	42.902337	4058
6303.144208	40.713173	4059
6304.196956	41.859856	4060
6305.167769	40.486013	4061
6306.186023	40.953096	4062
6307.185983	39.876770	4063
6308.203327	39.575652	4064
6309.192111	38.158326	4065
6310.216712	38.951856	4066
6311.210696	36.951045	4067
6312.224669	37.949624	4068
6313.211180	36.785522	4069
6314.240276	36.923501	4070
6315.224570	35.782121	4071
6316.267860	36.581950	4072
6317.226003	33.779168	4073
6318.284051	35.370965	4074
6319.229253	34.551535	4075
6320.316939	34.190836	4076
6321.244934	33.751207	4077
6322.312439	33.078208	4078
6323.250355	33.630458	4079
6324.323371	31.392648	4080
6325.261620	32.227377	4081
6326.324908	30.985133	4082
6327.293714	31.700126	4083
6328.328343	30.178665	4084
6329.293256	29.694930	4085
6330.334717	29.758524	4086
6331.325924	30.932271	4087
6332.340401	29.030620	4088
6333.339909	28.318429	4089
6334.370150	28.544493	4090
6335.333936	27.592571	4091
6336.367732	27.903543	4092
6337.330205	27.594934	4093
6338.403754	27.869913	4094
6339.341147	27.154006	4095
6340.421923	26.520730	4096
6341.347948	26.327588	4097
6342.439331	25.767688	4098
6343.356504	25.211887	4099
6344.445107	25.762681	4100
6345.359261	24.393025	4101
6346.457890	24.723989	4102
6347.384310	24.873452	4103
6348.472178	23.172949	4104
6349.394936	22.359675	4105
6350.476708	23.588324	4106
6351.409037	22.484869	4107
6352.507629	23.271050	4108
6353.404978	22.101144	4109
6354.487769	23.106457	4110
6355.436314	21.483823	4111
6356.509738	22.569436	4112
6357.451454	20.207266	4113
6358.505594	22.081616	4114
6359.485237	21.011664	4115
6360.506578	21.622880	4116
6361.495463	21.424406	4117
6362.516565	20.478028	4118
6363.511565	21.076598	4119
6364.533592	19.980977	4120
6365.497895	20.464830	4121
6366.540988	18.933899	4122
6367.512133	19.599162	4123
6368.584677	18.022711	4124
6369.513247	19.555183	4125
6370.591327	18.599536	4126
6371.514770	18.556762	4127
6372.611801	16.983715	4128
6373.533043	17.920311	4129
6374.637603	17.681077	4130
6375.519539	17.025309	4131
6376.638293	17.543403	4132
6377.554868	17.109211	4133
6378.668714	16.553625	4134
6379.569528	15.993345	4135
6380.653194	15.974101	4136
6381.571228	15.275587	4137
6382.672329	16.468695	4138
6383.576306	14.968753	4139
6384.681827	15.054218	4140
6385.586596	14.923089	4141
6386.691429	14.788929	4142
6387.622065	14.853515	4143
6388.696997	15.133517	4144
6389.611130	13.738131	4145
6390.732876	14.820304	4146
6391.617590	13.925820	4147
6392.735865	14.486798	4148
6393.648415	13.668196	4149
6394.728751	13.405487	4150
6395.651082	13.666099	4151
6396.747089	13.273314	4152
6397.644314	13.312031	4153
6398.776497	13.245344	4154
6399.676031	12.721114	4155
6400.784915	12.528261	4156
6401.700997	12.547481	4157
6402.787240	12.269913	4158
6403.701001	12.464193	4159
6404.780789	12.373916	4160
6405.716473	11.555929	4161
6406.787486	12.518721	4162
6407.764533	12.305346	4163
6408.784731	12.063140	4164
6409.768208	11.933604	4165
6410.780856	11.423722	4166
6411.794536	11.340092	4167
