time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4697.179848	88.228996	1.506365	0.100000	201
4699.188788	82.951729	1.209616	-0.029698	203
4701.222864	89.918854	1.234749	-0.064326	205
4703.210948	81.416702	1.229226	-0.057434	207
4705.239267	84.869339	1.154360	-0.038955	209
4707.269446	88.953796	1.156007	-0.057940	211
4709.268798	85.552498	1.165765	-0.060708	213
4711.268793	82.839653	1.135283	-0.053143	215
4713.281102	83.032272	1.104030	-0.050111	217
4715.298978	83.921532	1.086359	-0.050173	219
4717.314563	84.454430	1.072434	-0.050561	221
4719.325609	84.840866	1.054607	-0.050365	223
4721.336550	85.505379	1.028681	-0.051407	225
4723.354753	85.938095	0.997318	-0.054761	227
4725.388053	84.882172	0.963253	-0.059029	229
4727.417139	82.785820	0.959573	-0.052637	231
4729.410222	84.774857	0.989383	-0.040215	233
4731.405941	87.781044	0.926037	-0.056186	235
4733.453003	83.521797	0.883287	-0.063199	237
4735.463319	82.963364	0.933971	-0.035905	239
4737.446913	88.400902	0.881205	-0.054252	241
4739.497076	83.333412	0.832590	-0.063476	243
4741.503830	83.193474	0.884938	-0.034632	245
4743.487926	88.344498	0.827973	-0.054019	247
4745.538428	83.718796	0.783343	-0.060668	249
4747.554556	82.521568	0.819586	-0.038158	251
4749.532808	87.140259	0.800744	-0.044753	253
4751.553616	86.465431	0.747324	-0.055602	255
4753.599154	83.872688	0.729319	-0.052002	1
4755.620189	83.373520	0.732158	-0.044243	3
4757.618379	84.435486	0.735074	-0.042652	5
4759.614220	84.929718	0.718760	-0.044085	7
4761.618343	84.682022	0.697336	-0.044702	9
4763.629041	84.130646	0.677781	-0.044433	11
4765.643619	83.687309	0.660953	-0.043367	13
4767.664276	83.669701	0.642998	-0.041465	15
4769.693996	84.750046	0.622798	-0.039888	17
4771.729582	86.744041	0.603869	-0.041076	19
4773.752394	88.100502	0.598866	-0.045552	21
4775.747026	86.355850	0.609838	-0.047626	23
4777.727403	82.116135	0.598949	-0.043976	25
4779.737004	81.176262	0.557533	-0.033674	27
4781.792297	86.173218	0.530416	-0.032935	29
4783.824919	89.137962	0.539439	-0.045073	31
4785.804096	84.741867	0.556123	-0.044916	33
4787.785916	80.467331	0.526732	-0.035975	35
4789.821476	82.835136	0.489443	-0.028449	37
4791.877901	87.616096	0.476433	-0.035182	39
4793.896305	88.365715	0.481649	-0.041957	41
4795.882914	85.667603	0.489236	-0.038116	43
