crossing time (s)	slope (V/s)	crossing number
4697.208062	101.656054	2505
4698.200965	100.218523	2506
4699.178802	97.300990	2507
4700.150988	101.858724	2508
4701.204625	95.062166	2509
4702.184541	95.607530	2510
4703.209304	97.216539	2511
4704.219090	95.799031	2512
4705.220067	89.787116	2513
4706.227527	91.501103	2514
4707.264986	88.535190	2515
4708.235754	85.232538	2516
4709.281862	85.691582	2517
4710.265614	82.525980	2518
4711.290666	80.272087	2519
4712.297443	79.918820	2520
4713.288092	78.068732	2521
4714.299668	77.755394	2522
4715.311486	75.618968	2523
4716.302193	73.823046	2524
4717.322263	72.955558	2525
4718.329968	71.090714	2526
4719.307152	71.431603	2527
4720.334679	69.572781	2528
4721.345236	68.104889	2529
4722.358200	67.242888	2530
4723.360520	64.369409	2531
4724.338752	66.420653	2532
4725.399362	60.300745	2533
4726.363795	64.563173	2534
4727.424352	60.040769	2535
4728.369730	58.892941	2536
4729.401374	62.282049	2537
4730.399869	56.170934	2538
4731.400675	55.607860	2539
4732.418408	58.292687	2540
4733.456417	51.835915	2541
4734.409429	52.947547	2542
4735.479928	55.220680	2543
4736.449752	49.690993	2544
4737.461862	50.400742	2545
4738.447236	51.853675	2546
4739.503659	45.610682	2547
4740.430503	48.018540	2548
4741.490851	48.686740	2549
4742.484326	43.806180	2550
4743.483519	44.978557	2551
4744.502976	45.770978	2552
4745.537392	40.531351	2553
4746.496090	42.794498	2554
4747.555170	42.722585	2555
4748.503700	38.669896	2556
4749.527100	40.534921	2557
4750.538315	39.694691	2558
4751.552098	37.646961	2559
4752.534448	39.902724	2560
4753.583883	34.303494	2561
4754.529023	35.893372	2562
4755.611098	35.934752	2563
4756.554052	33.928940	2564
4757.619726	34.885564	2565
4758.579381	32.708136	2566
4759.603083	33.423045	2567
4760.617132	31.949158	2568
4761.616733	31.642980	2569
4762.626040	30.470358	2570
4763.634419	29.613844	2571
4764.649874	29.411162	2572
4765.645961	28.923349	2573
4766.655934	28.798142	2574
4767.665897	26.687170	2575
4768.659707	27.570987	2576
4769.690499	25.813196	2577
4770.652479	26.345578	2578
4771.728608	24.600613	2579
4772.649785	24.858631	2580
4773.739930	24.147570	2581
4774.665053	22.938449	2582
4775.739922	23.384818	2583
4776.716233	22.476785	2584
4777.730816	23.140092	2585
4778.744974	22.354349	2586
4779.742912	21.418900	2587
4780.738947	20.793428	2588
4781.788564	19.909158	2589
4782.708024	20.957850	2590
4783.823324	20.389225	2591
4784.730562	18.840853	2592
4785.810090	18.658703	2593
4786.787815	18.893004	2594
4787.790677	18.123629	2595
4788.807595	18.163827	2596
4789.828631	17.028925	2597
4790.785728	17.573882	2598
4791.874635	16.809297	2599
4792.754142	14.891763	2600
4793.885504	15.873105	2601
4794.800712	14.902182	2602
4795.872623	14.382295	2603
4796.853988	14.609298	2604
