time (s)	magX	magY	magZ
4698.207324	1.344243	-103.331390	-898.597351
4698.210242	-0.526008	-119.286964	-895.499695
4698.213564	-2.688486	-135.008759	-890.356567
4698.216826	-4.909410	-150.672119	-887.609558
4698.220159	-6.545880	-164.932785	-879.953308
4698.223059	-9.059030	-179.193451	-875.160706
4698.226394	-11.104617	-193.220337	-867.971985
4698.229729	-12.507306	-207.130341	-859.438904
4698.233063	-14.319112	-220.397430	-850.029175
4698.235974	-16.306253	-232.495621	-840.327271
4698.239310	-17.650497	-243.775558	-829.690247
4698.242659	-20.046755	-255.873749	-819.462280
4698.245973	-21.683226	-266.335480	-808.007080
4698.249368	-23.261251	-276.388062	-796.434814
4698.252644	-24.897720	-286.090027	-783.284607
4698.255973	-26.651081	-295.850372	-770.718872
4698.259309	-28.462887	-304.967865	-757.334900
4698.262640	-28.988895	-312.682648	-744.535339
4698.265972	-30.859146	-320.981873	-730.391602
4698.269306	-31.911165	-327.761566	-717.533569
4698.272643	-33.664524	-334.190521	-702.513184
4698.275975	-34.307423	-339.801300	-687.726501
4698.279303	-36.002338	-345.587372	-672.238464
4698.282632	-36.820572	-350.087677	-658.679138
4698.286010	-37.931034	-355.113953	-642.723572
4698.289304	-38.690823	-360.081818	-627.936890
4698.292638	-39.684395	-363.237885	-613.091736
4698.295972	-40.619518	-366.335480	-598.305054
4698.299301	-41.496201	-368.088837	-582.758606
4698.302636	-42.255993	-370.543549	-568.264160
4698.305970	-43.015781	-372.764465	-553.126831
4698.309299	-44.009354	-374.693146	-538.340149
4698.312632	-44.652252	-374.810059	-523.904114
4698.316897	-46.288719	-376.914093	-495.265900
4698.320141	-47.048508	-376.680298	-481.765045
4698.323490	-47.983635	-376.738739	-467.621277
4698.326813	-48.684978	-376.563416	-454.237274
4698.329759	-49.678551	-375.219177	-440.268860
4698.333055	-50.146114	-374.517822	-427.586212
4698.336414	-51.139683	-373.816498	-414.026886
4698.339749	-51.957916	-371.420227	-401.636444
4698.343082	-52.542370	-370.368195	-388.953827
4698.345964	-52.893044	-368.731750	-376.914093
4698.349298	-53.945057	-366.861481	-364.699005
4698.352628	-54.237289	-364.991241	-353.535950
4698.355963	-54.821743	-362.419617	-341.379303
4698.359299	-55.815315	-360.490936	-330.333130
4698.362630	-56.224430	-356.575104	-319.520752
4698.365958	-56.808884	-355.055511	-308.708344
4698.369297	-57.042664	-351.490356	-298.714203
4698.372654	-57.919346	-348.684967	-288.895386
4698.375959	-58.153130	-345.645844	-279.135010
4698.379295	-58.386909	-343.132660	-268.848633
4698.382628	-58.854473	-340.151947	-259.731140
4698.385961	-58.445351	-336.820587	-250.672119
4698.389290	-58.854473	-333.898315	-242.255997
4698.392625	-59.146698	-329.690247	-234.541199
4698.395961	-59.380478	-326.300415	-225.365280
4698.399290	-59.380478	-323.611938	-217.533615
4698.402645	-59.029804	-320.923462	-210.695511
4698.405957	-60.023380	-317.475159	-201.928680
4698.409305	-59.555817	-314.143768	-195.090591
4698.412627	-59.614258	-310.461700	-188.135590
4698.415961	-59.205143	-307.422577	-181.706604
4698.419292	-59.029804	-303.915833	-175.394516
4698.423917	-58.854473	-296.843964	-163.237869
4698.426823	-58.620689	-293.395691	-156.458206
4698.430164	-58.854473	-290.356506	-151.315018
4698.433530	-58.912914	-287.142029	-145.704269
4698.436905	-58.679134	-284.102875	-140.911743
4698.439732	-58.679134	-280.771484	-136.119217
4698.443070	-58.445351	-278.141418	-130.976028
4698.446404	-58.796024	-274.342499	-126.183525
4698.449711	-59.029804	-271.595551	-122.676804
4698.453037	-58.386909	-269.082397	-117.182938
4698.455952	-58.386909	-265.575684	-112.741089
4698.459300	-58.094681	-262.770325	-108.123901
4698.462614	-58.153130	-260.081818	-104.967857
4698.465952	-58.211571	-257.101105	-100.935127
4698.469282	-58.445351	-254.237289	-97.545296
4698.472616	-58.270020	-251.373459	-94.564583
4698.475944	-57.802456	-249.152542	-89.830505
4698.479286	-58.620689	-245.704269	-87.025131
4698.482616	-58.270020	-243.775558	-83.752190
4698.485950	-58.679134	-240.794846	-80.654587
4698.489285	-58.270020	-238.983063	-77.498535
4698.492611	-57.685566	-236.879013	-74.868500
4698.495995	-58.328461	-233.664520	-71.712448
4698.499285	-58.737583	-231.794266	-68.381065
4698.502615	-58.503799	-230.040909	-65.984802
4698.505948	-58.328461	-228.053757	-62.887199
4698.509285	-58.211571	-224.897720	-59.848042
4698.512618	-58.445351	-222.852142	-58.094681
4698.515946	-57.860901	-221.098785	-55.698425
4698.519311	-58.153130	-218.410278	-53.652836
4698.522613	-58.153130	-216.540024	-51.315022
4698.525948	-58.386909	-215.078903	-49.678551
4698.529276	-58.386909	-212.974854	-46.405609
4698.533474	-58.094681	-208.240799	-42.840446
4698.536834	-57.568676	-206.545883	-40.502628
4698.540204	-57.159554	-204.558731	-39.918175
4698.543544	-57.568676	-203.915833	-37.872589
4698.546785	-57.042664	-201.578018	-36.820572
4698.549695	-56.925774	-199.766220	-35.067211
4698.553043	-57.042664	-199.123322	-34.132088
4698.556373	-56.633549	-196.902390	-32.612507
4698.559696	-57.451786	-196.201050	-30.859146
4698.562615	-56.984222	-194.739914	-29.573349
4698.565940	-56.750443	-193.512573	-28.345997
4698.569274	-57.568676	-191.817657	-26.125072
4698.572605	-56.750443	-190.707184	-26.125072
4698.575943	-56.867332	-189.362946	-25.482174
4698.579274	-57.101112	-187.901810	-23.962595
