time (s)	magX	magY	magZ
2612.114607	-101.110458	-369.608429	-125.189949
2612.117941	-100.526009	-367.153717	-122.267677
2612.121277	-100.584457	-364.231445	-117.124489
2612.124644	-99.941551	-361.426056	-113.383987
2612.127939	-99.649330	-358.270020	-110.870834
2612.131283	-99.240204	-354.704865	-107.013443
2612.134610	-99.181763	-351.548798	-104.617180
2612.137937	-98.597313	-349.210968	-101.168907
2612.141274	-98.246643	-346.873169	-97.603737
2612.144603	-97.428406	-344.009338	-94.856812
2612.147938	-97.720627	-340.794861	-91.876099
2612.151276	-96.960846	-338.573944	-89.012268
2612.154605	-97.194626	-336.060791	-85.973114
2612.157935	-96.727058	-333.313843	-83.343079
2612.161272	-95.324371	-331.735840	-80.771477
2612.165542	-95.090591	-326.651062	-76.095848
2612.168835	-94.447693	-324.313263	-73.582703
2612.172113	-93.804794	-321.741669	-71.420219
2612.175476	-93.804794	-320.338989	-69.023964
2612.178805	-93.512566	-317.942719	-66.978378
2612.181690	-92.168327	-315.663361	-66.101692
2612.185042	-91.642311	-314.436005	-63.939220
2612.188388	-91.350090	-313.033325	-62.127411
2612.191735	-90.999420	-311.922852	-60.081821
2612.194611	-90.356514	-309.526581	-59.088253
2612.197940	-90.064285	-307.773224	-57.802456
2612.201265	-89.304504	-306.019867	-56.282879
2612.204601	-89.129166	-304.909424	-55.055523
2612.207932	-88.252487	-303.857391	-53.711277
2612.211301	-88.603157	-302.279388	-53.185272
2612.214598	-88.252487	-300.701355	-51.490356
2612.217938	-87.726471	-300.058441	-49.269432
2612.221262	-87.551140	-299.473999	-48.275860
2612.224597	-87.551140	-297.837524	-47.516071
2612.227932	-87.434250	-296.142609	-46.931618
2612.231259	-87.551140	-296.434845	-45.821156
2612.234595	-86.908241	-294.564575	-45.528931
2612.237930	-87.258911	-293.921692	-45.412041
2612.241260	-87.375801	-293.746338	-44.710697
2612.244594	-87.726471	-291.934540	-42.840446
2612.247931	-87.083580	-291.700775	-42.665108
2612.251264	-87.434250	-290.590271	-42.197548
2612.254612	-87.258911	-289.596710	-41.846874
2612.257929	-87.492691	-289.362946	-41.671539
2612.261267	-87.258911	-289.713623	-41.729984
2612.264591	-87.258911	-289.129150	-40.619518
2612.267923	-87.258911	-288.486267	-40.210403
2612.271262	-87.668030	-288.486267	-40.151958
2612.275443	-88.018707	-287.843384	-39.158386
2612.278764	-87.726471	-287.317352	-38.983051
2612.282126	-87.726471	-287.317352	-38.573933
2612.285497	-87.551140	-287.258911	-37.989479
2612.288376	-87.609581	-287.142029	-38.690823
2612.291699	-87.609581	-287.142029	-37.463470
2612.295038	-87.609581	-286.148437	-38.807713
2612.298424	-87.726471	-286.966675	-38.340153
2612.301683	-87.375801	-287.083588	-38.807713
2612.304592	-87.317360	-287.609589	-38.924606
2612.307919	-86.732903	-287.375793	-38.515488
2612.311259	-87.025131	-287.901794	-38.164814
2612.314585	-87.083580	-287.960266	-39.158386
2612.317921	-87.142021	-288.252472	-38.223259
2612.321250	-86.791351	-288.544708	-38.866158
2612.324585	-86.323784	-289.713623	-39.801285
2612.327922	-86.674461	-290.064301	-39.918175
2612.331254	-86.323784	-290.707184	-40.794857
2612.334587	-85.856224	-291.759216	-42.489773
2612.337921	-86.265343	-292.285217	-43.717125
2612.341271	-86.206894	-293.337219	-43.074226
2612.344587	-85.973114	-293.454132	-44.360023
2612.347918	-86.966690	-294.389252	-45.470486
2612.351252	-86.323784	-295.850372	-46.113384
2612.354584	-86.323784	-296.960815	-46.756283
