time (s)	det(V)
4322.905908	1.625254	
4322.907464	1.625125	
4322.909158	1.625206	
4322.910737	1.625182	
4322.912402	1.625202	
4322.914001	1.625178	
4322.915636	1.625246	
4322.917251	1.625109	
4322.918893	1.625266	
4322.920500	1.625137	
4322.922112	1.625238	
4322.923783	1.625198	
4322.925360	1.625230	
4322.927025	1.625137	
4322.928599	1.625242	
4322.930281	1.625170	
4322.931847	1.625274	
4322.933541	1.625190	
4322.935089	1.625178	
4322.936794	1.625145	
4322.938336	1.625234	
4322.940064	1.625266	
4322.941553	1.625274	
4322.943321	1.625097	
4322.944808	1.625158	
4322.946565	1.625327	
4322.948046	1.625218	
4322.949808	1.625194	
4322.951309	1.625149	
4322.952918	1.625190	
4322.954424	1.625274	
4322.956002	1.625182	
4322.957595	1.625170	
4322.959086	1.625162	
4322.960765	1.625065	
4322.962257	1.625174	
4322.963879	1.625206	
4322.965402	1.625190	
4322.967036	1.625145	
4322.968509	1.625262	
4322.970236	1.625254	
4322.971707	1.625170	
4322.973419	1.625270	
4322.974894	1.625182	
4322.976588	1.625182	
4322.978074	1.625198	
4322.979777	1.625194	
4322.981262	1.625206	
4322.982948	1.625238	
4322.984460	1.625170	
4322.986198	1.625331	
4322.987709	1.625278	
4322.989433	1.625186	
4322.990965	1.625198	
4322.992664	1.625270	
4322.994213	1.625154	
4322.995901	1.625250	
4322.997467	1.625214	
4322.999139	1.625222	
4323.000723	1.625170	
4323.002390	1.625258	
4323.003970	1.625166	
4323.005612	1.625335	
4323.007206	1.625109	
4323.008849	1.625339	
4323.010489	1.625121	
4323.012095	1.625282	
4323.013770	1.625214	
4323.015359	1.625190	
4323.017015	1.625154	
4323.018610	1.625250	
4323.020269	1.625214	
4323.021838	1.625266	
4323.023550	1.625166	
4323.025093	1.625186	
4323.026815	1.625174	
4323.028346	1.625178	
4323.030054	1.625170	
4323.031572	1.625174	
4323.033321	1.625194	
4323.034817	1.625222	
4323.036605	1.625162	
4323.038087	1.625137	
4323.039877	1.625153	
4323.041356	1.625194	
4323.043112	1.625238	
4323.044592	1.625198	
4323.046324	1.625226	
4323.047827	1.625077	
4323.049594	1.625117	
4323.051108	1.625125	
4323.052832	1.625242	
4323.054355	1.625125	
4323.056066	1.625206	
4323.057587	1.625202	
4323.059280	1.625274	
4323.060872	1.625089	
4323.062361	1.625161	
4323.064010	1.625182	
4323.065503	1.625198	
4323.067169	1.625170	
4323.068663	1.625218	
4323.070309	1.625129	
4323.071791	1.625238	
4323.073431	1.625069	
4323.074912	1.625025	
4323.076544	1.625198	
4323.078045	1.625105	
4323.079751	1.625113	
4323.081252	1.625186	
4323.082929	1.625170	
4323.084435	1.624968	
4323.086072	1.625065	
4323.087600	1.624735	
4323.089231	1.593161	
4323.090791	1.492718	
4323.092481	1.454925	
4323.094062	1.403479	
4323.095733	1.348799	
4323.097340	1.314111	
4323.098997	1.260349	
4323.100588	1.203888	
4323.102232	1.152406	
4323.103830	1.124993	
4323.105450	1.053632	
4323.107135	1.027190	
4323.108728	1.007745	
4323.110406	0.983466	
4323.111990	0.934997	
4323.113682	0.915472	
4323.115275	0.883028	
4323.116952	0.849746	
4323.118533	0.807437	
4323.120221	0.782042	
4323.121774	0.745453	
4323.123470	0.730133	
4323.125017	0.713073	
4323.126721	0.702358	
4323.128225	0.667654	
4323.129977	0.662478	
4323.131468	0.642001	
4323.133254	0.609255	
4323.134732	0.577935	
4323.136520	0.570032	
4323.138003	0.543751	
4323.139764	0.516092	
4323.141249	0.517107	
4323.143001	0.505993	
4323.144501	0.499375	
4323.146221	0.469690	
4323.147740	0.464478	
4323.149459	0.457275	
4323.150987	0.434664	
4323.152697	0.412738	
4323.154245	0.410845	
4323.155938	0.386223	
4323.157500	0.377796	
4323.159186	0.378666	
4323.160762	0.374227	
4323.162436	0.354758	
4323.164006	0.352281	
4323.165654	0.340788	
4323.167244	0.311808	
4323.168761	0.297117	
4323.170395	0.293971	
4323.171887	0.276202	
4323.173537	0.260258	
4323.175011	0.256080	
4323.176667	0.258707	
4323.178146	0.256503	
4323.179787	0.243863	
4323.181271	0.242267	
4323.182875	0.228817	
4323.184383	0.210198	
4323.186016	0.183079	
4323.187562	0.188695	
4323.189178	0.162390	
4323.190761	0.162144	
4323.192324	0.162950	
4323.193955	0.170966	
4323.195498	0.155111	
4323.197135	0.159324	
4323.198752	0.159409	
4323.200411	0.130336	
4323.202000	0.108422	
4323.203647	0.111573	
4323.205227	0.099230	
4323.206913	0.085936	
4323.208462	0.096539	
4323.210164	0.096277	
4323.211706	0.089058	
4323.213405	0.089727	
4323.214927	0.085586	
4323.216647	0.070540	
4323.218145	0.055011	
4323.219921	0.059933	
4323.221400	0.046684	
