time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4322.888140	82.646042	1.392230	-0.008185	95
4324.913206	85.397499	1.374164	-0.021695	97
4326.916916	82.442093	1.374009	-0.024576	99
4328.923001	80.479935	1.327643	-0.017142	101
4330.944786	81.690094	1.286150	-0.015296	103
4332.971408	83.007187	1.253070	-0.017952	105
4334.992810	83.373711	1.218060	-0.019793	107
4337.010063	83.072563	1.188826	-0.020698	109
4339.025987	82.627007	1.161950	-0.020929	111
4341.041066	82.121208	1.138586	-0.020044	113
4343.052553	81.899353	1.126317	-0.018777	115
4345.057819	82.561714	1.114648	-0.017414	117
4347.062352	83.923409	1.080191	-0.018466	119
4349.078781	84.101204	1.030249	-0.023139	121
4351.111889	82.238861	0.988935	-0.025139	123
4353.137441	80.418564	0.980230	-0.018208	125
4355.135436	82.604446	0.986669	-0.012989	127
4357.136239	85.007751	0.934354	-0.021884	129
4359.168446	82.918213	0.885982	-0.027046	131
4361.200896	80.380356	0.873549	-0.019227	133
4363.201168	81.971252	0.880872	-0.013124	135
4365.196751	84.592285	0.842591	-0.018801	137
4367.217482	84.034523	0.798682	-0.023459	139
4369.253334	82.267723	0.772227	-0.021944	141
4371.280207	81.302757	0.755582	-0.018027	143
4373.291808	81.571266	0.745120	-0.015996	145
4375.295956	82.327644	0.730618	-0.016148	147
4377.301473	82.728546	0.709538	-0.016692	149
4379.310874	82.689743	0.686478	-0.016865	151
4381.324170	82.535912	0.663461	-0.016411	153
4383.341463	82.375374	0.640693	-0.015714	155
4385.363275	82.467896	0.617619	-0.014999	157
4387.390261	82.958000	0.594310	-0.014079	159
4389.418744	83.809547	0.572166	-0.014273	161
4391.439194	84.510315	0.558132	-0.015818	163
4393.444341	84.089104	0.555267	-0.017251	165
4395.434331	82.259712	0.548908	-0.016430	167
4397.431236	80.404205	0.523546	-0.013393	169
4399.452599	80.814819	0.491196	-0.009355	171
4401.501079	83.324722	0.467167	-0.009508	173
4403.536168	85.336670	0.457327	-0.013762	175
4405.539156	84.628838	0.459815	-0.015598	177
4407.525100	82.340202	0.457268	-0.012913	179
4409.518617	80.697395	0.437938	-0.010616	181
4411.531779	80.559486	0.415198	-0.008593	183
4413.562453	81.589157	0.396329	-0.008141	185
4415.602440	82.574303	0.380094	-0.008544	187
4417.633748	83.071587	0.366304	-0.009203	189
4419.659061	83.022110	0.353495	-0.009091	191
4421.677134	82.736923	0.341999	-0.008904	193
4423.692969	82.305725	0.332419	-0.007842	195
4425.702680	81.998505	0.326061	-0.006787	197
4427.701431	82.044647	0.323043	-0.006707	199
4429.694243	82.733521	0.319890	-0.006228	201
4431.684664	84.017036	0.313647	-0.005929	203
4433.683328	85.017258	0.298976	-0.006301	205
