time (s)	magX	magY	magZ
2475.014990	-18.176504	-347.223846	-1272.296875
2475.018323	-13.968439	-331.151367	-1281.940308
2475.021653	-10.169491	-314.669769	-1290.940918
2475.024984	-6.545880	-296.025696	-1298.129761
2475.028315	-3.039158	-278.024567	-1304.266602
2475.031699	1.870251	-259.205139	-1310.578613
2475.034990	5.610754	-239.801285	-1313.325439
2475.038318	9.526592	-220.105194	-1318.819458
2475.041651	11.805962	-199.649323	-1322.442993
2475.044982	13.968439	-179.894791	-1324.780884
2475.048313	16.306253	-158.912918	-1324.254761
2475.051647	19.228521	-137.872589	-1324.371704
2475.056288	21.274109	-95.967270	-1322.501465
2475.059194	22.267679	-75.511398	-1317.767456
2475.062526	22.676798	-54.003506	-1314.611328
2475.065934	24.021040	-32.963181	-1310.987793
2475.069222	23.436586	-12.390414	-1303.682007
2475.072136	24.021040	8.883694	-1298.480469
2475.075422	23.202805	29.105785	-1293.395752
2475.078736	22.910578	49.678551	-1284.628906
2475.082075	22.443016	69.316193	-1276.680298
2475.085405	21.391001	88.953827	-1267.796631
2475.088311	20.572765	108.357681	-1257.860962
2475.091640	19.637638	127.936874	-1248.451172
2475.094986	19.462303	146.230286	-1237.405029
2475.098314	18.293396	164.991241	-1227.410889
2475.101638	18.351841	183.050842	-1214.962036
2475.104974	18.351841	201.052017	-1202.513184
2475.108308	18.760958	218.234940	-1191.350098
2475.111645	18.760958	235.008759	-1177.264771
2475.114980	19.170076	250.730560	-1163.822388
2475.118315	19.462303	266.861481	-1149.678467
2475.121646	21.040327	283.459961	-1136.060791
2475.125031	21.800117	299.006439	-1119.988403
2475.128319	23.085915	313.909973	-1105.844482
2475.131639	24.605494	328.521332	-1091.350098
2475.134970	26.417299	343.600220	-1076.738770
2475.138309	27.586206	356.516663	-1060.490845
2475.141641	29.865574	370.952667	-1044.301636
2475.144978	31.969610	383.576843	-1028.579834
2475.148301	33.664524	396.843964	-1010.461731
2475.151637	35.534775	408.357666	-994.506165
2475.154968	36.937462	420.748077	-977.498535
2475.158306	38.807713	431.209808	-961.601440
2475.163009	40.794857	452.016357	-925.599121
2475.165852	42.782001	461.601410	-908.766846
2475.169232	43.015781	470.075989	-892.168335
2475.172568	43.483345	479.018127	-875.277588
2475.175884	43.483345	486.557587	-858.971436
2475.178720	43.658680	494.447693	-842.372925
2475.182070	43.483345	501.870239	-825.774414
2475.185414	42.606663	507.773193	-809.292786
2475.188725	42.022209	513.851562	-793.629456
2475.192059	40.970196	519.053162	-777.790771
2475.194963	39.742840	524.079468	-762.478088
2475.198302	37.931034	529.807129	-748.275879
2475.201635	36.820572	533.489197	-732.846313
2475.204978	34.833431	536.528320	-718.293396
2475.208299	33.372299	539.742859	-704.675598
2475.211639	31.209818	543.483337	-690.590271
2475.214965	29.514902	545.704285	-677.147888
2475.218305	27.995323	547.691406	-664.289917
2475.221630	25.599066	549.444763	-650.496765
2475.224981	23.670368	550.379883	-636.762146
2475.228296	22.443016	551.957947	-624.488586
2475.231627	20.806547	552.659302	-612.857971
2475.234995	19.871420	552.776123	-600.876648
2475.238297	18.351841	553.009949	-587.784912
2475.241633	17.533606	553.769714	-576.037415
2475.244968	16.130919	553.009949	-564.523621
2475.248308	15.078900	552.893066	-553.126831
2475.251628	15.020455	552.425476	-541.496155
2475.254964	14.436002	551.899475	-530.216248
2475.258293	14.669784	550.555237	-519.579163
2475.261624	14.552893	549.561646	-509.468140
2475.264965	14.377557	548.918762	-498.012878
2475.269650	14.903564	545.119812	-477.264740
2475.272555	14.903564	543.600220	-466.277039
2475.275882	15.195791	541.145508	-456.107513
2475.279179	15.254237	539.742859	-447.106934
2475.282466	15.721800	537.171265	-437.054352
2475.285385	16.364700	535.943909	-426.943298
2475.288718	16.364700	532.144897	-417.942719
2475.292052	16.598480	530.625366	-408.240784
2475.295387	16.715372	528.462891	-399.181763
2475.298715	16.656927	525.189941	-390.648743
2475.301620	16.014027	523.611938	-382.758606
2475.304963	16.364700	520.748108	-373.991821
2475.308315	15.721800	517.533569	-365.458801
2475.311625	14.962010	514.728210	-357.627136
2475.314953	14.552893	512.741089	-349.853882
2475.318292	13.676212	509.117462	-342.548218
2475.321632	13.150205	506.253662	-334.833435
2475.324957	11.864407	503.448303	-327.527771
2475.328288	10.870836	501.987122	-320.572754
2475.331628	10.461719	498.538879	-315.546478
2475.334954	9.175920	496.902405	-308.533020
2475.338290	7.773232	493.220337	-301.928680
2475.341626	6.370543	490.707214	-296.317932
