time (s)	det(V)
4880.303538	-0.017426	
4880.305099	-0.028597	
4880.306807	-0.022651	
4880.308363	-0.033016	
4880.310033	-0.038059	
4880.311612	-0.026160	
4880.313262	-0.012584	
4880.314865	-0.025338	
4880.316382	-0.016593	
4880.318049	-0.005781	
4880.319532	-0.016709	
4880.321177	-0.029604	
4880.322647	-0.027292	
4880.324284	-0.028238	
4880.325756	-0.040348	
4880.327396	-0.034079	
4880.328881	-0.022156	
4880.330467	-0.011642	
4880.331995	-0.021511	
4880.333615	-0.008729	
4880.335170	-0.007924	
4880.336776	-0.014655	
4880.338360	-0.024375	
4880.339936	-0.021064	
4880.341552	-0.028134	
4880.343102	-0.030667	
4880.344750	-0.028766	
4880.346340	-0.014055	
4880.347982	-0.016516	
4880.349560	-0.013362	
4880.351246	-0.005333	
4880.352803	-0.004769	
4880.354511	-0.025640	
4880.356054	-0.024029	
4880.357751	-0.030627	
4880.359298	-0.034317	
4880.361012	-0.030365	
4880.362559	-0.018945	
4880.364281	-0.010619	
4880.365768	-0.019916	
4880.367550	-0.005495	
4880.369034	-0.006409	
4880.370793	-0.016907	
4880.372273	-0.027690	
4880.374050	-0.013769	
4880.375534	-0.032408	
4880.377322	-0.029572	
4880.378804	-0.021116	
4880.380568	-0.007630	
4880.382067	-0.019739	
4880.383797	-0.009998	
4880.385308	-0.003118	
4880.387018	-0.016149	
4880.388552	-0.032613	
4880.390273	-0.024343	
4880.391825	-0.027666	
4880.393513	-0.030055	
4880.395069	-0.025729	
4880.396740	-0.010566	
4880.398315	-0.015304	
4880.399981	-0.007537	
4880.401568	-0.006671	
4880.403204	-0.007194	
4880.404809	-0.023775	
4880.406419	-0.020158	
4880.408069	-0.024971	
4880.409681	-0.028496	
4880.411312	-0.025680	
4880.412907	-0.010264	
4880.414593	-0.010977	
4880.416170	-0.006075	
4880.417860	0.000749	
4880.419415	0.002828	
4880.421106	-0.018349	
4880.422659	-0.021817	
4880.424348	-0.012778	
4880.425826	-0.029108	
4880.427380	-0.028238	
4880.428881	-0.009471	
4880.430451	0.002316	
4880.431990	-0.011811	
4880.433515	-0.000588	
4880.435119	0.006711	
4880.436613	-0.003774	
4880.438254	-0.016170	
4880.439813	-0.011944	
4880.441434	-0.018349	
4880.442937	-0.017567	
4880.444636	-0.014792	
4880.446124	-0.003452	
4880.447839	-0.000358	
4880.449310	-0.003488	
4880.451036	0.006607	
4880.452517	0.010780	
4880.454219	-0.004653	
4880.455700	-0.009930	
4880.457462	-0.001962	
4880.458945	-0.018305	
4880.460719	-0.017398	
4880.462204	-0.005382	
4880.463977	0.008061	
4880.465465	-0.005660	
4880.467218	0.008786	
