crossing time (s)	slope (V/s)	crossing number
4877.821988	92.461366	2683
4881.016423	90.569896	2684
4882.031036	84.467983	2685
4883.055990	86.875951	2686
4884.030202	82.016099	2687
4885.072839	82.415554	2688
4886.059190	80.224745	2689
4887.092073	76.896323	2690
4888.079226	78.979045	2691
4889.071732	74.562023	2692
4890.087540	76.401950	2693
4891.101960	74.293743	2694
4892.108916	71.856390	2695
4893.125885	72.147185	2696
4894.121055	67.259895	2697
4895.116620	68.231977	2698
4896.141221	64.918085	2699
4897.129344	64.134697	2700
4898.155243	63.417977	2701
4899.134952	63.908489	2702
4900.174639	62.856162	2703
4901.154481	62.049142	2704
4902.181127	60.842386	2705
4903.162759	58.625463	2706
4904.177310	56.904205	2707
4905.182885	55.754141	2708
4906.208937	54.337957	2709
4907.207017	54.606480	2710
4908.223455	52.159161	2711
4909.206079	51.532287	2712
4910.175465	50.856217	2713
4911.236748	49.750035	2714
4912.238559	49.113461	2715
4913.239692	48.772273	2716
4914.253013	46.927235	2717
4915.254550	46.719570	2718
4916.271941	44.577212	2719
4917.275384	44.605631	2720
4918.300082	42.121765	2721
4919.278897	42.036997	2722
4920.321654	41.523154	2723
4921.289279	40.913095	2724
4922.318309	40.943694	2725
4923.310246	39.672870	2726
4924.338954	39.418115	2727
4925.328004	38.003154	2728
4926.351506	36.985957	2729
4927.347164	36.585786	2730
4928.372636	35.855737	2731
4929.358612	34.432869	2732
4930.373311	35.148909	2733
4931.377461	32.940186	2734
4932.369864	33.129401	2735
4933.392292	31.852394	2736
4934.386295	32.140532	2737
4935.422356	30.475895	2738
4936.401106	29.993309	2739
4937.424408	29.852464	2740
4938.414014	29.991597	2741
4939.450089	27.903097	2742
4940.419638	28.807371	2743
4941.463684	27.752498	2744
4942.421348	26.850464	2745
4943.467191	27.330360	2746
4944.440385	25.071224	2747
4945.484119	25.620788	2748
4946.466589	24.664940	2749
4947.487284	24.557916	2750
4948.469114	23.316196	2751
4949.507909	23.800895	2752
4950.510451	23.194163	2753
4951.518928	22.006505	2754
4952.528579	21.771493	2755
4953.519954	21.883858	2756
4954.531459	20.803730	2757
4955.533083	21.781167	2758
4956.556002	19.486114	2759
4957.541726	20.721956	2760
4958.565932	19.699910	2761
4959.563016	19.132024	2762
4960.592136	18.461540	2763
4961.567649	17.843624	2764
4962.595657	17.470994	2765
4963.580384	17.207566	2766
4964.602641	16.277995	2767
4965.588037	16.594265	2768
4966.622981	16.622919	2769
4967.604418	16.306042	2770
4968.652826	16.014645	2771
4969.629207	15.819684	2772
4970.666148	15.536622	2773
4971.630870	13.475473	2774
4972.663437	14.285761	2775
4973.604162	17.368754	2776
4974.662374	13.336410	2777
4975.646889	11.211610	2778
4977.124616	13.565219	2779
4977.370789	14.647200	2780
4977.682235	20.266142	2781
4977.892174	14.604726	2782
4978.080661	14.995258	2783
4978.464464	9.280883	2784
4978.851163	22.201451	2785
4979.224729	8.357723	2786
4980.550583	20.584808	2787
